comentario,nota,responsavel,comentario_tokenizado
Depois da atualização integração ficou mais simples. integração demorou para responder. O atendimento resolveu rápido a solicitação. Recebi erro enquanto tentava baixar relatório. As notificações chegaram atrasadas.,10,Produto,"['Depois', 'da', 'atualização', 'integração', 'ficou', 'mais', 'simples', '.', 'integração', 'demorou', 'para', 'responder', '.', 'O', 'atendimento', 'resolveu', 'rápido', 'a', 'solicitação', '.', 'Recebi', 'erro', 'enquanto', 'tentava', 'baixar', 'relatório', '.', 'As', 'notificações', 'chegaram', 'atrasadas', '.']"
Tentei consultar saldo e login travou duas vezes. Precisei repetir algumas etapas para concluir.,8,Produto,"['Tentei', 'consultar', 'saldo', 'e', 'login', 'travou', 'duas', 'vezes', '.', 'Precisei', 'repetir', 'algumas', 'etapas', 'para', 'concluir', '.']"
Sem comentários.,3,Geral,"['Sem', 'comentários', '.']"
Tentei baixar relatório e login travou duas vezes. Precisei repetir algumas etapas para concluir. As notificações chegaram atrasadas. O carregamento dos relatórios demorou. Depois da atualização login ficou mais simples.,8,Suporte,"['Tentei', 'baixar', 'relatório', 'e', 'login', 'travou', 'duas', 'vezes', '.', 'Precisei', 'repetir', 'algumas', 'etapas', 'para', 'concluir', '.', 'As', 'notificações', 'chegaram', 'atrasadas', '.', 'O', 'carregamento', 'dos', 'relatórios', 'demorou', '.', 'Depois', 'da', 'atualização', 'login', 'ficou', 'mais', 'simples', '.']"
Tudo certo.,4,Suporte,"['Tudo', 'certo', '.']"
"Consegui fazer transferência, mas depois apareceu erro em relatórios. O carregamento dos relatórios demorou. O suporte pediu novamente as mesmas informações.",2,Geral,"['Consegui', 'fazer', 'transferência', ',', 'mas', 'depois', 'apareceu', 'erro', 'em', 'relatórios', '.', 'O', 'carregamento', 'dos', 'relatórios', 'demorou', '.', 'O', 'suporte', 'pediu', 'novamente', 'as', 'mesmas', 'informações', '.']"
Tudo certo.,6,Suporte,"['Tudo', 'certo', '.']"
Recebi erro enquanto tentava emitir boleto. As notificações chegaram atrasadas. platafroma qdo travano,3,Produto,"['Recebi', 'erro', 'enquanto', 'tentava', 'emitir', 'boleto', '.', 'As', 'notificações', 'chegaram', 'atrasadas', '.', 'platafroma', 'qdo', 'travano']"
Recebi erro enquanto tentava integrar sistema. O carregamento dos relatórios demorou. Tentei integrar sistema e cartão virtual travou duas vezes. Precisei repetir algumas etapas para concluir. As notificações chegaram atrasadas. O suporte pediu novamente as mesmas informações.,1,Serviços,"['Recebi', 'erro', 'enquanto', 'tentava', 'integrar', 'sistema', '.', 'O', 'carregamento', 'dos', 'relatórios', 'demorou', '.', 'Tentei', 'integrar', 'sistema', 'e', 'cartão', 'virtual', 'travou', 'duas', 'vezes', '.', 'Precisei', 'repetir', 'algumas', 'etapas', 'para', 'concluir', '.', 'As', 'notificações', 'chegaram', 'atrasadas', '.', 'O', 'suporte', 'pediu', 'novamente', 'as', 'mesmas', 'informações', '.']"
"O atendimento resolveu rápido a solicitação. Tentei consultar saldo e pagamentos travou duas vezes. Consegui consultar saldo, mas depois apareceu erro em relatórios.",1,Suporte,"['O', 'atendimento', 'resolveu', 'rápido', 'a', 'solicitação', '.', 'Tentei', 'consultar', 'saldo', 'e', 'pagamentos', 'travou', 'duas', 'vezes', '.', 'Consegui', 'consultar', 'saldo', ',', 'mas', 'depois', 'apareceu', 'erro', 'em', 'relatórios', '.']"
"As notificações chegaram atrasadas. O carregamento dos relatórios demorou. O atendimento resolveu rápido a solicitação. Consegui acompanhar pagamento, mas depois apareceu erro em API. Depois da atualização pagamentos ficou mais simples. Recebi erro enquanto tentava acompanhar pagamento.",6,Serviços,"['As', 'notificações', 'chegaram', 'atrasadas', '.', 'O', 'carregamento', 'dos', 'relatórios', 'demorou', '.', 'O', 'atendimento', 'resolveu', 'rápido', 'a', 'solicitação', '.', 'Consegui', 'acompanhar', 'pagamento', ',', 'mas', 'depois', 'apareceu', 'erro', 'em', 'API', '.', 'Depois', 'da', 'atualização', 'pagamentos', 'ficou', 'mais', 'simples', '.', 'Recebi', 'erro', 'enquanto', 'tentava', 'acompanhar', 'pagamento', '.']"
"Consegui emitir boleto, mas depois apareceu erro em login. Recebi erro enquanto tentava emitir boleto. O atendimento resolveu rápido a solicitação. O suporte pediu novamente as mesmas informações. As notificações chegaram atrasadas.",1,Serviços,"['Consegui', 'emitir', 'boleto', ',', 'mas', 'depois', 'apareceu', 'erro', 'em', 'login', '.', 'Recebi', 'erro', 'enquanto', 'tentava', 'emitir', 'boleto', '.', 'O', 'atendimento', 'resolveu', 'rápido', 'a', 'solicitação', '.', 'O', 'suporte', 'pediu', 'novamente', 'as', 'mesmas', 'informações', '.', 'As', 'notificações', 'chegaram', 'atrasadas', '.']"
Regular.,5,Produto,"['Regular', '.']"
extrato demorou para responder. As notificações chegaram atrasadas. Recebi erro enquanto tentava consultar limite. O carregamento dos relatórios demorou. O suporte pediu novamente as mesmas informações. bugou,7,Geral,"['extrato', 'demorou', 'para', 'responder', '.', 'As', 'notificações', 'chegaram', 'atrasadas', '.', 'Recebi', 'erro', 'enquanto', 'tentava', 'consultar', 'limite', '.', 'O', 'carregamento', 'dos', 'relatórios', 'demorou', '.', 'O', 'suporte', 'pediu', 'novamente', 'as', 'mesmas', 'informações', '.', 'bugou']"
O atendimento resolveu rápido a solicitação. Precisei repetir algumas etapas para concluir. Recebi erro enquanto tentava fazer transferência. Tentei fazer transferência e performance travou duas vezes. As notificações chegaram atrasadas.,4,Suporte,"['O', 'atendimento', 'resolveu', 'rápido', 'a', 'solicitação', '.', 'Precisei', 'repetir', 'algumas', 'etapas', 'para', 'concluir', '.', 'Recebi', 'erro', 'enquanto', 'tentava', 'fazer', 'transferência', '.', 'Tentei', 'fazer', 'transferência', 'e', 'performance', 'travou', 'duas', 'vezes', '.', 'As', 'notificações', 'chegaram', 'atrasadas', '.']"
O carregamento dos relatórios demorou. Precisei repetir algumas etapas para concluir. As notificações chegaram atrasadas. Tentei consultar limite e dashboard travou duas vezes. Depois da atualização dashboard ficou mais simples. vcs demoro travano,4,Produto,"['O', 'carregamento', 'dos', 'relatórios', 'demorou', '.', 'Precisei', 'repetir', 'algumas', 'etapas', 'para', 'concluir', '.', 'As', 'notificações', 'chegaram', 'atrasadas', '.', 'Tentei', 'consultar', 'limite', 'e', 'dashboard', 'travou', 'duas', 'vezes', '.', 'Depois', 'da', 'atualização', 'dashboard', 'ficou', 'mais', 'simples', '.', 'vcs', 'demoro', 'travano']"
Tudo certo.,6,Geral,"['Tudo', 'certo', '.']"
relatórios demorou para responder. Precisei repetir algumas etapas para concluir. O suporte pediu novamente as mesmas informações. O carregamento dos relatórios demorou. As notificações chegaram atrasadas.,1,Produto,"['relatórios', 'demorou', 'para', 'responder', '.', 'Precisei', 'repetir', 'algumas', 'etapas', 'para', 'concluir', '.', 'O', 'suporte', 'pediu', 'novamente', 'as', 'mesmas', 'informações', '.', 'O', 'carregamento', 'dos', 'relatórios', 'demorou', '.', 'As', 'notificações', 'chegaram', 'atrasadas', '.']"
"O suporte pediu novamente as mesmas informações. Consegui emitir boleto, mas depois apareceu erro em limite. Depois da atualização pagamentos ficou mais simples. Precisei repetir algumas etapas para concluir.",6,Suporte,"['O', 'suporte', 'pediu', 'novamente', 'as', 'mesmas', 'informações', '.', 'Consegui', 'emitir', 'boleto', ',', 'mas', 'depois', 'apareceu', 'erro', 'em', 'limite', '.', 'Depois', 'da', 'atualização', 'pagamentos', 'ficou', 'mais', 'simples', '.', 'Precisei', 'repetir', 'algumas', 'etapas', 'para', 'concluir', '.']"
Depois da atualização cartão virtual ficou mais simples. O atendimento resolveu rápido a solicitação. As notificações chegaram atrasadas. Precisei repetir algumas etapas para concluir.,2,Produto,"['Depois', 'da', 'atualização', 'cartão', 'virtual', 'ficou', 'mais', 'simples', '.', 'O', 'atendimento', 'resolveu', 'rápido', 'a', 'solicitação', '.', 'As', 'notificações', 'chegaram', 'atrasadas', '.', 'Precisei', 'repetir', 'algumas', 'etapas', 'para', 'concluir', '.']"
O atendimento resolveu rápido a solicitação. extrato demorou para responder. As notificações chegaram atrasadas. O carregamento dos relatórios demorou. Depois da atualização extrato ficou mais simples.,9,Serviços,"['O', 'atendimento', 'resolveu', 'rápido', 'a', 'solicitação', '.', 'extrato', 'demorou', 'para', 'responder', '.', 'As', 'notificações', 'chegaram', 'atrasadas', '.', 'O', 'carregamento', 'dos', 'relatórios', 'demorou', '.', 'Depois', 'da', 'atualização', 'extrato', 'ficou', 'mais', 'simples', '.']"
"O atendimento resolveu rápido a solicitação. Recebi erro enquanto tentava atualizar cadastro. Consegui atualizar cadastro, mas depois apareceu erro em cartão virtual. O suporte pediu novamente as mesmas informações. As notificações chegaram atrasadas. qdo platafroma probelma",9,Serviços,"['O', 'atendimento', 'resolveu', 'rápido', 'a', 'solicitação', '.', 'Recebi', 'erro', 'enquanto', 'tentava', 'atualizar', 'cadastro', '.', 'Consegui', 'atualizar', 'cadastro', ',', 'mas', 'depois', 'apareceu', 'erro', 'em', 'cartão', 'virtual', '.', 'O', 'suporte', 'pediu', 'novamente', 'as', 'mesmas', 'informações', '.', 'As', 'notificações', 'chegaram', 'atrasadas', '.', 'qdo', 'platafroma', 'probelma']"
"dashboard demorou para responder. O suporte pediu novamente as mesmas informações. Consegui consultar limite, mas depois apareceu erro em onboarding. Precisei repetir algumas etapas para concluir. O atendimento resolveu rápido a solicitação. sitema vcs",4,Produto,"['dashboard', 'demorou', 'para', 'responder', '.', 'O', 'suporte', 'pediu', 'novamente', 'as', 'mesmas', 'informações', '.', 'Consegui', 'consultar', 'limite', ',', 'mas', 'depois', 'apareceu', 'erro', 'em', 'onboarding', '.', 'Precisei', 'repetir', 'algumas', 'etapas', 'para', 'concluir', '.', 'O', 'atendimento', 'resolveu', 'rápido', 'a', 'solicitação', '.', 'sitema', 'vcs']"
Tentei consultar limite e cartão virtual travou duas vezes. O atendimento resolveu rápido a solicitação. Recebi erro enquanto tentava consultar limite. Precisei repetir algumas etapas para concluir. Depois da atualização cartão virtual ficou mais simples. cartão virtual demorou para responder. qdo demoro sitema,9,Produto,"['Tentei', 'consultar', 'limite', 'e', 'cartão', 'virtual', 'travou', 'duas', 'vezes', '.', 'O', 'atendimento', 'resolveu', 'rápido', 'a', 'solicitação', '.', 'Recebi', 'erro', 'enquanto', 'tentava', 'consultar', 'limite', '.', 'Precisei', 'repetir', 'algumas', 'etapas', 'para', 'concluir', '.', 'Depois', 'da', 'atualização', 'cartão', 'virtual', 'ficou', 'mais', 'simples', '.', 'cartão', 'virtual', 'demorou', 'para', 'responder', '.', 'qdo', 'demoro', 'sitema']"
"O suporte pediu novamente as mesmas informações. Consegui consultar saldo, mas depois apareceu erro em dashboard.",5,Pós-venda,"['O', 'suporte', 'pediu', 'novamente', 'as', 'mesmas', 'informações', '.', 'Consegui', 'consultar', 'saldo', ',', 'mas', 'depois', 'apareceu', 'erro', 'em', 'dashboard', '.']"
Depois da atualização notificações ficou mais simples. O carregamento dos relatórios demorou. notificações demorou para responder. Precisei repetir algumas etapas para concluir. Tentei integrar sistema e notificações travou duas vezes.,9,Produto,"['Depois', 'da', 'atualização', 'notificações', 'ficou', 'mais', 'simples', '.', 'O', 'carregamento', 'dos', 'relatórios', 'demorou', '.', 'notificações', 'demorou', 'para', 'responder', '.', 'Precisei', 'repetir', 'algumas', 'etapas', 'para', 'concluir', '.', 'Tentei', 'integrar', 'sistema', 'e', 'notificações', 'travou', 'duas', 'vezes', '.']"
"O atendimento resolveu rápido a solicitação. Depois da atualização performance ficou mais simples. Consegui integrar sistema, mas depois apareceu erro em API. O suporte pediu novamente as mesmas informações.",1,Suporte,"['O', 'atendimento', 'resolveu', 'rápido', 'a', 'solicitação', '.', 'Depois', 'da', 'atualização', 'performance', 'ficou', 'mais', 'simples', '.', 'Consegui', 'integrar', 'sistema', ',', 'mas', 'depois', 'apareceu', 'erro', 'em', 'API', '.', 'O', 'suporte', 'pediu', 'novamente', 'as', 'mesmas', 'informações', '.']"
Tentei emitir boleto e limite travou duas vezes. Recebi erro enquanto tentava emitir boleto. Precisei repetir algumas etapas para concluir. As notificações chegaram atrasadas. travano,7,Produto,"['Tentei', 'emitir', 'boleto', 'e', 'limite', 'travou', 'duas', 'vezes', '.', 'Recebi', 'erro', 'enquanto', 'tentava', 'emitir', 'boleto', '.', 'Precisei', 'repetir', 'algumas', 'etapas', 'para', 'concluir', '.', 'As', 'notificações', 'chegaram', 'atrasadas', '.', 'travano']"
"As notificações chegaram atrasadas. Depois da atualização relatórios ficou mais simples. Consegui integrar sistema, mas depois apareceu erro em API. Precisei repetir algumas etapas para concluir. O carregamento dos relatórios demorou. Recebi erro enquanto tentava integrar sistema. sitema bugou qdo",3,Geral,"['As', 'notificações', 'chegaram', 'atrasadas', '.', 'Depois', 'da', 'atualização', 'relatórios', 'ficou', 'mais', 'simples', '.', 'Consegui', 'integrar', 'sistema', ',', 'mas', 'depois', 'apareceu', 'erro', 'em', 'API', '.', 'Precisei', 'repetir', 'algumas', 'etapas', 'para', 'concluir', '.', 'O', 'carregamento', 'dos', 'relatórios', 'demorou', '.', 'Recebi', 'erro', 'enquanto', 'tentava', 'integrar', 'sistema', '.', 'sitema', 'bugou', 'qdo']"
"Consegui consultar saldo, mas depois apareceu erro em usabilidade. O suporte pediu novamente as mesmas informações. Recebi erro enquanto tentava consultar saldo.",3,Serviços,"['Consegui', 'consultar', 'saldo', ',', 'mas', 'depois', 'apareceu', 'erro', 'em', 'usabilidade', '.', 'O', 'suporte', 'pediu', 'novamente', 'as', 'mesmas', 'informações', '.', 'Recebi', 'erro', 'enquanto', 'tentava', 'consultar', 'saldo', '.']"
O suporte pediu novamente as mesmas informações. Depois da atualização extrato ficou mais simples.,8,Geral,"['O', 'suporte', 'pediu', 'novamente', 'as', 'mesmas', 'informações', '.', 'Depois', 'da', 'atualização', 'extrato', 'ficou', 'mais', 'simples', '.']"
O atendimento resolveu rápido a solicitação. Depois da atualização cartão virtual ficou mais simples. cartão virtual demorou para responder. As notificações chegaram atrasadas.,9,Serviços,"['O', 'atendimento', 'resolveu', 'rápido', 'a', 'solicitação', '.', 'Depois', 'da', 'atualização', 'cartão', 'virtual', 'ficou', 'mais', 'simples', '.', 'cartão', 'virtual', 'demorou', 'para', 'responder', '.', 'As', 'notificações', 'chegaram', 'atrasadas', '.']"
"Consegui integrar sistema, mas depois apareceu erro em API. O suporte pediu novamente as mesmas informações. bugou msg",9,Geral,"['Consegui', 'integrar', 'sistema', ',', 'mas', 'depois', 'apareceu', 'erro', 'em', 'API', '.', 'O', 'suporte', 'pediu', 'novamente', 'as', 'mesmas', 'informações', '.', 'bugou', 'msg']"
Depois da atualização chat ficou mais simples. O carregamento dos relatórios demorou. chat demorou para responder.,6,Produto,"['Depois', 'da', 'atualização', 'chat', 'ficou', 'mais', 'simples', '.', 'O', 'carregamento', 'dos', 'relatórios', 'demorou', '.', 'chat', 'demorou', 'para', 'responder', '.']"
Tentei consultar saldo e onboarding travou duas vezes. Depois da atualização onboarding ficou mais simples. onboarding demorou para responder. Recebi erro enquanto tentava consultar saldo.,2,Produto,"['Tentei', 'consultar', 'saldo', 'e', 'onboarding', 'travou', 'duas', 'vezes', '.', 'Depois', 'da', 'atualização', 'onboarding', 'ficou', 'mais', 'simples', '.', 'onboarding', 'demorou', 'para', 'responder', '.', 'Recebi', 'erro', 'enquanto', 'tentava', 'consultar', 'saldo', '.']"
Depois da atualização cartão virtual ficou mais simples. Precisei repetir algumas etapas para concluir. cartão virtual demorou para responder. Tentei baixar relatório e cartão virtual travou duas vezes. O suporte pediu novamente as mesmas informações. ploblema,8,Pós-venda,"['Depois', 'da', 'atualização', 'cartão', 'virtual', 'ficou', 'mais', 'simples', '.', 'Precisei', 'repetir', 'algumas', 'etapas', 'para', 'concluir', '.', 'cartão', 'virtual', 'demorou', 'para', 'responder', '.', 'Tentei', 'baixar', 'relatório', 'e', 'cartão', 'virtual', 'travou', 'duas', 'vezes', '.', 'O', 'suporte', 'pediu', 'novamente', 'as', 'mesmas', 'informações', '.', 'ploblema']"
Depois da atualização API ficou mais simples. O carregamento dos relatórios demorou. Recebi erro enquanto tentava baixar relatório. O suporte pediu novamente as mesmas informações. Tentei baixar relatório e API travou duas vezes. API demorou para responder.,3,Suporte,"['Depois', 'da', 'atualização', 'API', 'ficou', 'mais', 'simples', '.', 'O', 'carregamento', 'dos', 'relatórios', 'demorou', '.', 'Recebi', 'erro', 'enquanto', 'tentava', 'baixar', 'relatório', '.', 'O', 'suporte', 'pediu', 'novamente', 'as', 'mesmas', 'informações', '.', 'Tentei', 'baixar', 'relatório', 'e', 'API', 'travou', 'duas', 'vezes', '.', 'API', 'demorou', 'para', 'responder', '.']"
"Consegui baixar relatório, mas depois apareceu erro em login. As notificações chegaram atrasadas. Recebi erro enquanto tentava baixar relatório. O atendimento resolveu rápido a solicitação. O carregamento dos relatórios demorou. Depois da atualização integração ficou mais simples. platafroma",5,Geral,"['Consegui', 'baixar', 'relatório', ',', 'mas', 'depois', 'apareceu', 'erro', 'em', 'login', '.', 'As', 'notificações', 'chegaram', 'atrasadas', '.', 'Recebi', 'erro', 'enquanto', 'tentava', 'baixar', 'relatório', '.', 'O', 'atendimento', 'resolveu', 'rápido', 'a', 'solicitação', '.', 'O', 'carregamento', 'dos', 'relatórios', 'demorou', '.', 'Depois', 'da', 'atualização', 'integração', 'ficou', 'mais', 'simples', '.', 'platafroma']"
Precisei repetir algumas etapas para concluir. O atendimento resolveu rápido a solicitação. As notificações chegaram atrasadas. probelma,1,Suporte,"['Precisei', 'repetir', 'algumas', 'etapas', 'para', 'concluir', '.', 'O', 'atendimento', 'resolveu', 'rápido', 'a', 'solicitação', '.', 'As', 'notificações', 'chegaram', 'atrasadas', '.', 'probelma']"
O suporte pediu novamente as mesmas informações. Precisei repetir algumas etapas para concluir. O carregamento dos relatórios demorou. As notificações chegaram atrasadas.,0,Geral,"['O', 'suporte', 'pediu', 'novamente', 'as', 'mesmas', 'informações', '.', 'Precisei', 'repetir', 'algumas', 'etapas', 'para', 'concluir', '.', 'O', 'carregamento', 'dos', 'relatórios', 'demorou', '.', 'As', 'notificações', 'chegaram', 'atrasadas', '.']"
O suporte pediu novamente as mesmas informações. integração demorou para responder.,1,Geral,"['O', 'suporte', 'pediu', 'novamente', 'as', 'mesmas', 'informações', '.', 'integração', 'demorou', 'para', 'responder', '.']"
"onboarding demorou para responder. O suporte pediu novamente as mesmas informações. As notificações chegaram atrasadas. Consegui consultar limite, mas depois apareceu erro em notificações. Depois da atualização onboarding ficou mais simples. sitema",2,Suporte,"['onboarding', 'demorou', 'para', 'responder', '.', 'O', 'suporte', 'pediu', 'novamente', 'as', 'mesmas', 'informações', '.', 'As', 'notificações', 'chegaram', 'atrasadas', '.', 'Consegui', 'consultar', 'limite', ',', 'mas', 'depois', 'apareceu', 'erro', 'em', 'notificações', '.', 'Depois', 'da', 'atualização', 'onboarding', 'ficou', 'mais', 'simples', '.', 'sitema']"
"O atendimento resolveu rápido a solicitação. Tentei baixar relatório e usabilidade travou duas vezes. Recebi erro enquanto tentava baixar relatório. Precisei repetir algumas etapas para concluir. Consegui baixar relatório, mas depois apareceu erro em extrato.",4,Produto,"['O', 'atendimento', 'resolveu', 'rápido', 'a', 'solicitação', '.', 'Tentei', 'baixar', 'relatório', 'e', 'usabilidade', 'travou', 'duas', 'vezes', '.', 'Recebi', 'erro', 'enquanto', 'tentava', 'baixar', 'relatório', '.', 'Precisei', 'repetir', 'algumas', 'etapas', 'para', 'concluir', '.', 'Consegui', 'baixar', 'relatório', ',', 'mas', 'depois', 'apareceu', 'erro', 'em', 'extrato', '.']"
Depois da atualização cartão virtual ficou mais simples. O suporte pediu novamente as mesmas informações. O atendimento resolveu rápido a solicitação.,1,Serviços,"['Depois', 'da', 'atualização', 'cartão', 'virtual', 'ficou', 'mais', 'simples', '.', 'O', 'suporte', 'pediu', 'novamente', 'as', 'mesmas', 'informações', '.', 'O', 'atendimento', 'resolveu', 'rápido', 'a', 'solicitação', '.']"
Tentei integrar sistema e onboarding travou duas vezes. Recebi erro enquanto tentava integrar sistema.,9,Produto,"['Tentei', 'integrar', 'sistema', 'e', 'onboarding', 'travou', 'duas', 'vezes', '.', 'Recebi', 'erro', 'enquanto', 'tentava', 'integrar', 'sistema', '.']"
"Tentei baixar relatório e onboarding travou duas vezes. As notificações chegaram atrasadas. Consegui baixar relatório, mas depois apareceu erro em API. O atendimento resolveu rápido a solicitação. Recebi erro enquanto tentava baixar relatório.",0,Geral,"['Tentei', 'baixar', 'relatório', 'e', 'onboarding', 'travou', 'duas', 'vezes', '.', 'As', 'notificações', 'chegaram', 'atrasadas', '.', 'Consegui', 'baixar', 'relatório', ',', 'mas', 'depois', 'apareceu', 'erro', 'em', 'API', '.', 'O', 'atendimento', 'resolveu', 'rápido', 'a', 'solicitação', '.', 'Recebi', 'erro', 'enquanto', 'tentava', 'baixar', 'relatório', '.']"
Achei estranho.,4,Suporte,"['Achei', 'estranho', '.']"
"O suporte pediu novamente as mesmas informações. Consegui consultar saldo, mas depois apareceu erro em API. As notificações chegaram atrasadas. O atendimento resolveu rápido a solicitação. Tentei consultar saldo e cadastro travou duas vezes.",5,Suporte,"['O', 'suporte', 'pediu', 'novamente', 'as', 'mesmas', 'informações', '.', 'Consegui', 'consultar', 'saldo', ',', 'mas', 'depois', 'apareceu', 'erro', 'em', 'API', '.', 'As', 'notificações', 'chegaram', 'atrasadas', '.', 'O', 'atendimento', 'resolveu', 'rápido', 'a', 'solicitação', '.', 'Tentei', 'consultar', 'saldo', 'e', 'cadastro', 'travou', 'duas', 'vezes', '.']"
Nada a declarar.,7,Suporte,"['Nada', 'a', 'declarar', '.']"
Achei estranho.,7,Produto,"['Achei', 'estranho', '.']"
Recebi erro enquanto tentava acompanhar pagamento. Precisei repetir algumas etapas para concluir. O carregamento dos relatórios demorou. limite demorou para responder. As notificações chegaram atrasadas.,6,Geral,"['Recebi', 'erro', 'enquanto', 'tentava', 'acompanhar', 'pagamento', '.', 'Precisei', 'repetir', 'algumas', 'etapas', 'para', 'concluir', '.', 'O', 'carregamento', 'dos', 'relatórios', 'demorou', '.', 'limite', 'demorou', 'para', 'responder', '.', 'As', 'notificações', 'chegaram', 'atrasadas', '.']"
"Precisei repetir algumas etapas para concluir. Tentei emitir boleto e cadastro travou duas vezes. cadastro demorou para responder. Consegui emitir boleto, mas depois apareceu erro em API. Depois da atualização cadastro ficou mais simples. Recebi erro enquanto tentava emitir boleto.",2,Suporte,"['Precisei', 'repetir', 'algumas', 'etapas', 'para', 'concluir', '.', 'Tentei', 'emitir', 'boleto', 'e', 'cadastro', 'travou', 'duas', 'vezes', '.', 'cadastro', 'demorou', 'para', 'responder', '.', 'Consegui', 'emitir', 'boleto', ',', 'mas', 'depois', 'apareceu', 'erro', 'em', 'API', '.', 'Depois', 'da', 'atualização', 'cadastro', 'ficou', 'mais', 'simples', '.', 'Recebi', 'erro', 'enquanto', 'tentava', 'emitir', 'boleto', '.']"
Recebi erro enquanto tentava acompanhar pagamento. limite demorou para responder.,6,Suporte,"['Recebi', 'erro', 'enquanto', 'tentava', 'acompanhar', 'pagamento', '.', 'limite', 'demorou', 'para', 'responder', '.']"
"O suporte pediu novamente as mesmas informações. Recebi erro enquanto tentava fazer transferência. Consegui fazer transferência, mas depois apareceu erro em extrato.",6,Serviços,"['O', 'suporte', 'pediu', 'novamente', 'as', 'mesmas', 'informações', '.', 'Recebi', 'erro', 'enquanto', 'tentava', 'fazer', 'transferência', '.', 'Consegui', 'fazer', 'transferência', ',', 'mas', 'depois', 'apareceu', 'erro', 'em', 'extrato', '.']"
"O carregamento dos relatórios demorou. Precisei repetir algumas etapas para concluir. Consegui atualizar cadastro, mas depois apareceu erro em login.",9,Serviços,"['O', 'carregamento', 'dos', 'relatórios', 'demorou', '.', 'Precisei', 'repetir', 'algumas', 'etapas', 'para', 'concluir', '.', 'Consegui', 'atualizar', 'cadastro', ',', 'mas', 'depois', 'apareceu', 'erro', 'em', 'login', '.']"
"Recebi erro enquanto tentava baixar relatório. Consegui baixar relatório, mas depois apareceu erro em notificações. Depois da atualização integração ficou mais simples. O atendimento resolveu rápido a solicitação. O suporte pediu novamente as mesmas informações. atendimnto",0,Suporte,"['Recebi', 'erro', 'enquanto', 'tentava', 'baixar', 'relatório', '.', 'Consegui', 'baixar', 'relatório', ',', 'mas', 'depois', 'apareceu', 'erro', 'em', 'notificações', '.', 'Depois', 'da', 'atualização', 'integração', 'ficou', 'mais', 'simples', '.', 'O', 'atendimento', 'resolveu', 'rápido', 'a', 'solicitação', '.', 'O', 'suporte', 'pediu', 'novamente', 'as', 'mesmas', 'informações', '.', 'atendimnto']"
O carregamento dos relatórios demorou. onboarding demorou para responder. Depois da atualização onboarding ficou mais simples. As notificações chegaram atrasadas. vcs qdo ploblema,2,Pós-venda,"['O', 'carregamento', 'dos', 'relatórios', 'demorou', '.', 'onboarding', 'demorou', 'para', 'responder', '.', 'Depois', 'da', 'atualização', 'onboarding', 'ficou', 'mais', 'simples', '.', 'As', 'notificações', 'chegaram', 'atrasadas', '.', 'vcs', 'qdo', 'ploblema']"
As notificações chegaram atrasadas. Precisei repetir algumas etapas para concluir. O carregamento dos relatórios demorou. Tentei atualizar cadastro e cartão virtual travou duas vezes. O atendimento resolveu rápido a solicitação. O suporte pediu novamente as mesmas informações.,0,Suporte,"['As', 'notificações', 'chegaram', 'atrasadas', '.', 'Precisei', 'repetir', 'algumas', 'etapas', 'para', 'concluir', '.', 'O', 'carregamento', 'dos', 'relatórios', 'demorou', '.', 'Tentei', 'atualizar', 'cadastro', 'e', 'cartão', 'virtual', 'travou', 'duas', 'vezes', '.', 'O', 'atendimento', 'resolveu', 'rápido', 'a', 'solicitação', '.', 'O', 'suporte', 'pediu', 'novamente', 'as', 'mesmas', 'informações', '.']"
"O atendimento resolveu rápido a solicitação. As notificações chegaram atrasadas. Recebi erro enquanto tentava fazer transferência. relatórios demorou para responder. Precisei repetir algumas etapas para concluir. Consegui fazer transferência, mas depois apareceu erro em notificações.",1,Suporte,"['O', 'atendimento', 'resolveu', 'rápido', 'a', 'solicitação', '.', 'As', 'notificações', 'chegaram', 'atrasadas', '.', 'Recebi', 'erro', 'enquanto', 'tentava', 'fazer', 'transferência', '.', 'relatórios', 'demorou', 'para', 'responder', '.', 'Precisei', 'repetir', 'algumas', 'etapas', 'para', 'concluir', '.', 'Consegui', 'fazer', 'transferência', ',', 'mas', 'depois', 'apareceu', 'erro', 'em', 'notificações', '.']"
Precisei repetir algumas etapas para concluir. Tentei emitir boleto e usabilidade travou duas vezes. O suporte pediu novamente as mesmas informações. O atendimento resolveu rápido a solicitação. As notificações chegaram atrasadas.,0,Geral,"['Precisei', 'repetir', 'algumas', 'etapas', 'para', 'concluir', '.', 'Tentei', 'emitir', 'boleto', 'e', 'usabilidade', 'travou', 'duas', 'vezes', '.', 'O', 'suporte', 'pediu', 'novamente', 'as', 'mesmas', 'informações', '.', 'O', 'atendimento', 'resolveu', 'rápido', 'a', 'solicitação', '.', 'As', 'notificações', 'chegaram', 'atrasadas', '.']"
O atendimento resolveu rápido a solicitação. O carregamento dos relatórios demorou. O suporte pediu novamente as mesmas informações. Recebi erro enquanto tentava fazer transferência. performance demorou para responder. bugou vcs,0,Suporte,"['O', 'atendimento', 'resolveu', 'rápido', 'a', 'solicitação', '.', 'O', 'carregamento', 'dos', 'relatórios', 'demorou', '.', 'O', 'suporte', 'pediu', 'novamente', 'as', 'mesmas', 'informações', '.', 'Recebi', 'erro', 'enquanto', 'tentava', 'fazer', 'transferência', '.', 'performance', 'demorou', 'para', 'responder', '.', 'bugou', 'vcs']"
