comentario,nota,responsavel,comentario_normalizado
"As notificações chegaram atrasadas. Precisei repetir algumas etapas para concluir. O atendimento resolveu rápido a solicitação. Consegui emitir boleto, mas depois apareceu erro em pagamentos. Depois da atualização cadastro ficou mais simples. Tentei emitir boleto e cadastro travou duas vezes.",10,Produto,as notificacoes chegaram atrasadas precisei repetir algumas etapas para concluir o atendimento resolveu rapido a solicitacao consegui emitir boleto mas depois apareceu erro em pagamentos depois da atualizacao cadastro ficou mais simples tentei emitir boleto e cadastro travou duas vezes
O carregamento dos relatórios demorou. O atendimento resolveu rápido a solicitação. Precisei repetir algumas etapas para concluir.,8,Suporte,o carregamento dos relatorios demorou o atendimento resolveu rapido a solicitacao precisei repetir algumas etapas para concluir
"integração demorou para responder. Consegui consultar limite, mas depois apareceu erro em pagamentos. O suporte pediu novamente as mesmas informações. As notificações chegaram atrasadas. Depois da atualização integração ficou mais simples. Precisei repetir algumas etapas para concluir.",4,Serviços,integracao demorou para responder consegui consultar limite mas depois apareceu erro em pagamentos o suporte pediu novamente as mesmas informacoes as notificacoes chegaram atrasadas depois da atualizacao integracao ficou mais simples precisei repetir algumas etapas para concluir
Tentei acompanhar pagamento e API travou duas vezes. O carregamento dos relatórios demorou.,0,Suporte,tentei acompanhar pagamento e api travou duas vezes o carregamento dos relatorios demorou
Ok.,6,Produto,ok
"O atendimento resolveu rápido a solicitação. Tentei acompanhar pagamento e dashboard travou duas vezes. O carregamento dos relatórios demorou. Depois da atualização dashboard ficou mais simples. Consegui acompanhar pagamento, mas depois apareceu erro em usabilidade. O suporte pediu novamente as mesmas informações. ploblema vcs bugou",6,Suporte,o atendimento resolveu rapido a solicitacao tentei acompanhar pagamento e dashboard travou duas vezes o carregamento dos relatorios demorou depois da atualizacao dashboard ficou mais simples consegui acompanhar pagamento mas depois apareceu erro em usabilidade o suporte pediu novamente as mesmas informacoes ploblema vcs bugou
"extrato demorou para responder. O carregamento dos relatórios demorou. Consegui baixar relatório, mas depois apareceu erro em login. As notificações chegaram atrasadas. O suporte pediu novamente as mesmas informações.",1,Serviços,extrato demorou para responder o carregamento dos relatorios demorou consegui baixar relatorio mas depois apareceu erro em login as notificacoes chegaram atrasadas o suporte pediu novamente as mesmas informacoes
"O suporte pediu novamente as mesmas informações. Tentei acompanhar pagamento e performance travou duas vezes. Depois da atualização performance ficou mais simples. Consegui acompanhar pagamento, mas depois apareceu erro em extrato.",10,Serviços,o suporte pediu novamente as mesmas informacoes tentei acompanhar pagamento e performance travou duas vezes depois da atualizacao performance ficou mais simples consegui acompanhar pagamento mas depois apareceu erro em extrato
Sem opinião.,2,Suporte,sem opiniao
"cartão virtual demorou para responder. O atendimento resolveu rápido a solicitação. Tentei fazer transferência e cartão virtual travou duas vezes. O suporte pediu novamente as mesmas informações. Depois da atualização cartão virtual ficou mais simples. Consegui fazer transferência, mas depois apareceu erro em cadastro.",6,Geral,cartao virtual demorou para responder o atendimento resolveu rapido a solicitacao tentei fazer transferencia e cartao virtual travou duas vezes o suporte pediu novamente as mesmas informacoes depois da atualizacao cartao virtual ficou mais simples consegui fazer transferencia mas depois apareceu erro em cadastro
Tentei emitir boleto e API travou duas vezes. As notificações chegaram atrasadas. O suporte pediu novamente as mesmas informações. Precisei repetir algumas etapas para concluir.,6,Geral,tentei emitir boleto e api travou duas vezes as notificacoes chegaram atrasadas o suporte pediu novamente as mesmas informacoes precisei repetir algumas etapas para concluir
"usabilidade demorou para responder. Consegui integrar sistema, mas depois apareceu erro em API. O atendimento resolveu rápido a solicitação. O carregamento dos relatórios demorou. vcs platafroma qdo",7,Suporte,usabilidade demorou para responder consegui integrar sistema mas depois apareceu erro em api o atendimento resolveu rapido a solicitacao o carregamento dos relatorios demorou vcs platafroma qdo
As notificações chegaram atrasadas. Recebi erro enquanto tentava fazer transferência. probelma naum,2,Suporte,as notificacoes chegaram atrasadas recebi erro enquanto tentava fazer transferencia probelma naum
"Recebi erro enquanto tentava integrar sistema. Consegui integrar sistema, mas depois apareceu erro em relatórios. O carregamento dos relatórios demorou. Depois da atualização limite ficou mais simples. Tentei integrar sistema e limite travou duas vezes.",5,Pós-venda,recebi erro enquanto tentava integrar sistema consegui integrar sistema mas depois apareceu erro em relatorios o carregamento dos relatorios demorou depois da atualizacao limite ficou mais simples tentei integrar sistema e limite travou duas vezes
"O atendimento resolveu rápido a solicitação. Tentei fazer transferência e login travou duas vezes. login demorou para responder. As notificações chegaram atrasadas. Consegui fazer transferência, mas depois apareceu erro em performance. Depois da atualização login ficou mais simples.",4,Produto,o atendimento resolveu rapido a solicitacao tentei fazer transferencia e login travou duas vezes login demorou para responder as notificacoes chegaram atrasadas consegui fazer transferencia mas depois apareceu erro em performance depois da atualizacao login ficou mais simples
"Consegui acompanhar pagamento, mas depois apareceu erro em login. O suporte pediu novamente as mesmas informações. Recebi erro enquanto tentava acompanhar pagamento. Precisei repetir algumas etapas para concluir. As notificações chegaram atrasadas.",1,Pós-venda,consegui acompanhar pagamento mas depois apareceu erro em login o suporte pediu novamente as mesmas informacoes recebi erro enquanto tentava acompanhar pagamento precisei repetir algumas etapas para concluir as notificacoes chegaram atrasadas
Recebi erro enquanto tentava fazer transferência. Tentei fazer transferência e limite travou duas vezes. limite demorou para responder.,7,Pós-venda,recebi erro enquanto tentava fazer transferencia tentei fazer transferencia e limite travou duas vezes limite demorou para responder
O carregamento dos relatórios demorou. As notificações chegaram atrasadas. API demorou para responder. O suporte pediu novamente as mesmas informações.,9,Geral,o carregamento dos relatorios demorou as notificacoes chegaram atrasadas api demorou para responder o suporte pediu novamente as mesmas informacoes
"As notificações chegaram atrasadas. Consegui baixar relatório, mas depois apareceu erro em chat. O carregamento dos relatórios demorou.",7,Serviços,as notificacoes chegaram atrasadas consegui baixar relatorio mas depois apareceu erro em chat o carregamento dos relatorios demorou
"Consegui consultar saldo, mas depois apareceu erro em cartão virtual. Depois da atualização extrato ficou mais simples. Tentei consultar saldo e extrato travou duas vezes. Precisei repetir algumas etapas para concluir.",2,Geral,consegui consultar saldo mas depois apareceu erro em cartao virtual depois da atualizacao extrato ficou mais simples tentei consultar saldo e extrato travou duas vezes precisei repetir algumas etapas para concluir
"Tentei baixar relatório e cadastro travou duas vezes. As notificações chegaram atrasadas. Depois da atualização cadastro ficou mais simples. Recebi erro enquanto tentava baixar relatório. Consegui baixar relatório, mas depois apareceu erro em dashboard.",10,Serviços,tentei baixar relatorio e cadastro travou duas vezes as notificacoes chegaram atrasadas depois da atualizacao cadastro ficou mais simples recebi erro enquanto tentava baixar relatorio consegui baixar relatorio mas depois apareceu erro em dashboard
login demorou para responder. Precisei repetir algumas etapas para concluir. atendimnto travano,0,Geral,login demorou para responder precisei repetir algumas etapas para concluir atendimnto travano
O carregamento dos relatórios demorou. Depois da atualização cadastro ficou mais simples. Recebi erro enquanto tentava consultar saldo. O atendimento resolveu rápido a solicitação. msg vcs naum,6,Suporte,o carregamento dos relatorios demorou depois da atualizacao cadastro ficou mais simples recebi erro enquanto tentava consultar saldo o atendimento resolveu rapido a solicitacao msg vcs naum
Sem comentários.,2,Serviços,sem comentarios
"Precisei repetir algumas etapas para concluir. O carregamento dos relatórios demorou. O suporte pediu novamente as mesmas informações. Recebi erro enquanto tentava consultar saldo. Consegui consultar saldo, mas depois apareceu erro em chat. Depois da atualização integração ficou mais simples.",6,Produto,precisei repetir algumas etapas para concluir o carregamento dos relatorios demorou o suporte pediu novamente as mesmas informacoes recebi erro enquanto tentava consultar saldo consegui consultar saldo mas depois apareceu erro em chat depois da atualizacao integracao ficou mais simples
"Tentei consultar saldo e API travou duas vezes. Consegui consultar saldo, mas depois apareceu erro em usabilidade. As notificações chegaram atrasadas. O atendimento resolveu rápido a solicitação.",8,Suporte,tentei consultar saldo e api travou duas vezes consegui consultar saldo mas depois apareceu erro em usabilidade as notificacoes chegaram atrasadas o atendimento resolveu rapido a solicitacao
O atendimento resolveu rápido a solicitação. O carregamento dos relatórios demorou. Recebi erro enquanto tentava atualizar cadastro. Precisei repetir algumas etapas para concluir. Tentei atualizar cadastro e cadastro travou duas vezes. cadastro demorou para responder. naum bugou platafroma,8,Serviços,o atendimento resolveu rapido a solicitacao o carregamento dos relatorios demorou recebi erro enquanto tentava atualizar cadastro precisei repetir algumas etapas para concluir tentei atualizar cadastro e cadastro travou duas vezes cadastro demorou para responder naum bugou platafroma
"Consegui integrar sistema, mas depois apareceu erro em dashboard. O carregamento dos relatórios demorou. As notificações chegaram atrasadas.",0,Pós-venda,consegui integrar sistema mas depois apareceu erro em dashboard o carregamento dos relatorios demorou as notificacoes chegaram atrasadas
Depois da atualização cadastro ficou mais simples. O suporte pediu novamente as mesmas informações. As notificações chegaram atrasadas. Precisei repetir algumas etapas para concluir. Tentei consultar saldo e cadastro travou duas vezes. O carregamento dos relatórios demorou. travano platafroma bugou,8,Produto,depois da atualizacao cadastro ficou mais simples o suporte pediu novamente as mesmas informacoes as notificacoes chegaram atrasadas precisei repetir algumas etapas para concluir tentei consultar saldo e cadastro travou duas vezes o carregamento dos relatorios demorou travano platafroma bugou
Depois da atualização API ficou mais simples. API demorou para responder. O carregamento dos relatórios demorou. Precisei repetir algumas etapas para concluir. O suporte pediu novamente as mesmas informações. O atendimento resolveu rápido a solicitação. qdo travano naum,7,Serviços,depois da atualizacao api ficou mais simples api demorou para responder o carregamento dos relatorios demorou precisei repetir algumas etapas para concluir o suporte pediu novamente as mesmas informacoes o atendimento resolveu rapido a solicitacao qdo travano naum
Sem comentários.,8,Suporte,sem comentarios
As notificações chegaram atrasadas. Precisei repetir algumas etapas para concluir. O atendimento resolveu rápido a solicitação. Depois da atualização performance ficou mais simples.,3,Serviços,as notificacoes chegaram atrasadas precisei repetir algumas etapas para concluir o atendimento resolveu rapido a solicitacao depois da atualizacao performance ficou mais simples
O atendimento resolveu rápido a solicitação. O suporte pediu novamente as mesmas informações. O carregamento dos relatórios demorou. Recebi erro enquanto tentava fazer transferência.,10,Suporte,o atendimento resolveu rapido a solicitacao o suporte pediu novamente as mesmas informacoes o carregamento dos relatorios demorou recebi erro enquanto tentava fazer transferencia
"Consegui atualizar cadastro, mas depois apareceu erro em extrato. API demorou para responder. O suporte pediu novamente as mesmas informações.",9,Produto,consegui atualizar cadastro mas depois apareceu erro em extrato api demorou para responder o suporte pediu novamente as mesmas informacoes
As notificações chegaram atrasadas. notificações demorou para responder. O suporte pediu novamente as mesmas informações. Tentei emitir boleto e notificações travou duas vezes.,3,Geral,as notificacoes chegaram atrasadas notificacoes demorou para responder o suporte pediu novamente as mesmas informacoes tentei emitir boleto e notificacoes travou duas vezes
O atendimento resolveu rápido a solicitação. As notificações chegaram atrasadas. extrato demorou para responder.,2,Geral,o atendimento resolveu rapido a solicitacao as notificacoes chegaram atrasadas extrato demorou para responder
Precisei repetir algumas etapas para concluir. O atendimento resolveu rápido a solicitação. Recebi erro enquanto tentava integrar sistema. Depois da atualização performance ficou mais simples. O suporte pediu novamente as mesmas informações. Tentei integrar sistema e performance travou duas vezes.,9,Suporte,precisei repetir algumas etapas para concluir o atendimento resolveu rapido a solicitacao recebi erro enquanto tentava integrar sistema depois da atualizacao performance ficou mais simples o suporte pediu novamente as mesmas informacoes tentei integrar sistema e performance travou duas vezes
Sem opinião.,5,Produto,sem opiniao
O atendimento resolveu rápido a solicitação. Depois da atualização relatórios ficou mais simples. O suporte pediu novamente as mesmas informações. As notificações chegaram atrasadas. relatórios demorou para responder. Recebi erro enquanto tentava consultar saldo. travano demoro,6,Produto,o atendimento resolveu rapido a solicitacao depois da atualizacao relatorios ficou mais simples o suporte pediu novamente as mesmas informacoes as notificacoes chegaram atrasadas relatorios demorou para responder recebi erro enquanto tentava consultar saldo travano demoro
Depois da atualização onboarding ficou mais simples. Precisei repetir algumas etapas para concluir. naum,10,Suporte,depois da atualizacao onboarding ficou mais simples precisei repetir algumas etapas para concluir naum
"O atendimento resolveu rápido a solicitação. Consegui consultar saldo, mas depois apareceu erro em integração. atendimnto",5,Geral,o atendimento resolveu rapido a solicitacao consegui consultar saldo mas depois apareceu erro em integracao atendimnto
"extrato demorou para responder. O atendimento resolveu rápido a solicitação. Consegui emitir boleto, mas depois apareceu erro em notificações.",1,Suporte,extrato demorou para responder o atendimento resolveu rapido a solicitacao consegui emitir boleto mas depois apareceu erro em notificacoes
Tudo certo.,8,Produto,tudo certo
Regular.,5,Produto,regular
Recebi erro enquanto tentava emitir boleto. Tentei emitir boleto e cadastro travou duas vezes. O atendimento resolveu rápido a solicitação. Precisei repetir algumas etapas para concluir.,2,Pós-venda,recebi erro enquanto tentava emitir boleto tentei emitir boleto e cadastro travou duas vezes o atendimento resolveu rapido a solicitacao precisei repetir algumas etapas para concluir
relatórios demorou para responder. Depois da atualização relatórios ficou mais simples. Tentei consultar saldo e relatórios travou duas vezes. Precisei repetir algumas etapas para concluir. As notificações chegaram atrasadas. Recebi erro enquanto tentava consultar saldo. naum bugou atendimnto,1,Serviços,relatorios demorou para responder depois da atualizacao relatorios ficou mais simples tentei consultar saldo e relatorios travou duas vezes precisei repetir algumas etapas para concluir as notificacoes chegaram atrasadas recebi erro enquanto tentava consultar saldo naum bugou atendimnto
"Tentei consultar limite e relatórios travou duas vezes. O atendimento resolveu rápido a solicitação. As notificações chegaram atrasadas. Depois da atualização relatórios ficou mais simples. Consegui consultar limite, mas depois apareceu erro em integração.",2,Produto,tentei consultar limite e relatorios travou duas vezes o atendimento resolveu rapido a solicitacao as notificacoes chegaram atrasadas depois da atualizacao relatorios ficou mais simples consegui consultar limite mas depois apareceu erro em integracao
O carregamento dos relatórios demorou. O atendimento resolveu rápido a solicitação. As notificações chegaram atrasadas. performance demorou para responder.,2,Suporte,o carregamento dos relatorios demorou o atendimento resolveu rapido a solicitacao as notificacoes chegaram atrasadas performance demorou para responder
Recebi erro enquanto tentava atualizar cadastro. Precisei repetir algumas etapas para concluir. As notificações chegaram atrasadas. relatórios demorou para responder. Tentei atualizar cadastro e relatórios travou duas vezes. O carregamento dos relatórios demorou.,9,Suporte,recebi erro enquanto tentava atualizar cadastro precisei repetir algumas etapas para concluir as notificacoes chegaram atrasadas relatorios demorou para responder tentei atualizar cadastro e relatorios travou duas vezes o carregamento dos relatorios demorou
Regular.,0,Suporte,regular
usabilidade demorou para responder. Recebi erro enquanto tentava emitir boleto. O atendimento resolveu rápido a solicitação.,3,Produto,usabilidade demorou para responder recebi erro enquanto tentava emitir boleto o atendimento resolveu rapido a solicitacao
O carregamento dos relatórios demorou. limite demorou para responder. Recebi erro enquanto tentava acompanhar pagamento. Precisei repetir algumas etapas para concluir. As notificações chegaram atrasadas. naum demoro sitema,0,Suporte,o carregamento dos relatorios demorou limite demorou para responder recebi erro enquanto tentava acompanhar pagamento precisei repetir algumas etapas para concluir as notificacoes chegaram atrasadas naum demoro sitema
As notificações chegaram atrasadas. Depois da atualização limite ficou mais simples. O carregamento dos relatórios demorou.,9,Produto,as notificacoes chegaram atrasadas depois da atualizacao limite ficou mais simples o carregamento dos relatorios demorou
login demorou para responder. O atendimento resolveu rápido a solicitação. O suporte pediu novamente as mesmas informações. Recebi erro enquanto tentava integrar sistema. Tentei integrar sistema e login travou duas vezes. Depois da atualização login ficou mais simples. bugou,6,Suporte,login demorou para responder o atendimento resolveu rapido a solicitacao o suporte pediu novamente as mesmas informacoes recebi erro enquanto tentava integrar sistema tentei integrar sistema e login travou duas vezes depois da atualizacao login ficou mais simples bugou
"Consegui emitir boleto, mas depois apareceu erro em onboarding. notificações demorou para responder. Tentei emitir boleto e notificações travou duas vezes.",1,Produto,consegui emitir boleto mas depois apareceu erro em onboarding notificacoes demorou para responder tentei emitir boleto e notificacoes travou duas vezes
O suporte pediu novamente as mesmas informações. Depois da atualização login ficou mais simples. login demorou para responder. Recebi erro enquanto tentava acompanhar pagamento. O atendimento resolveu rápido a solicitação.,0,Serviços,o suporte pediu novamente as mesmas informacoes depois da atualizacao login ficou mais simples login demorou para responder recebi erro enquanto tentava acompanhar pagamento o atendimento resolveu rapido a solicitacao
"limite demorou para responder. Precisei repetir algumas etapas para concluir. O atendimento resolveu rápido a solicitação. Consegui emitir boleto, mas depois apareceu erro em cartão virtual. As notificações chegaram atrasadas. atendimnto naum ploblema",8,Produto,limite demorou para responder precisei repetir algumas etapas para concluir o atendimento resolveu rapido a solicitacao consegui emitir boleto mas depois apareceu erro em cartao virtual as notificacoes chegaram atrasadas atendimnto naum ploblema
Precisei repetir algumas etapas para concluir. Recebi erro enquanto tentava integrar sistema. Depois da atualização chat ficou mais simples. naum probelma vcs,6,Produto,precisei repetir algumas etapas para concluir recebi erro enquanto tentava integrar sistema depois da atualizacao chat ficou mais simples naum probelma vcs
performance demorou para responder. Recebi erro enquanto tentava emitir boleto. Depois da atualização performance ficou mais simples. O atendimento resolveu rápido a solicitação. O carregamento dos relatórios demorou. bugou probelma demoro,8,Produto,performance demorou para responder recebi erro enquanto tentava emitir boleto depois da atualizacao performance ficou mais simples o atendimento resolveu rapido a solicitacao o carregamento dos relatorios demorou bugou probelma demoro
"usabilidade demorou para responder. Precisei repetir algumas etapas para concluir. Consegui integrar sistema, mas depois apareceu erro em login.",2,Serviços,usabilidade demorou para responder precisei repetir algumas etapas para concluir consegui integrar sistema mas depois apareceu erro em login
"Consegui emitir boleto, mas depois apareceu erro em extrato. O carregamento dos relatórios demorou. integração demorou para responder. Recebi erro enquanto tentava emitir boleto.",1,Geral,consegui emitir boleto mas depois apareceu erro em extrato o carregamento dos relatorios demorou integracao demorou para responder recebi erro enquanto tentava emitir boleto
"O carregamento dos relatórios demorou. O suporte pediu novamente as mesmas informações. Precisei repetir algumas etapas para concluir. Consegui acompanhar pagamento, mas depois apareceu erro em integração. travano platafroma bugou",5,Produto,o carregamento dos relatorios demorou o suporte pediu novamente as mesmas informacoes precisei repetir algumas etapas para concluir consegui acompanhar pagamento mas depois apareceu erro em integracao travano platafroma bugou
O suporte pediu novamente as mesmas informações. Depois da atualização login ficou mais simples. Recebi erro enquanto tentava integrar sistema. O carregamento dos relatórios demorou.,6,Suporte,o suporte pediu novamente as mesmas informacoes depois da atualizacao login ficou mais simples recebi erro enquanto tentava integrar sistema o carregamento dos relatorios demorou
Recebi erro enquanto tentava fazer transferência. API demorou para responder. Tentei fazer transferência e API travou duas vezes. O carregamento dos relatórios demorou. Precisei repetir algumas etapas para concluir.,9,Serviços,recebi erro enquanto tentava fazer transferencia api demorou para responder tentei fazer transferencia e api travou duas vezes o carregamento dos relatorios demorou precisei repetir algumas etapas para concluir
"O atendimento resolveu rápido a solicitação. performance demorou para responder. Consegui acompanhar pagamento, mas depois apareceu erro em dashboard. Recebi erro enquanto tentava acompanhar pagamento. As notificações chegaram atrasadas. vcs msg atendimnto",8,Serviços,o atendimento resolveu rapido a solicitacao performance demorou para responder consegui acompanhar pagamento mas depois apareceu erro em dashboard recebi erro enquanto tentava acompanhar pagamento as notificacoes chegaram atrasadas vcs msg atendimnto
O carregamento dos relatórios demorou. Depois da atualização API ficou mais simples. Precisei repetir algumas etapas para concluir. O suporte pediu novamente as mesmas informações.,0,Produto,o carregamento dos relatorios demorou depois da atualizacao api ficou mais simples precisei repetir algumas etapas para concluir o suporte pediu novamente as mesmas informacoes
"O atendimento resolveu rápido a solicitação. notificações demorou para responder. Consegui integrar sistema, mas depois apareceu erro em performance. Precisei repetir algumas etapas para concluir. O suporte pediu novamente as mesmas informações. Depois da atualização notificações ficou mais simples.",7,Geral,o atendimento resolveu rapido a solicitacao notificacoes demorou para responder consegui integrar sistema mas depois apareceu erro em performance precisei repetir algumas etapas para concluir o suporte pediu novamente as mesmas informacoes depois da atualizacao notificacoes ficou mais simples
"Recebi erro enquanto tentava acompanhar pagamento. O atendimento resolveu rápido a solicitação. Precisei repetir algumas etapas para concluir. Consegui acompanhar pagamento, mas depois apareceu erro em usabilidade. Tentei acompanhar pagamento e pagamentos travou duas vezes. probelma",0,Geral,recebi erro enquanto tentava acompanhar pagamento o atendimento resolveu rapido a solicitacao precisei repetir algumas etapas para concluir consegui acompanhar pagamento mas depois apareceu erro em usabilidade tentei acompanhar pagamento e pagamentos travou duas vezes probelma
Precisei repetir algumas etapas para concluir. onboarding demorou para responder. O atendimento resolveu rápido a solicitação.,9,Geral,precisei repetir algumas etapas para concluir onboarding demorou para responder o atendimento resolveu rapido a solicitacao
"Precisei repetir algumas etapas para concluir. Consegui acompanhar pagamento, mas depois apareceu erro em onboarding.",3,Suporte,precisei repetir algumas etapas para concluir consegui acompanhar pagamento mas depois apareceu erro em onboarding
Sem opinião.,7,Produto,sem opiniao
"Recebi erro enquanto tentava fazer transferência. Consegui fazer transferência, mas depois apareceu erro em cadastro. login demorou para responder. bugou platafroma sitema",1,Suporte,recebi erro enquanto tentava fazer transferencia consegui fazer transferencia mas depois apareceu erro em cadastro login demorou para responder bugou platafroma sitema
Recebi erro enquanto tentava emitir boleto. As notificações chegaram atrasadas.,10,Produto,recebi erro enquanto tentava emitir boleto as notificacoes chegaram atrasadas
Ok.,2,Suporte,ok
"Consegui baixar relatório, mas depois apareceu erro em relatórios. Precisei repetir algumas etapas para concluir. Tentei baixar relatório e usabilidade travou duas vezes. sitema",5,Produto,consegui baixar relatorio mas depois apareceu erro em relatorios precisei repetir algumas etapas para concluir tentei baixar relatorio e usabilidade travou duas vezes sitema
O carregamento dos relatórios demorou. Recebi erro enquanto tentava baixar relatório. cadastro demorou para responder. As notificações chegaram atrasadas.,3,Produto,o carregamento dos relatorios demorou recebi erro enquanto tentava baixar relatorio cadastro demorou para responder as notificacoes chegaram atrasadas
integração demorou para responder. O atendimento resolveu rápido a solicitação. Tentei consultar limite e integração travou duas vezes. O suporte pediu novamente as mesmas informações. O carregamento dos relatórios demorou. Precisei repetir algumas etapas para concluir.,1,Suporte,integracao demorou para responder o atendimento resolveu rapido a solicitacao tentei consultar limite e integracao travou duas vezes o suporte pediu novamente as mesmas informacoes o carregamento dos relatorios demorou precisei repetir algumas etapas para concluir
O atendimento resolveu rápido a solicitação. As notificações chegaram atrasadas. Recebi erro enquanto tentava acompanhar pagamento. O carregamento dos relatórios demorou.,4,Suporte,o atendimento resolveu rapido a solicitacao as notificacoes chegaram atrasadas recebi erro enquanto tentava acompanhar pagamento o carregamento dos relatorios demorou
Precisei repetir algumas etapas para concluir. Depois da atualização chat ficou mais simples. Tentei integrar sistema e chat travou duas vezes.,3,Serviços,precisei repetir algumas etapas para concluir depois da atualizacao chat ficou mais simples tentei integrar sistema e chat travou duas vezes
"O carregamento dos relatórios demorou. O atendimento resolveu rápido a solicitação. Precisei repetir algumas etapas para concluir. Consegui consultar limite, mas depois apareceu erro em notificações. probelma",7,Suporte,o carregamento dos relatorios demorou o atendimento resolveu rapido a solicitacao precisei repetir algumas etapas para concluir consegui consultar limite mas depois apareceu erro em notificacoes probelma
usabilidade demorou para responder. Depois da atualização usabilidade ficou mais simples.,4,Geral,usabilidade demorou para responder depois da atualizacao usabilidade ficou mais simples
"Tentei baixar relatório e limite travou duas vezes. limite demorou para responder. Precisei repetir algumas etapas para concluir. Consegui baixar relatório, mas depois apareceu erro em notificações.",5,Produto,tentei baixar relatorio e limite travou duas vezes limite demorou para responder precisei repetir algumas etapas para concluir consegui baixar relatorio mas depois apareceu erro em notificacoes
chat demorou para responder. Precisei repetir algumas etapas para concluir. O suporte pediu novamente as mesmas informações.,6,Pós-venda,chat demorou para responder precisei repetir algumas etapas para concluir o suporte pediu novamente as mesmas informacoes
"Consegui fazer transferência, mas depois apareceu erro em onboarding. O suporte pediu novamente as mesmas informações. vcs",1,Pós-venda,consegui fazer transferencia mas depois apareceu erro em onboarding o suporte pediu novamente as mesmas informacoes vcs
As notificações chegaram atrasadas. O suporte pediu novamente as mesmas informações. Recebi erro enquanto tentava baixar relatório. cartão virtual demorou para responder.,5,Suporte,as notificacoes chegaram atrasadas o suporte pediu novamente as mesmas informacoes recebi erro enquanto tentava baixar relatorio cartao virtual demorou para responder
O suporte pediu novamente as mesmas informações. Depois da atualização cartão virtual ficou mais simples. Recebi erro enquanto tentava fazer transferência. platafroma sitema,5,Serviços,o suporte pediu novamente as mesmas informacoes depois da atualizacao cartao virtual ficou mais simples recebi erro enquanto tentava fazer transferencia platafroma sitema
"Consegui emitir boleto, mas depois apareceu erro em dashboard. Tentei emitir boleto e integração travou duas vezes.",0,Suporte,consegui emitir boleto mas depois apareceu erro em dashboard tentei emitir boleto e integracao travou duas vezes
"Recebi erro enquanto tentava consultar limite. Depois da atualização dashboard ficou mais simples. dashboard demorou para responder. Consegui consultar limite, mas depois apareceu erro em limite.",6,Serviços,recebi erro enquanto tentava consultar limite depois da atualizacao dashboard ficou mais simples dashboard demorou para responder consegui consultar limite mas depois apareceu erro em limite
Achei estranho.,8,Produto,achei estranho
Tentei emitir boleto e onboarding travou duas vezes. Depois da atualização onboarding ficou mais simples. Recebi erro enquanto tentava emitir boleto. O carregamento dos relatórios demorou.,2,Produto,tentei emitir boleto e onboarding travou duas vezes depois da atualizacao onboarding ficou mais simples recebi erro enquanto tentava emitir boleto o carregamento dos relatorios demorou
Recebi erro enquanto tentava acompanhar pagamento. Tentei acompanhar pagamento e limite travou duas vezes. O suporte pediu novamente as mesmas informações. limite demorou para responder.,1,Produto,recebi erro enquanto tentava acompanhar pagamento tentei acompanhar pagamento e limite travou duas vezes o suporte pediu novamente as mesmas informacoes limite demorou para responder
"Consegui fazer transferência, mas depois apareceu erro em cartão virtual. Tentei fazer transferência e integração travou duas vezes. msg atendimnto",7,Pós-venda,consegui fazer transferencia mas depois apareceu erro em cartao virtual tentei fazer transferencia e integracao travou duas vezes msg atendimnto
O suporte pediu novamente as mesmas informações. Depois da atualização limite ficou mais simples. Tentei consultar limite e limite travou duas vezes. Recebi erro enquanto tentava consultar limite. O carregamento dos relatórios demorou. Precisei repetir algumas etapas para concluir. travano,8,Produto,o suporte pediu novamente as mesmas informacoes depois da atualizacao limite ficou mais simples tentei consultar limite e limite travou duas vezes recebi erro enquanto tentava consultar limite o carregamento dos relatorios demorou precisei repetir algumas etapas para concluir travano
As notificações chegaram atrasadas. Precisei repetir algumas etapas para concluir. O carregamento dos relatórios demorou. Depois da atualização API ficou mais simples. demoro vcs,3,Geral,as notificacoes chegaram atrasadas precisei repetir algumas etapas para concluir o carregamento dos relatorios demorou depois da atualizacao api ficou mais simples demoro vcs
O suporte pediu novamente as mesmas informações. As notificações chegaram atrasadas.,2,Produto,o suporte pediu novamente as mesmas informacoes as notificacoes chegaram atrasadas
Tentei emitir boleto e login travou duas vezes. Depois da atualização login ficou mais simples.,5,Suporte,tentei emitir boleto e login travou duas vezes depois da atualizacao login ficou mais simples
"Consegui atualizar cadastro, mas depois apareceu erro em usabilidade. O carregamento dos relatórios demorou. Recebi erro enquanto tentava atualizar cadastro. As notificações chegaram atrasadas. O atendimento resolveu rápido a solicitação. O suporte pediu novamente as mesmas informações.",1,Serviços,consegui atualizar cadastro mas depois apareceu erro em usabilidade o carregamento dos relatorios demorou recebi erro enquanto tentava atualizar cadastro as notificacoes chegaram atrasadas o atendimento resolveu rapido a solicitacao o suporte pediu novamente as mesmas informacoes
Recebi erro enquanto tentava integrar sistema. O atendimento resolveu rápido a solicitação. chat demorou para responder. demoro naum qdo,10,Geral,recebi erro enquanto tentava integrar sistema o atendimento resolveu rapido a solicitacao chat demorou para responder demoro naum qdo
Precisei repetir algumas etapas para concluir. O carregamento dos relatórios demorou. Depois da atualização chat ficou mais simples. O atendimento resolveu rápido a solicitação. Recebi erro enquanto tentava baixar relatório.,4,Geral,precisei repetir algumas etapas para concluir o carregamento dos relatorios demorou depois da atualizacao chat ficou mais simples o atendimento resolveu rapido a solicitacao recebi erro enquanto tentava baixar relatorio
