comentario,nota,responsavel,comentario_sem_stopwords
pagamentos demorou para responder. Recebi erro enquanto tentava fazer transferência. ploblema,10,Pós-venda,pagamentos demorou responder recebi erro enquanto tentava fazer transferencia ploblema
Tentei atualizar cadastro e relatórios travou duas vezes. Recebi erro enquanto tentava atualizar cadastro. As notificações chegaram atrasadas. msg probelma,7,Geral,tentei atualizar cadastro relatorios travou duas vezes recebi erro enquanto tentava atualizar cadastro notificacoes chegaram atrasadas msg probelma
O atendimento resolveu rápido a solicitação. As notificações chegaram atrasadas. Tentei fazer transferência e relatórios travou duas vezes. O suporte pediu novamente as mesmas informações. O carregamento dos relatórios demorou. travano demoro bugou,6,Produto,atendimento resolveu rapido solicitacao notificacoes chegaram atrasadas tentei fazer transferencia relatorios travou duas vezes suporte pediu novamente mesmas informacoes carregamento relatorios demorou travano demoro bugou
performance demorou para responder. Depois da atualização performance ficou mais simples.,10,Suporte,performance demorou responder atualizacao performance ficou simples
"Tentei atualizar cadastro e cadastro travou duas vezes. Depois da atualização cadastro ficou mais simples. cadastro demorou para responder. O atendimento resolveu rápido a solicitação. Consegui atualizar cadastro, mas depois apareceu erro em cartão virtual. O suporte pediu novamente as mesmas informações. bugou",5,Produto,tentei atualizar cadastro cadastro travou duas vezes atualizacao cadastro ficou simples cadastro demorou responder atendimento resolveu rapido solicitacao consegui atualizar cadastro apareceu erro cartao virtual suporte pediu novamente mesmas informacoes bugou
"O atendimento resolveu rápido a solicitação. Consegui consultar limite, mas depois apareceu erro em API. O carregamento dos relatórios demorou.",6,Pós-venda,atendimento resolveu rapido solicitacao consegui consultar limite apareceu erro api carregamento relatorios demorou
O carregamento dos relatórios demorou. Recebi erro enquanto tentava atualizar cadastro. Depois da atualização extrato ficou mais simples. O atendimento resolveu rápido a solicitação.,0,Produto,carregamento relatorios demorou recebi erro enquanto tentava atualizar cadastro atualizacao extrato ficou simples atendimento resolveu rapido solicitacao
relatórios demorou para responder. Depois da atualização relatórios ficou mais simples.,5,Produto,relatorios demorou responder atualizacao relatorios ficou simples
O suporte pediu novamente as mesmas informações. Recebi erro enquanto tentava atualizar cadastro. O carregamento dos relatórios demorou. As notificações chegaram atrasadas. Tentei atualizar cadastro e cartão virtual travou duas vezes. demoro,9,Suporte,suporte pediu novamente mesmas informacoes recebi erro enquanto tentava atualizar cadastro carregamento relatorios demorou notificacoes chegaram atrasadas tentei atualizar cadastro cartao virtual travou duas vezes demoro
"O carregamento dos relatórios demorou. Tentei emitir boleto e integração travou duas vezes. O suporte pediu novamente as mesmas informações. As notificações chegaram atrasadas. Consegui emitir boleto, mas depois apareceu erro em chat. naum sitema",1,Pós-venda,carregamento relatorios demorou tentei emitir boleto integracao travou duas vezes suporte pediu novamente mesmas informacoes notificacoes chegaram atrasadas consegui emitir boleto apareceu erro chat naum sitema
As notificações chegaram atrasadas. Tentei baixar relatório e extrato travou duas vezes. O atendimento resolveu rápido a solicitação. Precisei repetir algumas etapas para concluir. Recebi erro enquanto tentava baixar relatório.,7,Suporte,notificacoes chegaram atrasadas tentei baixar relatorio extrato travou duas vezes atendimento resolveu rapido solicitacao precisei repetir algumas etapas concluir recebi erro enquanto tentava baixar relatorio
Tentei consultar limite e onboarding travou duas vezes. As notificações chegaram atrasadas. Precisei repetir algumas etapas para concluir. atendimnto,10,Suporte,tentei consultar limite onboarding travou duas vezes notificacoes chegaram atrasadas precisei repetir algumas etapas concluir atendimnto
"Precisei repetir algumas etapas para concluir. As notificações chegaram atrasadas. Consegui integrar sistema, mas depois apareceu erro em extrato.",8,Geral,precisei repetir algumas etapas concluir notificacoes chegaram atrasadas consegui integrar apareceu erro extrato
As notificações chegaram atrasadas. onboarding demorou para responder. Precisei repetir algumas etapas para concluir.,9,Produto,notificacoes chegaram atrasadas onboarding demorou responder precisei repetir algumas etapas concluir
Recebi erro enquanto tentava fazer transferência. As notificações chegaram atrasadas. O suporte pediu novamente as mesmas informações. O carregamento dos relatórios demorou. Depois da atualização performance ficou mais simples. Precisei repetir algumas etapas para concluir.,6,Produto,recebi erro enquanto tentava fazer transferencia notificacoes chegaram atrasadas suporte pediu novamente mesmas informacoes carregamento relatorios demorou atualizacao performance ficou simples precisei repetir algumas etapas concluir
Ok.,1,Suporte,ok
"As notificações chegaram atrasadas. Tentei emitir boleto e chat travou duas vezes. chat demorou para responder. Consegui emitir boleto, mas depois apareceu erro em performance. O atendimento resolveu rápido a solicitação. Depois da atualização chat ficou mais simples. probelma ploblema bugou",9,Serviços,notificacoes chegaram atrasadas tentei emitir boleto chat travou duas vezes chat demorou responder consegui emitir boleto apareceu erro performance atendimento resolveu rapido solicitacao atualizacao chat ficou simples probelma ploblema bugou
Tentei consultar limite e integração travou duas vezes. O suporte pediu novamente as mesmas informações. Recebi erro enquanto tentava consultar limite. Depois da atualização integração ficou mais simples.,3,Produto,tentei consultar limite integracao travou duas vezes suporte pediu novamente mesmas informacoes recebi erro enquanto tentava consultar limite atualizacao integracao ficou simples
dashboard demorou para responder. O suporte pediu novamente as mesmas informações. vcs,9,Serviços,dashboard demorou responder suporte pediu novamente mesmas informacoes vcs
"Tentei emitir boleto e notificações travou duas vezes. As notificações chegaram atrasadas. Recebi erro enquanto tentava emitir boleto. Consegui emitir boleto, mas depois apareceu erro em cartão virtual. O atendimento resolveu rápido a solicitação. sitema bugou atendimnto",5,Suporte,tentei emitir boleto notificacoes travou duas vezes notificacoes chegaram atrasadas recebi erro enquanto tentava emitir boleto consegui emitir boleto apareceu erro cartao virtual atendimento resolveu rapido solicitacao sitema bugou atendimnto
Precisei repetir algumas etapas para concluir. Tentei consultar saldo e API travou duas vezes. Recebi erro enquanto tentava consultar saldo.,7,Serviços,precisei repetir algumas etapas concluir tentei consultar saldo api travou duas vezes recebi erro enquanto tentava consultar saldo
O carregamento dos relatórios demorou. O suporte pediu novamente as mesmas informações. Recebi erro enquanto tentava consultar saldo. naum,7,Pós-venda,carregamento relatorios demorou suporte pediu novamente mesmas informacoes recebi erro enquanto tentava consultar saldo naum
"Consegui integrar sistema, mas depois apareceu erro em onboarding. Tentei integrar sistema e notificações travou duas vezes. vcs",8,Suporte,consegui integrar apareceu erro onboarding tentei integrar notificacoes travou duas vezes vcs
O carregamento dos relatórios demorou. O suporte pediu novamente as mesmas informações. Depois da atualização limite ficou mais simples. O atendimento resolveu rápido a solicitação.,2,Serviços,carregamento relatorios demorou suporte pediu novamente mesmas informacoes atualizacao limite ficou simples atendimento resolveu rapido solicitacao
As notificações chegaram atrasadas. Recebi erro enquanto tentava acompanhar pagamento. O suporte pediu novamente as mesmas informações. O carregamento dos relatórios demorou.,6,Produto,notificacoes chegaram atrasadas recebi erro enquanto tentava acompanhar pagamento suporte pediu novamente mesmas informacoes carregamento relatorios demorou
"Precisei repetir algumas etapas para concluir. Recebi erro enquanto tentava atualizar cadastro. As notificações chegaram atrasadas. Consegui atualizar cadastro, mas depois apareceu erro em cartão virtual. atendimnto travano",7,Pós-venda,precisei repetir algumas etapas concluir recebi erro enquanto tentava atualizar cadastro notificacoes chegaram atrasadas consegui atualizar cadastro apareceu erro cartao virtual atendimnto travano
"As notificações chegaram atrasadas. O suporte pediu novamente as mesmas informações. O atendimento resolveu rápido a solicitação. Consegui atualizar cadastro, mas depois apareceu erro em relatórios. Tentei atualizar cadastro e login travou duas vezes. Depois da atualização login ficou mais simples. sitema msg",7,Geral,notificacoes chegaram atrasadas suporte pediu novamente mesmas informacoes atendimento resolveu rapido solicitacao consegui atualizar cadastro apareceu erro relatorios tentei atualizar cadastro login travou duas vezes atualizacao login ficou simples sitema msg
Recebi erro enquanto tentava fazer transferência. Tentei fazer transferência e extrato travou duas vezes. O atendimento resolveu rápido a solicitação. Depois da atualização extrato ficou mais simples. probelma platafroma,1,Produto,recebi erro enquanto tentava fazer transferencia tentei fazer transferencia extrato travou duas vezes atendimento resolveu rapido solicitacao atualizacao extrato ficou simples probelma platafroma
"Precisei repetir algumas etapas para concluir. Consegui consultar limite, mas depois apareceu erro em dashboard. O carregamento dos relatórios demorou. Tentei consultar limite e relatórios travou duas vezes.",5,Produto,precisei repetir algumas etapas concluir consegui consultar limite apareceu erro dashboard carregamento relatorios demorou tentei consultar limite relatorios travou duas vezes
Tudo certo.,10,Serviços,tudo certo
Depois da atualização extrato ficou mais simples. Precisei repetir algumas etapas para concluir. sitema vcs,6,Serviços,atualizacao extrato ficou simples precisei repetir algumas etapas concluir sitema vcs
Tentei acompanhar pagamento e chat travou duas vezes. O suporte pediu novamente as mesmas informações. Precisei repetir algumas etapas para concluir. O atendimento resolveu rápido a solicitação. O carregamento dos relatórios demorou. Depois da atualização chat ficou mais simples.,2,Suporte,tentei acompanhar pagamento chat travou duas vezes suporte pediu novamente mesmas informacoes precisei repetir algumas etapas concluir atendimento resolveu rapido solicitacao carregamento relatorios demorou atualizacao chat ficou simples
Mais ou menos.,6,Suporte,menos
As notificações chegaram atrasadas. O suporte pediu novamente as mesmas informações. sitema vcs,0,Geral,notificacoes chegaram atrasadas suporte pediu novamente mesmas informacoes sitema vcs
Depois da atualização login ficou mais simples. Recebi erro enquanto tentava atualizar cadastro. O atendimento resolveu rápido a solicitação. O suporte pediu novamente as mesmas informações. Tentei atualizar cadastro e login travou duas vezes. qdo,5,Produto,atualizacao login ficou simples recebi erro enquanto tentava atualizar cadastro atendimento resolveu rapido solicitacao suporte pediu novamente mesmas informacoes tentei atualizar cadastro login travou duas vezes qdo
"Recebi erro enquanto tentava acompanhar pagamento. Consegui acompanhar pagamento, mas depois apareceu erro em cartão virtual. O atendimento resolveu rápido a solicitação.",5,Suporte,recebi erro enquanto tentava acompanhar pagamento consegui acompanhar pagamento apareceu erro cartao virtual atendimento resolveu rapido solicitacao
Recebi erro enquanto tentava atualizar cadastro. Tentei atualizar cadastro e onboarding travou duas vezes.,0,Produto,recebi erro enquanto tentava atualizar cadastro tentei atualizar cadastro onboarding travou duas vezes
integração demorou para responder. Precisei repetir algumas etapas para concluir. Depois da atualização integração ficou mais simples. Tentei consultar limite e integração travou duas vezes. demoro,5,Suporte,integracao demorou responder precisei repetir algumas etapas concluir atualizacao integracao ficou simples tentei consultar limite integracao travou duas vezes demoro
"Depois da atualização cadastro ficou mais simples. Precisei repetir algumas etapas para concluir. O suporte pediu novamente as mesmas informações. cadastro demorou para responder. O atendimento resolveu rápido a solicitação. Consegui acompanhar pagamento, mas depois apareceu erro em dashboard. ploblema vcs",6,Geral,atualizacao cadastro ficou simples precisei repetir algumas etapas concluir suporte pediu novamente mesmas informacoes cadastro demorou responder atendimento resolveu rapido solicitacao consegui acompanhar pagamento apareceu erro dashboard ploblema vcs
Recebi erro enquanto tentava acompanhar pagamento. Depois da atualização performance ficou mais simples. travano,3,Produto,recebi erro enquanto tentava acompanhar pagamento atualizacao performance ficou simples travano
"O carregamento dos relatórios demorou. Precisei repetir algumas etapas para concluir. O atendimento resolveu rápido a solicitação. As notificações chegaram atrasadas. dashboard demorou para responder. Consegui acompanhar pagamento, mas depois apareceu erro em extrato.",6,Suporte,carregamento relatorios demorou precisei repetir algumas etapas concluir atendimento resolveu rapido solicitacao notificacoes chegaram atrasadas dashboard demorou responder consegui acompanhar pagamento apareceu erro extrato
"Precisei repetir algumas etapas para concluir. O carregamento dos relatórios demorou. Consegui consultar limite, mas depois apareceu erro em extrato. As notificações chegaram atrasadas. Depois da atualização notificações ficou mais simples. sitema msg",1,Geral,precisei repetir algumas etapas concluir carregamento relatorios demorou consegui consultar limite apareceu erro extrato notificacoes chegaram atrasadas atualizacao notificacoes ficou simples sitema msg
"Consegui emitir boleto, mas depois apareceu erro em limite. Tentei emitir boleto e API travou duas vezes.",9,Serviços,consegui emitir boleto apareceu erro limite tentei emitir boleto api travou duas vezes
Recebi erro enquanto tentava integrar sistema. O carregamento dos relatórios demorou. Precisei repetir algumas etapas para concluir. relatórios demorou para responder.,0,Suporte,recebi erro enquanto tentava integrar carregamento relatorios demorou precisei repetir algumas etapas concluir relatorios demorou responder
O atendimento resolveu rápido a solicitação. Recebi erro enquanto tentava baixar relatório. Tentei baixar relatório e extrato travou duas vezes. Precisei repetir algumas etapas para concluir. probelma ploblema,8,Suporte,atendimento resolveu rapido solicitacao recebi erro enquanto tentava baixar relatorio tentei baixar relatorio extrato travou duas vezes precisei repetir algumas etapas concluir probelma ploblema
As notificações chegaram atrasadas. Recebi erro enquanto tentava baixar relatório. Tentei baixar relatório e relatórios travou duas vezes. O atendimento resolveu rápido a solicitação. O carregamento dos relatórios demorou. Depois da atualização relatórios ficou mais simples. qdo,2,Suporte,notificacoes chegaram atrasadas recebi erro enquanto tentava baixar relatorio tentei baixar relatorio relatorios travou duas vezes atendimento resolveu rapido solicitacao carregamento relatorios demorou atualizacao relatorios ficou simples qdo
Normal.,3,Produto,normal
"Consegui consultar limite, mas depois apareceu erro em usabilidade. O suporte pediu novamente as mesmas informações.",9,Suporte,consegui consultar limite apareceu erro usabilidade suporte pediu novamente mesmas informacoes
Recebi erro enquanto tentava atualizar cadastro. pagamentos demorou para responder.,3,Suporte,recebi erro enquanto tentava atualizar cadastro pagamentos demorou responder
O atendimento resolveu rápido a solicitação. Recebi erro enquanto tentava acompanhar pagamento. onboarding demorou para responder. msg qdo,7,Serviços,atendimento resolveu rapido solicitacao recebi erro enquanto tentava acompanhar pagamento onboarding demorou responder msg qdo
Tentei emitir boleto e API travou duas vezes. O atendimento resolveu rápido a solicitação. Depois da atualização API ficou mais simples.,6,Serviços,tentei emitir boleto api travou duas vezes atendimento resolveu rapido solicitacao atualizacao api ficou simples
"O suporte pediu novamente as mesmas informações. Consegui consultar saldo, mas depois apareceu erro em onboarding. login demorou para responder. As notificações chegaram atrasadas. Recebi erro enquanto tentava consultar saldo. Tentei consultar saldo e login travou duas vezes. atendimnto platafroma travano",3,Produto,suporte pediu novamente mesmas informacoes consegui consultar saldo apareceu erro onboarding login demorou responder notificacoes chegaram atrasadas recebi erro enquanto tentava consultar saldo tentei consultar saldo login travou duas vezes atendimnto platafroma travano
Tentei integrar sistema e limite travou duas vezes. O atendimento resolveu rápido a solicitação. O suporte pediu novamente as mesmas informações. O carregamento dos relatórios demorou. limite demorou para responder.,8,Serviços,tentei integrar limite travou duas vezes atendimento resolveu rapido solicitacao suporte pediu novamente mesmas informacoes carregamento relatorios demorou limite demorou responder
"As notificações chegaram atrasadas. Consegui consultar saldo, mas depois apareceu erro em cadastro. pagamentos demorou para responder. probelma",9,Serviços,notificacoes chegaram atrasadas consegui consultar saldo apareceu erro cadastro pagamentos demorou responder probelma
Recebi erro enquanto tentava acompanhar pagamento. O suporte pediu novamente as mesmas informações. Depois da atualização performance ficou mais simples. O carregamento dos relatórios demorou. Precisei repetir algumas etapas para concluir. atendimnto bugou sitema,6,Produto,recebi erro enquanto tentava acompanhar pagamento suporte pediu novamente mesmas informacoes atualizacao performance ficou simples carregamento relatorios demorou precisei repetir algumas etapas concluir atendimnto bugou sitema
Recebi erro enquanto tentava integrar sistema. As notificações chegaram atrasadas. Depois da atualização login ficou mais simples. O suporte pediu novamente as mesmas informações. login demorou para responder. O atendimento resolveu rápido a solicitação. platafroma,4,Serviços,recebi erro enquanto tentava integrar notificacoes chegaram atrasadas atualizacao login ficou simples suporte pediu novamente mesmas informacoes login demorou responder atendimento resolveu rapido solicitacao platafroma
"O carregamento dos relatórios demorou. API demorou para responder. O suporte pediu novamente as mesmas informações. Consegui atualizar cadastro, mas depois apareceu erro em relatórios. Precisei repetir algumas etapas para concluir. Tentei atualizar cadastro e API travou duas vezes.",2,Pós-venda,carregamento relatorios demorou api demorou responder suporte pediu novamente mesmas informacoes consegui atualizar cadastro apareceu erro relatorios precisei repetir algumas etapas concluir tentei atualizar cadastro api travou duas vezes
Depois da atualização onboarding ficou mais simples. O suporte pediu novamente as mesmas informações. travano qdo,0,Suporte,atualizacao onboarding ficou simples suporte pediu novamente mesmas informacoes travano qdo
O suporte pediu novamente as mesmas informações. pagamentos demorou para responder.,2,Suporte,suporte pediu novamente mesmas informacoes pagamentos demorou responder
"O atendimento resolveu rápido a solicitação. Consegui consultar saldo, mas depois apareceu erro em notificações. As notificações chegaram atrasadas. O carregamento dos relatórios demorou. Depois da atualização pagamentos ficou mais simples.",9,Suporte,atendimento resolveu rapido solicitacao consegui consultar saldo apareceu erro notificacoes notificacoes chegaram atrasadas carregamento relatorios demorou atualizacao pagamentos ficou simples
As notificações chegaram atrasadas. O atendimento resolveu rápido a solicitação. chat demorou para responder. O carregamento dos relatórios demorou. Recebi erro enquanto tentava fazer transferência. Depois da atualização chat ficou mais simples. probelma ploblema travano,4,Suporte,notificacoes chegaram atrasadas atendimento resolveu rapido solicitacao chat demorou responder carregamento relatorios demorou recebi erro enquanto tentava fazer transferencia atualizacao chat ficou simples probelma ploblema travano
"As notificações chegaram atrasadas. Recebi erro enquanto tentava fazer transferência. limite demorou para responder. O suporte pediu novamente as mesmas informações. Consegui fazer transferência, mas depois apareceu erro em relatórios.",9,Suporte,notificacoes chegaram atrasadas recebi erro enquanto tentava fazer transferencia limite demorou responder suporte pediu novamente mesmas informacoes consegui fazer transferencia apareceu erro relatorios
As notificações chegaram atrasadas. Precisei repetir algumas etapas para concluir. Depois da atualização limite ficou mais simples. Tentei consultar limite e limite travou duas vezes. O suporte pediu novamente as mesmas informações. vcs msg,10,Produto,notificacoes chegaram atrasadas precisei repetir algumas etapas concluir atualizacao limite ficou simples tentei consultar limite limite travou duas vezes suporte pediu novamente mesmas informacoes vcs msg
Precisei repetir algumas etapas para concluir. O carregamento dos relatórios demorou. O suporte pediu novamente as mesmas informações. msg sitema,4,Serviços,precisei repetir algumas etapas concluir carregamento relatorios demorou suporte pediu novamente mesmas informacoes msg sitema
Recebi erro enquanto tentava baixar relatório. Tentei baixar relatório e onboarding travou duas vezes. vcs atendimnto demoro,7,Serviços,recebi erro enquanto tentava baixar relatorio tentei baixar relatorio onboarding travou duas vezes vcs atendimnto demoro
Precisei repetir algumas etapas para concluir. O carregamento dos relatórios demorou.,4,Suporte,precisei repetir algumas etapas concluir carregamento relatorios demorou
"Consegui baixar relatório, mas depois apareceu erro em performance. relatórios demorou para responder. O suporte pediu novamente as mesmas informações.",3,Suporte,consegui baixar relatorio apareceu erro performance relatorios demorou responder suporte pediu novamente mesmas informacoes
Recebi erro enquanto tentava acompanhar pagamento. Tentei acompanhar pagamento e chat travou duas vezes. naum,0,Serviços,recebi erro enquanto tentava acompanhar pagamento tentei acompanhar pagamento chat travou duas vezes naum
"Tentei baixar relatório e login travou duas vezes. Recebi erro enquanto tentava baixar relatório. O suporte pediu novamente as mesmas informações. Consegui baixar relatório, mas depois apareceu erro em onboarding. As notificações chegaram atrasadas.",3,Suporte,tentei baixar relatorio login travou duas vezes recebi erro enquanto tentava baixar relatorio suporte pediu novamente mesmas informacoes consegui baixar relatorio apareceu erro onboarding notificacoes chegaram atrasadas
Recebi erro enquanto tentava baixar relatório. As notificações chegaram atrasadas. chat demorou para responder. O atendimento resolveu rápido a solicitação. Tentei baixar relatório e chat travou duas vezes. Precisei repetir algumas etapas para concluir. travano probelma msg,8,Geral,recebi erro enquanto tentava baixar relatorio notificacoes chegaram atrasadas chat demorou responder atendimento resolveu rapido solicitacao tentei baixar relatorio chat travou duas vezes precisei repetir algumas etapas concluir travano probelma msg
Precisei repetir algumas etapas para concluir. Depois da atualização limite ficou mais simples. sitema bugou,8,Produto,precisei repetir algumas etapas concluir atualizacao limite ficou simples sitema bugou
O suporte pediu novamente as mesmas informações. Depois da atualização onboarding ficou mais simples. qdo demoro,1,Serviços,suporte pediu novamente mesmas informacoes atualizacao onboarding ficou simples qdo demoro
O atendimento resolveu rápido a solicitação. cadastro demorou para responder.,10,Suporte,atendimento resolveu rapido solicitacao cadastro demorou responder
Sem comentários.,4,Serviços,comentarios
Recebi erro enquanto tentava consultar limite. usabilidade demorou para responder. O carregamento dos relatórios demorou. Depois da atualização usabilidade ficou mais simples. O atendimento resolveu rápido a solicitação. O suporte pediu novamente as mesmas informações. msg ploblema travano,8,Produto,recebi erro enquanto tentava consultar limite usabilidade demorou responder carregamento relatorios demorou atualizacao usabilidade ficou simples atendimento resolveu rapido solicitacao suporte pediu novamente mesmas informacoes msg ploblema travano
Precisei repetir algumas etapas para concluir. cadastro demorou para responder. O suporte pediu novamente as mesmas informações. Recebi erro enquanto tentava consultar limite. O atendimento resolveu rápido a solicitação. atendimnto demoro travano,1,Pós-venda,precisei repetir algumas etapas concluir cadastro demorou responder suporte pediu novamente mesmas informacoes recebi erro enquanto tentava consultar limite atendimento resolveu rapido solicitacao atendimnto demoro travano
Sem comentários.,1,Geral,comentarios
"Consegui baixar relatório, mas depois apareceu erro em cadastro. Precisei repetir algumas etapas para concluir. Recebi erro enquanto tentava baixar relatório. Depois da atualização usabilidade ficou mais simples.",10,Suporte,consegui baixar relatorio apareceu erro cadastro precisei repetir algumas etapas concluir recebi erro enquanto tentava baixar relatorio atualizacao usabilidade ficou simples
Tentei atualizar cadastro e login travou duas vezes. Recebi erro enquanto tentava atualizar cadastro.,6,Produto,tentei atualizar cadastro login travou duas vezes recebi erro enquanto tentava atualizar cadastro
Depois da atualização usabilidade ficou mais simples. As notificações chegaram atrasadas. demoro naum probelma,10,Produto,atualizacao usabilidade ficou simples notificacoes chegaram atrasadas demoro naum probelma
"As notificações chegaram atrasadas. O carregamento dos relatórios demorou. Consegui acompanhar pagamento, mas depois apareceu erro em notificações. travano",7,Suporte,notificacoes chegaram atrasadas carregamento relatorios demorou consegui acompanhar pagamento apareceu erro notificacoes travano
As notificações chegaram atrasadas. O carregamento dos relatórios demorou. Recebi erro enquanto tentava consultar saldo. integração demorou para responder. bugou travano naum,1,Pós-venda,notificacoes chegaram atrasadas carregamento relatorios demorou recebi erro enquanto tentava consultar saldo integracao demorou responder bugou travano naum
Precisei repetir algumas etapas para concluir. O carregamento dos relatórios demorou. limite demorou para responder. As notificações chegaram atrasadas. travano sitema,3,Produto,precisei repetir algumas etapas concluir carregamento relatorios demorou limite demorou responder notificacoes chegaram atrasadas travano sitema
Mais ou menos.,9,Geral,menos
"Consegui integrar sistema, mas depois apareceu erro em chat. O suporte pediu novamente as mesmas informações.",1,Suporte,consegui integrar apareceu erro chat suporte pediu novamente mesmas informacoes
Sem comentários.,5,Suporte,comentarios
"Precisei repetir algumas etapas para concluir. Tentei atualizar cadastro e notificações travou duas vezes. Recebi erro enquanto tentava atualizar cadastro. O suporte pediu novamente as mesmas informações. Consegui atualizar cadastro, mas depois apareceu erro em onboarding.",1,Pós-venda,precisei repetir algumas etapas concluir tentei atualizar cadastro notificacoes travou duas vezes recebi erro enquanto tentava atualizar cadastro suporte pediu novamente mesmas informacoes consegui atualizar cadastro apareceu erro onboarding
Achei estranho.,10,Pós-venda,achei estranho
O carregamento dos relatórios demorou. O atendimento resolveu rápido a solicitação. Tentei fazer transferência e integração travou duas vezes. demoro,3,Produto,carregamento relatorios demorou atendimento resolveu rapido solicitacao tentei fazer transferencia integracao travou duas vezes demoro
Depois da atualização dashboard ficou mais simples. dashboard demorou para responder. O suporte pediu novamente as mesmas informações. O atendimento resolveu rápido a solicitação. Tentei emitir boleto e dashboard travou duas vezes. As notificações chegaram atrasadas. probelma travano atendimnto,0,Geral,atualizacao dashboard ficou simples dashboard demorou responder suporte pediu novamente mesmas informacoes atendimento resolveu rapido solicitacao tentei emitir boleto dashboard travou duas vezes notificacoes chegaram atrasadas probelma travano atendimnto
"Tentei consultar saldo e usabilidade travou duas vezes. Consegui consultar saldo, mas depois apareceu erro em notificações.",4,Produto,tentei consultar saldo usabilidade travou duas vezes consegui consultar saldo apareceu erro notificacoes
As notificações chegaram atrasadas. Precisei repetir algumas etapas para concluir.,10,Geral,notificacoes chegaram atrasadas precisei repetir algumas etapas concluir
"O atendimento resolveu rápido a solicitação. Precisei repetir algumas etapas para concluir. Consegui emitir boleto, mas depois apareceu erro em limite. dashboard demorou para responder. Depois da atualização dashboard ficou mais simples. Tentei emitir boleto e dashboard travou duas vezes. demoro",6,Produto,atendimento resolveu rapido solicitacao precisei repetir algumas etapas concluir consegui emitir boleto apareceu erro limite dashboard demorou responder atualizacao dashboard ficou simples tentei emitir boleto dashboard travou duas vezes demoro
"Consegui consultar saldo, mas depois apareceu erro em integração. Tentei consultar saldo e usabilidade travou duas vezes. platafroma",6,Suporte,consegui consultar saldo apareceu erro integracao tentei consultar saldo usabilidade travou duas vezes platafroma
chat demorou para responder. As notificações chegaram atrasadas. Depois da atualização chat ficou mais simples. O atendimento resolveu rápido a solicitação. vcs,0,Suporte,chat demorou responder notificacoes chegaram atrasadas atualizacao chat ficou simples atendimento resolveu rapido solicitacao vcs
Depois da atualização performance ficou mais simples. O suporte pediu novamente as mesmas informações. O atendimento resolveu rápido a solicitação.,8,Suporte,atualizacao performance ficou simples suporte pediu novamente mesmas informacoes atendimento resolveu rapido solicitacao
"O carregamento dos relatórios demorou. Recebi erro enquanto tentava integrar sistema. Tentei integrar sistema e usabilidade travou duas vezes. usabilidade demorou para responder. Consegui integrar sistema, mas depois apareceu erro em pagamentos. O suporte pediu novamente as mesmas informações.",10,Suporte,carregamento relatorios demorou recebi erro enquanto tentava integrar tentei integrar usabilidade travou duas vezes usabilidade demorou responder consegui integrar apareceu erro pagamentos suporte pediu novamente mesmas informacoes
"Consegui atualizar cadastro, mas depois apareceu erro em notificações. Recebi erro enquanto tentava atualizar cadastro. O atendimento resolveu rápido a solicitação. Depois da atualização relatórios ficou mais simples. O carregamento dos relatórios demorou. Tentei atualizar cadastro e relatórios travou duas vezes.",2,Suporte,consegui atualizar cadastro apareceu erro notificacoes recebi erro enquanto tentava atualizar cadastro atendimento resolveu rapido solicitacao atualizacao relatorios ficou simples carregamento relatorios demorou tentei atualizar cadastro relatorios travou duas vezes
O suporte pediu novamente as mesmas informações. Precisei repetir algumas etapas para concluir.,10,Serviços,suporte pediu novamente mesmas informacoes precisei repetir algumas etapas concluir
Tudo certo.,1,Suporte,tudo certo
login demorou para responder. As notificações chegaram atrasadas. Tentei acompanhar pagamento e login travou duas vezes. O atendimento resolveu rápido a solicitação. Precisei repetir algumas etapas para concluir. qdo demoro,6,Produto,login demorou responder notificacoes chegaram atrasadas tentei acompanhar pagamento login travou duas vezes atendimento resolveu rapido solicitacao precisei repetir algumas etapas concluir qdo demoro
O atendimento resolveu rápido a solicitação. As notificações chegaram atrasadas.,5,Serviços,atendimento resolveu rapido solicitacao notificacoes chegaram atrasadas
"Depois da atualização relatórios ficou mais simples. As notificações chegaram atrasadas. O suporte pediu novamente as mesmas informações. Recebi erro enquanto tentava atualizar cadastro. Consegui atualizar cadastro, mas depois apareceu erro em cartão virtual. O atendimento resolveu rápido a solicitação.",0,Geral,atualizacao relatorios ficou simples notificacoes chegaram atrasadas suporte pediu novamente mesmas informacoes recebi erro enquanto tentava atualizar cadastro consegui atualizar cadastro apareceu erro cartao virtual atendimento resolveu rapido solicitacao
"Consegui atualizar cadastro, mas depois apareceu erro em integração. O carregamento dos relatórios demorou. sitema qdo demoro",2,Pós-venda,consegui atualizar cadastro apareceu erro integracao carregamento relatorios demorou sitema qdo demoro
O suporte pediu novamente as mesmas informações. O atendimento resolveu rápido a solicitação.,4,Suporte,suporte pediu novamente mesmas informacoes atendimento resolveu rapido solicitacao
O atendimento resolveu rápido a solicitação. Depois da atualização limite ficou mais simples.,7,Geral,atendimento resolveu rapido solicitacao atualizacao limite ficou simples
Normal.,6,Produto,normal
O suporte pediu novamente as mesmas informações. Precisei repetir algumas etapas para concluir. Depois da atualização dashboard ficou mais simples. Recebi erro enquanto tentava fazer transferência. msg,9,Suporte,suporte pediu novamente mesmas informacoes precisei repetir algumas etapas concluir atualizacao dashboard ficou simples recebi erro enquanto tentava fazer transferencia msg
