comentario,nota,responsavel,pos_tags
"O carregamento dos relatórios demorou. Consegui consultar limite, mas depois apareceu erro em pagamentos. Recebi erro enquanto tentava consultar limite.",2,Serviços,"[('O', 'DET'), ('carregamento', 'NOUN'), ('dos', 'ADP'), ('relatórios', 'NOUN'), ('demorou', 'VERB'), ('.', 'PUNCT'), ('Consegui', 'PROPN'), ('consultar', 'VERB'), ('limite', 'NOUN'), (',', 'PUNCT'), ('mas', 'CCONJ'), ('depois', 'ADV'), ('apareceu', 'VERB'), ('erro', 'NOUN'), ('em', 'ADP'), ('pagamentos', 'NOUN'), ('.', 'PUNCT'), ('Recebi', 'VERB'), ('erro', 'ADJ'), ('enquanto', 'ADV'), ('tentava', 'VERB'), ('consultar', 'VERB'), ('limite', 'NOUN'), ('.', 'PUNCT')]"
O carregamento dos relatórios demorou. notificações demorou para responder. As notificações chegaram atrasadas. Depois da atualização notificações ficou mais simples. Recebi erro enquanto tentava integrar sistema. Precisei repetir algumas etapas para concluir.,10,Suporte,"[('O', 'DET'), ('carregamento', 'NOUN'), ('dos', 'ADP'), ('relatórios', 'NOUN'), ('demorou', 'VERB'), ('.', 'PUNCT'), ('notificações', 'NOUN'), ('demorou', 'VERB'), ('para', 'SCONJ'), ('responder', 'VERB'), ('.', 'PUNCT'), ('As', 'DET'), ('notificações', 'NOUN'), ('chegaram', 'VERB'), ('atrasadas', 'NOUN'), ('.', 'PUNCT'), ('Depois', 'ADV'), ('da', 'ADP'), ('atualização', 'NOUN'), ('notificações', 'NOUN'), ('ficou', 'VERB'), ('mais', 'ADV'), ('simples', 'ADJ'), ('.', 'PUNCT'), ('Recebi', 'VERB'), ('erro', 'ADJ'), ('enquanto', 'ADV'), ('tentava', 'VERB'), ('integrar', 'VERB'), ('sistema', 'NOUN'), ('.', 'PUNCT'), ('Precisei', 'VERB'), ('repetir', 'VERB'), ('algumas', 'DET'), ('etapas', 'NOUN'), ('para', 'SCONJ'), ('concluir', 'VERB'), ('.', 'PUNCT')]"
O carregamento dos relatórios demorou. Recebi erro enquanto tentava atualizar cadastro.,0,Produto,"[('O', 'DET'), ('carregamento', 'NOUN'), ('dos', 'ADP'), ('relatórios', 'NOUN'), ('demorou', 'VERB'), ('.', 'PUNCT'), ('Recebi', 'VERB'), ('erro', 'ADJ'), ('enquanto', 'ADV'), ('tentava', 'VERB'), ('atualizar', 'VERB'), ('cadastro', 'NOUN'), ('.', 'PUNCT')]"
"Consegui atualizar cadastro, mas depois apareceu erro em usabilidade. O suporte pediu novamente as mesmas informações. Tentei atualizar cadastro e extrato travou duas vezes. sitema",5,Produto,"[('Consegui', 'VERB'), ('atualizar', 'VERB'), ('cadastro', 'NOUN'), (',', 'PUNCT'), ('mas', 'CCONJ'), ('depois', 'ADV'), ('apareceu', 'VERB'), ('erro', 'NOUN'), ('em', 'ADP'), ('usabilidade', 'NOUN'), ('.', 'PUNCT'), ('O', 'DET'), ('suporte', 'NOUN'), ('pediu', 'VERB'), ('novamente', 'ADV'), ('as', 'DET'), ('mesmas', 'ADJ'), ('informações', 'NOUN'), ('.', 'PUNCT'), ('Tentei', 'VERB'), ('atualizar', 'VERB'), ('cadastro', 'NOUN'), ('e', 'CCONJ'), ('extrato', 'NOUN'), ('travou', 'VERB'), ('duas', 'NUM'), ('vezes', 'NOUN'), ('.', 'PUNCT'), ('sitema', 'NOUN')]"
O carregamento dos relatórios demorou. O atendimento resolveu rápido a solicitação.,1,Pós-venda,"[('O', 'DET'), ('carregamento', 'NOUN'), ('dos', 'ADP'), ('relatórios', 'NOUN'), ('demorou', 'VERB'), ('.', 'PUNCT'), ('O', 'DET'), ('atendimento', 'NOUN'), ('resolveu', 'VERB'), ('rápido', 'ADV'), ('a', 'DET'), ('solicitação', 'NOUN'), ('.', 'PUNCT')]"
As notificações chegaram atrasadas. dashboard demorou para responder. O atendimento resolveu rápido a solicitação. Precisei repetir algumas etapas para concluir.,8,Geral,"[('As', 'DET'), ('notificações', 'NOUN'), ('chegaram', 'VERB'), ('atrasadas', 'NOUN'), ('.', 'PUNCT'), ('dashboard', 'PROPN'), ('demorou', 'VERB'), ('para', 'SCONJ'), ('responder', 'VERB'), ('.', 'PUNCT'), ('O', 'DET'), ('atendimento', 'NOUN'), ('resolveu', 'VERB'), ('rápido', 'ADV'), ('a', 'DET'), ('solicitação', 'NOUN'), ('.', 'PUNCT'), ('Precisei', 'VERB'), ('repetir', 'VERB'), ('algumas', 'DET'), ('etapas', 'NOUN'), ('para', 'SCONJ'), ('concluir', 'VERB'), ('.', 'PUNCT')]"
Precisei repetir algumas etapas para concluir. usabilidade demorou para responder. O suporte pediu novamente as mesmas informações. Tentei consultar limite e usabilidade travou duas vezes. O atendimento resolveu rápido a solicitação.,8,Pós-venda,"[('Precisei', 'VERB'), ('repetir', 'VERB'), ('algumas', 'DET'), ('etapas', 'NOUN'), ('para', 'SCONJ'), ('concluir', 'VERB'), ('.', 'PUNCT'), ('usabilidade', 'PROPN'), ('demorou', 'VERB'), ('para', 'SCONJ'), ('responder', 'VERB'), ('.', 'PUNCT'), ('O', 'DET'), ('suporte', 'NOUN'), ('pediu', 'VERB'), ('novamente', 'ADV'), ('as', 'DET'), ('mesmas', 'ADJ'), ('informações', 'NOUN'), ('.', 'PUNCT'), ('Tentei', 'VERB'), ('consultar', 'VERB'), ('limite', 'NOUN'), ('e', 'CCONJ'), ('usabilidade', 'NOUN'), ('travou', 'VERB'), ('duas', 'NUM'), ('vezes', 'NOUN'), ('.', 'PUNCT'), ('O', 'DET'), ('atendimento', 'NOUN'), ('resolveu', 'VERB'), ('rápido', 'ADV'), ('a', 'DET'), ('solicitação', 'NOUN'), ('.', 'PUNCT')]"
"O atendimento resolveu rápido a solicitação. Consegui atualizar cadastro, mas depois apareceu erro em performance.",2,Suporte,"[('O', 'DET'), ('atendimento', 'NOUN'), ('resolveu', 'VERB'), ('rápido', 'ADV'), ('a', 'DET'), ('solicitação', 'NOUN'), ('.', 'PUNCT'), ('Consegui', 'VERB'), ('atualizar', 'VERB'), ('cadastro', 'NOUN'), (',', 'PUNCT'), ('mas', 'CCONJ'), ('depois', 'ADV'), ('apareceu', 'VERB'), ('erro', 'NOUN'), ('em', 'ADP'), ('performance', 'NOUN'), ('.', 'PUNCT')]"
O suporte pediu novamente as mesmas informações. Precisei repetir algumas etapas para concluir. As notificações chegaram atrasadas. O carregamento dos relatórios demorou. O atendimento resolveu rápido a solicitação. Recebi erro enquanto tentava baixar relatório. ploblema,7,Produto,"[('O', 'DET'), ('suporte', 'NOUN'), ('pediu', 'VERB'), ('novamente', 'ADV'), ('as', 'DET'), ('mesmas', 'ADJ'), ('informações', 'NOUN'), ('.', 'PUNCT'), ('Precisei', 'VERB'), ('repetir', 'VERB'), ('algumas', 'DET'), ('etapas', 'NOUN'), ('para', 'SCONJ'), ('concluir', 'VERB'), ('.', 'PUNCT'), ('As', 'DET'), ('notificações', 'NOUN'), ('chegaram', 'VERB'), ('atrasadas', 'NOUN'), ('.', 'PUNCT'), ('O', 'DET'), ('carregamento', 'NOUN'), ('dos', 'ADP'), ('relatórios', 'NOUN'), ('demorou', 'VERB'), ('.', 'PUNCT'), ('O', 'DET'), ('atendimento', 'NOUN'), ('resolveu', 'VERB'), ('rápido', 'ADV'), ('a', 'DET'), ('solicitação', 'NOUN'), ('.', 'PUNCT'), ('Recebi', 'VERB'), ('erro', 'ADJ'), ('enquanto', 'ADV'), ('tentava', 'VERB'), ('baixar', 'VERB'), ('relatório', 'NOUN'), ('.', 'PUNCT'), ('ploblema', 'NOUN')]"
Recebi erro enquanto tentava emitir boleto. cadastro demorou para responder. Tentei emitir boleto e cadastro travou duas vezes. naum platafroma,5,Produto,"[('Recebi', 'VERB'), ('erro', 'ADJ'), ('enquanto', 'ADV'), ('tentava', 'VERB'), ('emitir', 'VERB'), ('boleto', 'NOUN'), ('.', 'PUNCT'), ('cadastro', 'NOUN'), ('demorou', 'VERB'), ('para', 'SCONJ'), ('responder', 'VERB'), ('.', 'PUNCT'), ('Tentei', 'VERB'), ('emitir', 'VERB'), ('boleto', 'NOUN'), ('e', 'CCONJ'), ('cadastro', 'NOUN'), ('travou', 'VERB'), ('duas', 'NUM'), ('vezes', 'NOUN'), ('.', 'PUNCT'), ('naum', 'NOUN'), ('platafroma', 'NOUN')]"
"Depois da atualização cartão virtual ficou mais simples. O carregamento dos relatórios demorou. Recebi erro enquanto tentava fazer transferência. Consegui fazer transferência, mas depois apareceu erro em cadastro. Tentei fazer transferência e cartão virtual travou duas vezes.",0,Geral,"[('Depois', 'ADV'), ('da', 'ADP'), ('atualização', 'NOUN'), ('cartão', 'ADJ'), ('virtual', 'ADJ'), ('ficou', 'VERB'), ('mais', 'ADV'), ('simples', 'ADJ'), ('.', 'PUNCT'), ('O', 'DET'), ('carregamento', 'NOUN'), ('dos', 'ADP'), ('relatórios', 'NOUN'), ('demorou', 'VERB'), ('.', 'PUNCT'), ('Recebi', 'VERB'), ('erro', 'ADJ'), ('enquanto', 'ADV'), ('tentava', 'VERB'), ('fazer', 'VERB'), ('transferência', 'NOUN'), ('.', 'PUNCT'), ('Consegui', 'VERB'), ('fazer', 'VERB'), ('transferência', 'NOUN'), (',', 'PUNCT'), ('mas', 'CCONJ'), ('depois', 'ADV'), ('apareceu', 'VERB'), ('erro', 'NOUN'), ('em', 'ADP'), ('cadastro', 'NOUN'), ('.', 'PUNCT'), ('Tentei', 'VERB'), ('fazer', 'VERB'), ('transferência', 'NOUN'), ('e', 'CCONJ'), ('cartão', 'NOUN'), ('virtual', 'ADJ'), ('travou', 'VERB'), ('duas', 'NUM'), ('vezes', 'NOUN'), ('.', 'PUNCT')]"
O carregamento dos relatórios demorou. Tentei integrar sistema e performance travou duas vezes. Depois da atualização performance ficou mais simples.,0,Geral,"[('O', 'DET'), ('carregamento', 'NOUN'), ('dos', 'ADP'), ('relatórios', 'NOUN'), ('demorou', 'VERB'), ('.', 'PUNCT'), ('Tentei', 'VERB'), ('integrar', 'VERB'), ('sistema', 'NOUN'), ('e', 'CCONJ'), ('performance', 'NOUN'), ('travou', 'VERB'), ('duas', 'NUM'), ('vezes', 'NOUN'), ('.', 'PUNCT'), ('Depois', 'ADV'), ('da', 'ADP'), ('atualização', 'NOUN'), ('performance', 'ADJ'), ('ficou', 'VERB'), ('mais', 'ADV'), ('simples', 'ADJ'), ('.', 'PUNCT')]"
O carregamento dos relatórios demorou. O atendimento resolveu rápido a solicitação. Tentei integrar sistema e API travou duas vezes.,8,Serviços,"[('O', 'DET'), ('carregamento', 'NOUN'), ('dos', 'ADP'), ('relatórios', 'NOUN'), ('demorou', 'VERB'), ('.', 'PUNCT'), ('O', 'DET'), ('atendimento', 'NOUN'), ('resolveu', 'VERB'), ('rápido', 'ADV'), ('a', 'DET'), ('solicitação', 'NOUN'), ('.', 'PUNCT'), ('Tentei', 'VERB'), ('integrar', 'VERB'), ('sistema', 'NOUN'), ('e', 'CCONJ'), ('API', 'PROPN'), ('travou', 'VERB'), ('duas', 'NUM'), ('vezes', 'NOUN'), ('.', 'PUNCT')]"
"Recebi erro enquanto tentava acompanhar pagamento. O suporte pediu novamente as mesmas informações. O carregamento dos relatórios demorou. Consegui acompanhar pagamento, mas depois apareceu erro em cadastro. extrato demorou para responder. O atendimento resolveu rápido a solicitação. travano demoro sitema",5,Produto,"[('Recebi', 'VERB'), ('erro', 'ADJ'), ('enquanto', 'ADV'), ('tentava', 'VERB'), ('acompanhar', 'VERB'), ('pagamento', 'NOUN'), ('.', 'PUNCT'), ('O', 'DET'), ('suporte', 'NOUN'), ('pediu', 'VERB'), ('novamente', 'ADV'), ('as', 'DET'), ('mesmas', 'ADJ'), ('informações', 'NOUN'), ('.', 'PUNCT'), ('O', 'DET'), ('carregamento', 'NOUN'), ('dos', 'ADP'), ('relatórios', 'NOUN'), ('demorou', 'VERB'), ('.', 'PUNCT'), ('Consegui', 'PROPN'), ('acompanhar', 'VERB'), ('pagamento', 'NOUN'), (',', 'PUNCT'), ('mas', 'CCONJ'), ('depois', 'ADV'), ('apareceu', 'VERB'), ('erro', 'NOUN'), ('em', 'ADP'), ('cadastro', 'NOUN'), ('.', 'PUNCT'), ('extrato', 'NOUN'), ('demorou', 'VERB'), ('para', 'SCONJ'), ('responder', 'VERB'), ('.', 'PUNCT'), ('O', 'DET'), ('atendimento', 'NOUN'), ('resolveu', 'VERB'), ('rápido', 'ADV'), ('a', 'DET'), ('solicitação', 'NOUN'), ('.', 'PUNCT'), ('travano', 'ADJ'), ('demoro', 'NOUN'), ('sitema', 'NOUN')]"
Precisei repetir algumas etapas para concluir. Depois da atualização cadastro ficou mais simples. Tentei consultar saldo e cadastro travou duas vezes. cadastro demorou para responder. O carregamento dos relatórios demorou.,4,Suporte,"[('Precisei', 'VERB'), ('repetir', 'VERB'), ('algumas', 'DET'), ('etapas', 'NOUN'), ('para', 'SCONJ'), ('concluir', 'VERB'), ('.', 'PUNCT'), ('Depois', 'ADV'), ('da', 'ADP'), ('atualização', 'NOUN'), ('cadastro', 'ADJ'), ('ficou', 'VERB'), ('mais', 'ADV'), ('simples', 'ADJ'), ('.', 'PUNCT'), ('Tentei', 'VERB'), ('consultar', 'VERB'), ('saldo', 'NOUN'), ('e', 'CCONJ'), ('cadastro', 'NOUN'), ('travou', 'VERB'), ('duas', 'NUM'), ('vezes', 'NOUN'), ('.', 'PUNCT'), ('cadastro', 'NOUN'), ('demorou', 'VERB'), ('para', 'SCONJ'), ('responder', 'VERB'), ('.', 'PUNCT'), ('O', 'DET'), ('carregamento', 'NOUN'), ('dos', 'ADP'), ('relatórios', 'NOUN'), ('demorou', 'VERB'), ('.', 'PUNCT')]"
"O atendimento resolveu rápido a solicitação. Tentei fazer transferência e extrato travou duas vezes. Recebi erro enquanto tentava fazer transferência. Consegui fazer transferência, mas depois apareceu erro em performance. As notificações chegaram atrasadas. naum msg sitema",5,Produto,"[('O', 'DET'), ('atendimento', 'NOUN'), ('resolveu', 'VERB'), ('rápido', 'ADV'), ('a', 'DET'), ('solicitação', 'NOUN'), ('.', 'PUNCT'), ('Tentei', 'VERB'), ('fazer', 'VERB'), ('transferência', 'NOUN'), ('e', 'CCONJ'), ('extrato', 'NOUN'), ('travou', 'VERB'), ('duas', 'NUM'), ('vezes', 'NOUN'), ('.', 'PUNCT'), ('Recebi', 'VERB'), ('erro', 'ADJ'), ('enquanto', 'ADV'), ('tentava', 'VERB'), ('fazer', 'VERB'), ('transferência', 'NOUN'), ('.', 'PUNCT'), ('Consegui', 'VERB'), ('fazer', 'VERB'), ('transferência', 'NOUN'), (',', 'PUNCT'), ('mas', 'CCONJ'), ('depois', 'ADV'), ('apareceu', 'VERB'), ('erro', 'NOUN'), ('em', 'ADP'), ('performance', 'NOUN'), ('.', 'PUNCT'), ('As', 'DET'), ('notificações', 'NOUN'), ('chegaram', 'VERB'), ('atrasadas', 'NOUN'), ('.', 'PUNCT'), ('naum', 'VERB'), ('msg', 'NOUN'), ('sitema', 'NOUN')]"
Regular.,7,Suporte,"[('Regular', 'PROPN'), ('.', 'PUNCT')]"
"O suporte pediu novamente as mesmas informações. Recebi erro enquanto tentava fazer transferência. Depois da atualização extrato ficou mais simples. O atendimento resolveu rápido a solicitação. Consegui fazer transferência, mas depois apareceu erro em cartão virtual. O carregamento dos relatórios demorou. sitema qdo atendimnto",6,Suporte,"[('O', 'DET'), ('suporte', 'NOUN'), ('pediu', 'VERB'), ('novamente', 'ADV'), ('as', 'DET'), ('mesmas', 'ADJ'), ('informações', 'NOUN'), ('.', 'PUNCT'), ('Recebi', 'VERB'), ('erro', 'ADJ'), ('enquanto', 'ADV'), ('tentava', 'VERB'), ('fazer', 'VERB'), ('transferência', 'NOUN'), ('.', 'PUNCT'), ('Depois', 'ADV'), ('da', 'ADP'), ('atualização', 'NOUN'), ('extrato', 'ADJ'), ('ficou', 'VERB'), ('mais', 'ADV'), ('simples', 'ADJ'), ('.', 'PUNCT'), ('O', 'DET'), ('atendimento', 'NOUN'), ('resolveu', 'VERB'), ('rápido', 'ADV'), ('a', 'DET'), ('solicitação', 'NOUN'), ('.', 'PUNCT'), ('Consegui', 'VERB'), ('fazer', 'VERB'), ('transferência', 'NOUN'), (',', 'PUNCT'), ('mas', 'CCONJ'), ('depois', 'ADV'), ('apareceu', 'VERB'), ('erro', 'NOUN'), ('em', 'ADP'), ('cartão', 'NOUN'), ('virtual', 'ADJ'), ('.', 'PUNCT'), ('O', 'DET'), ('carregamento', 'NOUN'), ('dos', 'ADP'), ('relatórios', 'NOUN'), ('demorou', 'VERB'), ('.', 'PUNCT'), ('sitema', 'NOUN'), ('qdo', 'ADP'), ('atendimnto', 'NOUN')]"
As notificações chegaram atrasadas. O atendimento resolveu rápido a solicitação. Tentei fazer transferência e pagamentos travou duas vezes. Recebi erro enquanto tentava fazer transferência. O carregamento dos relatórios demorou. travano ploblema,3,Geral,"[('As', 'DET'), ('notificações', 'NOUN'), ('chegaram', 'VERB'), ('atrasadas', 'NOUN'), ('.', 'PUNCT'), ('O', 'DET'), ('atendimento', 'NOUN'), ('resolveu', 'VERB'), ('rápido', 'ADV'), ('a', 'DET'), ('solicitação', 'NOUN'), ('.', 'PUNCT'), ('Tentei', 'VERB'), ('fazer', 'VERB'), ('transferência', 'NOUN'), ('e', 'CCONJ'), ('pagamentos', 'NOUN'), ('travou', 'VERB'), ('duas', 'NUM'), ('vezes', 'NOUN'), ('.', 'PUNCT'), ('Recebi', 'VERB'), ('erro', 'ADJ'), ('enquanto', 'ADV'), ('tentava', 'VERB'), ('fazer', 'VERB'), ('transferência', 'NOUN'), ('.', 'PUNCT'), ('O', 'DET'), ('carregamento', 'NOUN'), ('dos', 'ADP'), ('relatórios', 'NOUN'), ('demorou', 'VERB'), ('.', 'PUNCT'), ('travano', 'ADJ'), ('ploblema', 'NOUN')]"
As notificações chegaram atrasadas. O carregamento dos relatórios demorou. Precisei repetir algumas etapas para concluir. Recebi erro enquanto tentava fazer transferência. qdo,7,Suporte,"[('As', 'DET'), ('notificações', 'NOUN'), ('chegaram', 'VERB'), ('atrasadas', 'NOUN'), ('.', 'PUNCT'), ('O', 'DET'), ('carregamento', 'NOUN'), ('dos', 'ADP'), ('relatórios', 'NOUN'), ('demorou', 'VERB'), ('.', 'PUNCT'), ('Precisei', 'VERB'), ('repetir', 'VERB'), ('algumas', 'DET'), ('etapas', 'NOUN'), ('para', 'SCONJ'), ('concluir', 'VERB'), ('.', 'PUNCT'), ('Recebi', 'VERB'), ('erro', 'ADJ'), ('enquanto', 'ADV'), ('tentava', 'VERB'), ('fazer', 'VERB'), ('transferência', 'NOUN'), ('.', 'PUNCT'), ('qdo', 'ADP')]"
O atendimento resolveu rápido a solicitação. As notificações chegaram atrasadas.,5,Suporte,"[('O', 'DET'), ('atendimento', 'NOUN'), ('resolveu', 'VERB'), ('rápido', 'ADV'), ('a', 'DET'), ('solicitação', 'NOUN'), ('.', 'PUNCT'), ('As', 'DET'), ('notificações', 'NOUN'), ('chegaram', 'VERB'), ('atrasadas', 'NOUN'), ('.', 'PUNCT')]"
"Consegui emitir boleto, mas depois apareceu erro em limite. pagamentos demorou para responder. O carregamento dos relatórios demorou. Recebi erro enquanto tentava emitir boleto. Depois da atualização pagamentos ficou mais simples.",6,Serviços,"[('Consegui', 'VERB'), ('emitir', 'VERB'), ('boleto', 'NOUN'), (',', 'PUNCT'), ('mas', 'CCONJ'), ('depois', 'ADV'), ('apareceu', 'VERB'), ('erro', 'NOUN'), ('em', 'ADP'), ('limite', 'NOUN'), ('.', 'PUNCT'), ('pagamentos', 'NOUN'), ('demorou', 'VERB'), ('para', 'SCONJ'), ('responder', 'VERB'), ('.', 'PUNCT'), ('O', 'DET'), ('carregamento', 'NOUN'), ('dos', 'ADP'), ('relatórios', 'NOUN'), ('demorou', 'VERB'), ('.', 'PUNCT'), ('Recebi', 'VERB'), ('erro', 'ADJ'), ('enquanto', 'ADV'), ('tentava', 'VERB'), ('emitir', 'VERB'), ('boleto', 'NOUN'), ('.', 'PUNCT'), ('Depois', 'ADV'), ('da', 'ADP'), ('atualização', 'NOUN'), ('pagamentos', 'ADJ'), ('ficou', 'VERB'), ('mais', 'ADV'), ('simples', 'ADJ'), ('.', 'PUNCT')]"
O carregamento dos relatórios demorou. cartão virtual demorou para responder. travano bugou msg,3,Geral,"[('O', 'DET'), ('carregamento', 'NOUN'), ('dos', 'ADP'), ('relatórios', 'NOUN'), ('demorou', 'VERB'), ('.', 'PUNCT'), ('cartão', 'NOUN'), ('virtual', 'ADJ'), ('demorou', 'VERB'), ('para', 'SCONJ'), ('responder', 'VERB'), ('.', 'PUNCT'), ('travano', 'ADJ'), ('bugou', 'VERB'), ('msg', 'NOUN')]"
"Tentei fazer transferência e pagamentos travou duas vezes. Consegui fazer transferência, mas depois apareceu erro em notificações. Recebi erro enquanto tentava fazer transferência. As notificações chegaram atrasadas. Precisei repetir algumas etapas para concluir. ploblema travano probelma",2,Suporte,"[('Tentei', 'VERB'), ('fazer', 'VERB'), ('transferência', 'NOUN'), ('e', 'CCONJ'), ('pagamentos', 'NOUN'), ('travou', 'VERB'), ('duas', 'NUM'), ('vezes', 'NOUN'), ('.', 'PUNCT'), ('Consegui', 'VERB'), ('fazer', 'VERB'), ('transferência', 'NOUN'), (',', 'PUNCT'), ('mas', 'CCONJ'), ('depois', 'ADV'), ('apareceu', 'VERB'), ('erro', 'NOUN'), ('em', 'ADP'), ('notificações', 'NOUN'), ('.', 'PUNCT'), ('Recebi', 'VERB'), ('erro', 'ADJ'), ('enquanto', 'ADV'), ('tentava', 'VERB'), ('fazer', 'VERB'), ('transferência', 'NOUN'), ('.', 'PUNCT'), ('As', 'DET'), ('notificações', 'NOUN'), ('chegaram', 'VERB'), ('atrasadas', 'NOUN'), ('.', 'PUNCT'), ('Precisei', 'VERB'), ('repetir', 'VERB'), ('algumas', 'DET'), ('etapas', 'NOUN'), ('para', 'SCONJ'), ('concluir', 'VERB'), ('.', 'PUNCT'), ('ploblema', 'NOUN'), ('travano', 'ADJ'), ('probelma', 'NOUN')]"
Recebi erro enquanto tentava consultar saldo. O suporte pediu novamente as mesmas informações. O atendimento resolveu rápido a solicitação. relatórios demorou para responder.,6,Suporte,"[('Recebi', 'VERB'), ('erro', 'ADJ'), ('enquanto', 'ADV'), ('tentava', 'VERB'), ('consultar', 'VERB'), ('saldo', 'NOUN'), ('.', 'PUNCT'), ('O', 'DET'), ('suporte', 'NOUN'), ('pediu', 'VERB'), ('novamente', 'ADV'), ('as', 'DET'), ('mesmas', 'ADJ'), ('informações', 'NOUN'), ('.', 'PUNCT'), ('O', 'DET'), ('atendimento', 'NOUN'), ('resolveu', 'VERB'), ('rápido', 'ADV'), ('a', 'DET'), ('solicitação', 'NOUN'), ('.', 'PUNCT'), ('relatórios', 'NOUN'), ('demorou', 'VERB'), ('para', 'SCONJ'), ('responder', 'VERB'), ('.', 'PUNCT')]"
Tentei consultar saldo e login travou duas vezes. O atendimento resolveu rápido a solicitação. ploblema demoro,3,Serviços,"[('Tentei', 'VERB'), ('consultar', 'VERB'), ('saldo', 'NOUN'), ('e', 'CCONJ'), ('login', 'NOUN'), ('travou', 'VERB'), ('duas', 'NUM'), ('vezes', 'NOUN'), ('.', 'PUNCT'), ('O', 'DET'), ('atendimento', 'NOUN'), ('resolveu', 'VERB'), ('rápido', 'ADV'), ('a', 'DET'), ('solicitação', 'NOUN'), ('.', 'PUNCT'), ('ploblema', 'NOUN'), ('demoro', 'NOUN')]"
Recebi erro enquanto tentava integrar sistema. Precisei repetir algumas etapas para concluir. Tentei integrar sistema e limite travou duas vezes. O atendimento resolveu rápido a solicitação.,2,Suporte,"[('Recebi', 'VERB'), ('erro', 'ADJ'), ('enquanto', 'ADV'), ('tentava', 'VERB'), ('integrar', 'VERB'), ('sistema', 'NOUN'), ('.', 'PUNCT'), ('Precisei', 'VERB'), ('repetir', 'VERB'), ('algumas', 'DET'), ('etapas', 'NOUN'), ('para', 'SCONJ'), ('concluir', 'VERB'), ('.', 'PUNCT'), ('Tentei', 'VERB'), ('integrar', 'VERB'), ('sistema', 'NOUN'), ('e', 'CCONJ'), ('limite', 'NOUN'), ('travou', 'VERB'), ('duas', 'NUM'), ('vezes', 'NOUN'), ('.', 'PUNCT'), ('O', 'DET'), ('atendimento', 'NOUN'), ('resolveu', 'VERB'), ('rápido', 'ADV'), ('a', 'DET'), ('solicitação', 'NOUN'), ('.', 'PUNCT')]"
"O suporte pediu novamente as mesmas informações. Consegui integrar sistema, mas depois apareceu erro em extrato. As notificações chegaram atrasadas. msg",5,Geral,"[('O', 'DET'), ('suporte', 'NOUN'), ('pediu', 'VERB'), ('novamente', 'ADV'), ('as', 'DET'), ('mesmas', 'ADJ'), ('informações', 'NOUN'), ('.', 'PUNCT'), ('Consegui', 'VERB'), ('integrar', 'VERB'), ('sistema', 'NOUN'), (',', 'PUNCT'), ('mas', 'CCONJ'), ('depois', 'ADV'), ('apareceu', 'VERB'), ('erro', 'NOUN'), ('em', 'ADP'), ('extrato', 'NOUN'), ('.', 'PUNCT'), ('As', 'DET'), ('notificações', 'NOUN'), ('chegaram', 'VERB'), ('atrasadas', 'NOUN'), ('.', 'PUNCT'), ('msg', 'NOUN')]"
Depois da atualização chat ficou mais simples. Recebi erro enquanto tentava acompanhar pagamento. O carregamento dos relatórios demorou.,9,Serviços,"[('Depois', 'ADV'), ('da', 'ADP'), ('atualização', 'NOUN'), ('chat', 'ADJ'), ('ficou', 'VERB'), ('mais', 'ADV'), ('simples', 'ADJ'), ('.', 'PUNCT'), ('Recebi', 'VERB'), ('erro', 'ADJ'), ('enquanto', 'ADV'), ('tentava', 'VERB'), ('acompanhar', 'VERB'), ('pagamento', 'NOUN'), ('.', 'PUNCT'), ('O', 'DET'), ('carregamento', 'NOUN'), ('dos', 'ADP'), ('relatórios', 'NOUN'), ('demorou', 'VERB'), ('.', 'PUNCT')]"
"integração demorou para responder. Consegui fazer transferência, mas depois apareceu erro em notificações.",4,Serviços,"[('integração', 'NOUN'), ('demorou', 'VERB'), ('para', 'SCONJ'), ('responder', 'VERB'), ('.', 'PUNCT'), ('Consegui', 'VERB'), ('fazer', 'VERB'), ('transferência', 'NOUN'), (',', 'PUNCT'), ('mas', 'CCONJ'), ('depois', 'ADV'), ('apareceu', 'VERB'), ('erro', 'NOUN'), ('em', 'ADP'), ('notificações', 'NOUN'), ('.', 'PUNCT')]"
As notificações chegaram atrasadas. Recebi erro enquanto tentava baixar relatório.,8,Serviços,"[('As', 'DET'), ('notificações', 'NOUN'), ('chegaram', 'VERB'), ('atrasadas', 'NOUN'), ('.', 'PUNCT'), ('Recebi', 'VERB'), ('erro', 'ADJ'), ('enquanto', 'ADV'), ('tentava', 'VERB'), ('baixar', 'VERB'), ('relatório', 'NOUN'), ('.', 'PUNCT')]"
O suporte pediu novamente as mesmas informações. Tentei atualizar cadastro e API travou duas vezes. O carregamento dos relatórios demorou.,8,Produto,"[('O', 'DET'), ('suporte', 'NOUN'), ('pediu', 'VERB'), ('novamente', 'ADV'), ('as', 'DET'), ('mesmas', 'ADJ'), ('informações', 'NOUN'), ('.', 'PUNCT'), ('Tentei', 'VERB'), ('atualizar', 'VERB'), ('cadastro', 'NOUN'), ('e', 'CCONJ'), ('API', 'PROPN'), ('travou', 'VERB'), ('duas', 'NUM'), ('vezes', 'NOUN'), ('.', 'PUNCT'), ('O', 'DET'), ('carregamento', 'NOUN'), ('dos', 'ADP'), ('relatórios', 'NOUN'), ('demorou', 'VERB'), ('.', 'PUNCT')]"
