comentario,nota,responsavel,comentario_original,is_noise,comentario_filtrado
O carregamento dos relatórios demorou. Depois da atualização chat ficou mais simples. Precisei repetir algumas etapas para concluir.,8,Suporte,O carregamento dos relatórios demorou. Depois da atualização chat ficou mais simples. Precisei repetir algumas etapas para concluir.,False,O carregamento dos relatórios demorou. Depois da atualização chat ficou mais simples. Precisei repetir algumas etapas para concluir.
"Consegui consultar saldo, mas depois apareceu erro em pagamentos. O carregamento dos relatórios demorou. As notificações chegaram atrasadas. Precisei repetir algumas etapas para concluir. Recebi erro enquanto tentava consultar saldo. Tentei consultar saldo e extrato travou duas vezes.",7,Suporte,"Consegui consultar saldo, mas depois apareceu erro em pagamentos. O carregamento dos relatórios demorou. As notificações chegaram atrasadas. Precisei repetir algumas etapas para concluir. Recebi erro enquanto tentava consultar saldo. Tentei consultar saldo e extrato travou duas vezes.",False,"Consegui consultar saldo, mas depois apareceu erro em pagamentos. O carregamento dos relatórios demorou. As notificações chegaram atrasadas. Precisei repetir algumas etapas para concluir. Recebi erro enquanto tentava consultar saldo. Tentei consultar saldo e extrato travou duas vezes."
Sem opinião.,7,Geral,Sem opinião.,True,
As notificações chegaram atrasadas. Precisei repetir algumas etapas para concluir. qdo vcs demoro,1,Produto,As notificações chegaram atrasadas. Precisei repetir algumas etapas para concluir. qdo vcs demoro,False,As notificações chegaram atrasadas. Precisei repetir algumas etapas para concluir. qdo vcs demoro
O atendimento resolveu rápido a solicitação. Precisei repetir algumas etapas para concluir. Tentei acompanhar pagamento e relatórios travou duas vezes. As notificações chegaram atrasadas. Recebi erro enquanto tentava acompanhar pagamento.,10,Pós-venda,O atendimento resolveu rápido a solicitação. Precisei repetir algumas etapas para concluir. Tentei acompanhar pagamento e relatórios travou duas vezes. As notificações chegaram atrasadas. Recebi erro enquanto tentava acompanhar pagamento.,False,O atendimento resolveu rápido a solicitação. Precisei repetir algumas etapas para concluir. Tentei acompanhar pagamento e relatórios travou duas vezes. As notificações chegaram atrasadas. Recebi erro enquanto tentava acompanhar pagamento.
"Recebi erro enquanto tentava integrar sistema. Precisei repetir algumas etapas para concluir. Consegui integrar sistema, mas depois apareceu erro em cadastro. Tentei integrar sistema e performance travou duas vezes. performance demorou para responder. ploblema naum travano",9,Produto,"Recebi erro enquanto tentava integrar sistema. Precisei repetir algumas etapas para concluir. Consegui integrar sistema, mas depois apareceu erro em cadastro. Tentei integrar sistema e performance travou duas vezes. performance demorou para responder. ploblema naum travano",False,"Recebi erro enquanto tentava integrar sistema. Precisei repetir algumas etapas para concluir. Consegui integrar sistema, mas depois apareceu erro em cadastro. Tentei integrar sistema e performance travou duas vezes. performance demorou para responder. ploblema naum travano"
Sem comentários.,1,Produto,Sem comentários.,True,
"As notificações chegaram atrasadas. Consegui acompanhar pagamento, mas depois apareceu erro em notificações.",6,Produto,"As notificações chegaram atrasadas. Consegui acompanhar pagamento, mas depois apareceu erro em notificações.",False,"As notificações chegaram atrasadas. Consegui acompanhar pagamento, mas depois apareceu erro em notificações."
"Depois da atualização cartão virtual ficou mais simples. O carregamento dos relatórios demorou. cartão virtual demorou para responder. Consegui emitir boleto, mas depois apareceu erro em login. Tentei emitir boleto e cartão virtual travou duas vezes.",5,Geral,"Depois da atualização cartão virtual ficou mais simples. O carregamento dos relatórios demorou. cartão virtual demorou para responder. Consegui emitir boleto, mas depois apareceu erro em login. Tentei emitir boleto e cartão virtual travou duas vezes.",False,"Depois da atualização cartão virtual ficou mais simples. O carregamento dos relatórios demorou. cartão virtual demorou para responder. Consegui emitir boleto, mas depois apareceu erro em login. Tentei emitir boleto e cartão virtual travou duas vezes."
"limite demorou para responder. Precisei repetir algumas etapas para concluir. Recebi erro enquanto tentava fazer transferência. Consegui fazer transferência, mas depois apareceu erro em relatórios. O atendimento resolveu rápido a solicitação. O suporte pediu novamente as mesmas informações.",6,Suporte,"limite demorou para responder. Precisei repetir algumas etapas para concluir. Recebi erro enquanto tentava fazer transferência. Consegui fazer transferência, mas depois apareceu erro em relatórios. O atendimento resolveu rápido a solicitação. O suporte pediu novamente as mesmas informações.",False,"limite demorou para responder. Precisei repetir algumas etapas para concluir. Recebi erro enquanto tentava fazer transferência. Consegui fazer transferência, mas depois apareceu erro em relatórios. O atendimento resolveu rápido a solicitação. O suporte pediu novamente as mesmas informações."
"As notificações chegaram atrasadas. O atendimento resolveu rápido a solicitação. O suporte pediu novamente as mesmas informações. Consegui acompanhar pagamento, mas depois apareceu erro em performance.",6,Produto,"As notificações chegaram atrasadas. O atendimento resolveu rápido a solicitação. O suporte pediu novamente as mesmas informações. Consegui acompanhar pagamento, mas depois apareceu erro em performance.",False,"As notificações chegaram atrasadas. O atendimento resolveu rápido a solicitação. O suporte pediu novamente as mesmas informações. Consegui acompanhar pagamento, mas depois apareceu erro em performance."
"O atendimento resolveu rápido a solicitação. O carregamento dos relatórios demorou. Consegui atualizar cadastro, mas depois apareceu erro em relatórios. Recebi erro enquanto tentava atualizar cadastro. As notificações chegaram atrasadas. O suporte pediu novamente as mesmas informações.",9,Suporte,"O atendimento resolveu rápido a solicitação. O carregamento dos relatórios demorou. Consegui atualizar cadastro, mas depois apareceu erro em relatórios. Recebi erro enquanto tentava atualizar cadastro. As notificações chegaram atrasadas. O suporte pediu novamente as mesmas informações.",False,"O atendimento resolveu rápido a solicitação. O carregamento dos relatórios demorou. Consegui atualizar cadastro, mas depois apareceu erro em relatórios. Recebi erro enquanto tentava atualizar cadastro. As notificações chegaram atrasadas. O suporte pediu novamente as mesmas informações."
O carregamento dos relatórios demorou. O atendimento resolveu rápido a solicitação. Recebi erro enquanto tentava fazer transferência. As notificações chegaram atrasadas. performance demorou para responder. O suporte pediu novamente as mesmas informações.,10,Serviços,O carregamento dos relatórios demorou. O atendimento resolveu rápido a solicitação. Recebi erro enquanto tentava fazer transferência. As notificações chegaram atrasadas. performance demorou para responder. O suporte pediu novamente as mesmas informações.,False,O carregamento dos relatórios demorou. O atendimento resolveu rápido a solicitação. Recebi erro enquanto tentava fazer transferência. As notificações chegaram atrasadas. performance demorou para responder. O suporte pediu novamente as mesmas informações.
"Tentei atualizar cadastro e cadastro travou duas vezes. O carregamento dos relatórios demorou. Recebi erro enquanto tentava atualizar cadastro. Precisei repetir algumas etapas para concluir. Consegui atualizar cadastro, mas depois apareceu erro em performance. qdo probelma ploblema",10,Produto,"Tentei atualizar cadastro e cadastro travou duas vezes. O carregamento dos relatórios demorou. Recebi erro enquanto tentava atualizar cadastro. Precisei repetir algumas etapas para concluir. Consegui atualizar cadastro, mas depois apareceu erro em performance. qdo probelma ploblema",False,"Tentei atualizar cadastro e cadastro travou duas vezes. O carregamento dos relatórios demorou. Recebi erro enquanto tentava atualizar cadastro. Precisei repetir algumas etapas para concluir. Consegui atualizar cadastro, mas depois apareceu erro em performance. qdo probelma ploblema"
"O suporte pediu novamente as mesmas informações. Consegui fazer transferência, mas depois apareceu erro em pagamentos.",2,Serviços,"O suporte pediu novamente as mesmas informações. Consegui fazer transferência, mas depois apareceu erro em pagamentos.",False,"O suporte pediu novamente as mesmas informações. Consegui fazer transferência, mas depois apareceu erro em pagamentos."
"As notificações chegaram atrasadas. Consegui acompanhar pagamento, mas depois apareceu erro em cadastro. O suporte pediu novamente as mesmas informações. O atendimento resolveu rápido a solicitação. Precisei repetir algumas etapas para concluir. Tentei acompanhar pagamento e onboarding travou duas vezes.",7,Suporte,"As notificações chegaram atrasadas. Consegui acompanhar pagamento, mas depois apareceu erro em cadastro. O suporte pediu novamente as mesmas informações. O atendimento resolveu rápido a solicitação. Precisei repetir algumas etapas para concluir. Tentei acompanhar pagamento e onboarding travou duas vezes.",False,"As notificações chegaram atrasadas. Consegui acompanhar pagamento, mas depois apareceu erro em cadastro. O suporte pediu novamente as mesmas informações. O atendimento resolveu rápido a solicitação. Precisei repetir algumas etapas para concluir. Tentei acompanhar pagamento e onboarding travou duas vezes."
"Consegui consultar saldo, mas depois apareceu erro em login. Depois da atualização relatórios ficou mais simples. Precisei repetir algumas etapas para concluir. O atendimento resolveu rápido a solicitação.",10,Produto,"Consegui consultar saldo, mas depois apareceu erro em login. Depois da atualização relatórios ficou mais simples. Precisei repetir algumas etapas para concluir. O atendimento resolveu rápido a solicitação.",False,"Consegui consultar saldo, mas depois apareceu erro em login. Depois da atualização relatórios ficou mais simples. Precisei repetir algumas etapas para concluir. O atendimento resolveu rápido a solicitação."
Depois da atualização chat ficou mais simples. chat demorou para responder. Recebi erro enquanto tentava acompanhar pagamento. Precisei repetir algumas etapas para concluir.,9,Serviços,Depois da atualização chat ficou mais simples. chat demorou para responder. Recebi erro enquanto tentava acompanhar pagamento. Precisei repetir algumas etapas para concluir.,False,Depois da atualização chat ficou mais simples. chat demorou para responder. Recebi erro enquanto tentava acompanhar pagamento. Precisei repetir algumas etapas para concluir.
cartão virtual demorou para responder. O suporte pediu novamente as mesmas informações. Tentei atualizar cadastro e cartão virtual travou duas vezes. msg qdo bugou,1,Serviços,cartão virtual demorou para responder. O suporte pediu novamente as mesmas informações. Tentei atualizar cadastro e cartão virtual travou duas vezes. msg qdo bugou,False,cartão virtual demorou para responder. O suporte pediu novamente as mesmas informações. Tentei atualizar cadastro e cartão virtual travou duas vezes. msg qdo bugou
Regular.,9,Pós-venda,Regular.,True,
"Consegui integrar sistema, mas depois apareceu erro em integração. dashboard demorou para responder. Recebi erro enquanto tentava integrar sistema. As notificações chegaram atrasadas. O suporte pediu novamente as mesmas informações. Depois da atualização dashboard ficou mais simples.",9,Produto,"Consegui integrar sistema, mas depois apareceu erro em integração. dashboard demorou para responder. Recebi erro enquanto tentava integrar sistema. As notificações chegaram atrasadas. O suporte pediu novamente as mesmas informações. Depois da atualização dashboard ficou mais simples.",False,"Consegui integrar sistema, mas depois apareceu erro em integração. dashboard demorou para responder. Recebi erro enquanto tentava integrar sistema. As notificações chegaram atrasadas. O suporte pediu novamente as mesmas informações. Depois da atualização dashboard ficou mais simples."
"O atendimento resolveu rápido a solicitação. O suporte pediu novamente as mesmas informações. Consegui integrar sistema, mas depois apareceu erro em notificações. As notificações chegaram atrasadas.",1,Produto,"O atendimento resolveu rápido a solicitação. O suporte pediu novamente as mesmas informações. Consegui integrar sistema, mas depois apareceu erro em notificações. As notificações chegaram atrasadas.",False,"O atendimento resolveu rápido a solicitação. O suporte pediu novamente as mesmas informações. Consegui integrar sistema, mas depois apareceu erro em notificações. As notificações chegaram atrasadas."
"Depois da atualização cadastro ficou mais simples. Consegui emitir boleto, mas depois apareceu erro em login. O carregamento dos relatórios demorou. Tentei emitir boleto e cadastro travou duas vezes.",8,Produto,"Depois da atualização cadastro ficou mais simples. Consegui emitir boleto, mas depois apareceu erro em login. O carregamento dos relatórios demorou. Tentei emitir boleto e cadastro travou duas vezes.",False,"Depois da atualização cadastro ficou mais simples. Consegui emitir boleto, mas depois apareceu erro em login. O carregamento dos relatórios demorou. Tentei emitir boleto e cadastro travou duas vezes."
O carregamento dos relatórios demorou. O atendimento resolveu rápido a solicitação.,1,Produto,O carregamento dos relatórios demorou. O atendimento resolveu rápido a solicitação.,False,O carregamento dos relatórios demorou. O atendimento resolveu rápido a solicitação.
Nada a declarar.,7,Produto,Nada a declarar.,True,
"Consegui consultar saldo, mas depois apareceu erro em integração. Precisei repetir algumas etapas para concluir.",1,Produto,"Consegui consultar saldo, mas depois apareceu erro em integração. Precisei repetir algumas etapas para concluir.",False,"Consegui consultar saldo, mas depois apareceu erro em integração. Precisei repetir algumas etapas para concluir."
onboarding demorou para responder. Tentei consultar limite e onboarding travou duas vezes.,1,Produto,onboarding demorou para responder. Tentei consultar limite e onboarding travou duas vezes.,False,onboarding demorou para responder. Tentei consultar limite e onboarding travou duas vezes.
Sem comentários.,1,Produto,Sem comentários.,True,
Nada a declarar.,8,Geral,Nada a declarar.,True,
Tentei consultar limite e cadastro travou duas vezes. As notificações chegaram atrasadas. Recebi erro enquanto tentava consultar limite. O suporte pediu novamente as mesmas informações. demoro vcs bugou,6,Geral,Tentei consultar limite e cadastro travou duas vezes. As notificações chegaram atrasadas. Recebi erro enquanto tentava consultar limite. O suporte pediu novamente as mesmas informações. demoro vcs bugou,False,Tentei consultar limite e cadastro travou duas vezes. As notificações chegaram atrasadas. Recebi erro enquanto tentava consultar limite. O suporte pediu novamente as mesmas informações. demoro vcs bugou
Precisei repetir algumas etapas para concluir. Recebi erro enquanto tentava atualizar cadastro. O suporte pediu novamente as mesmas informações. As notificações chegaram atrasadas.,1,Suporte,Precisei repetir algumas etapas para concluir. Recebi erro enquanto tentava atualizar cadastro. O suporte pediu novamente as mesmas informações. As notificações chegaram atrasadas.,False,Precisei repetir algumas etapas para concluir. Recebi erro enquanto tentava atualizar cadastro. O suporte pediu novamente as mesmas informações. As notificações chegaram atrasadas.
Sem comentários.,10,Produto,Sem comentários.,True,
O suporte pediu novamente as mesmas informações. O atendimento resolveu rápido a solicitação. Tentei atualizar cadastro e integração travou duas vezes.,2,Produto,O suporte pediu novamente as mesmas informações. O atendimento resolveu rápido a solicitação. Tentei atualizar cadastro e integração travou duas vezes.,False,O suporte pediu novamente as mesmas informações. O atendimento resolveu rápido a solicitação. Tentei atualizar cadastro e integração travou duas vezes.
Tudo certo.,1,Produto,Tudo certo.,True,
As notificações chegaram atrasadas. O carregamento dos relatórios demorou. performance demorou para responder. demoro,1,Produto,As notificações chegaram atrasadas. O carregamento dos relatórios demorou. performance demorou para responder. demoro,False,As notificações chegaram atrasadas. O carregamento dos relatórios demorou. performance demorou para responder. demoro
Depois da atualização cadastro ficou mais simples. O carregamento dos relatórios demorou. Recebi erro enquanto tentava consultar saldo. cadastro demorou para responder. O atendimento resolveu rápido a solicitação. Tentei consultar saldo e cadastro travou duas vezes. bugou,3,Geral,Depois da atualização cadastro ficou mais simples. O carregamento dos relatórios demorou. Recebi erro enquanto tentava consultar saldo. cadastro demorou para responder. O atendimento resolveu rápido a solicitação. Tentei consultar saldo e cadastro travou duas vezes. bugou,False,Depois da atualização cadastro ficou mais simples. O carregamento dos relatórios demorou. Recebi erro enquanto tentava consultar saldo. cadastro demorou para responder. O atendimento resolveu rápido a solicitação. Tentei consultar saldo e cadastro travou duas vezes. bugou
O suporte pediu novamente as mesmas informações. Recebi erro enquanto tentava acompanhar pagamento.,5,Serviços,O suporte pediu novamente as mesmas informações. Recebi erro enquanto tentava acompanhar pagamento.,False,O suporte pediu novamente as mesmas informações. Recebi erro enquanto tentava acompanhar pagamento.
"Precisei repetir algumas etapas para concluir. O atendimento resolveu rápido a solicitação. O carregamento dos relatórios demorou. Consegui fazer transferência, mas depois apareceu erro em pagamentos. Recebi erro enquanto tentava fazer transferência. Tentei fazer transferência e cadastro travou duas vezes. bugou",7,Suporte,"Precisei repetir algumas etapas para concluir. O atendimento resolveu rápido a solicitação. O carregamento dos relatórios demorou. Consegui fazer transferência, mas depois apareceu erro em pagamentos. Recebi erro enquanto tentava fazer transferência. Tentei fazer transferência e cadastro travou duas vezes. bugou",False,"Precisei repetir algumas etapas para concluir. O atendimento resolveu rápido a solicitação. O carregamento dos relatórios demorou. Consegui fazer transferência, mas depois apareceu erro em pagamentos. Recebi erro enquanto tentava fazer transferência. Tentei fazer transferência e cadastro travou duas vezes. bugou"
Depois da atualização extrato ficou mais simples. Precisei repetir algumas etapas para concluir. O atendimento resolveu rápido a solicitação. As notificações chegaram atrasadas. extrato demorou para responder.,6,Serviços,Depois da atualização extrato ficou mais simples. Precisei repetir algumas etapas para concluir. O atendimento resolveu rápido a solicitação. As notificações chegaram atrasadas. extrato demorou para responder.,False,Depois da atualização extrato ficou mais simples. Precisei repetir algumas etapas para concluir. O atendimento resolveu rápido a solicitação. As notificações chegaram atrasadas. extrato demorou para responder.
"Consegui fazer transferência, mas depois apareceu erro em pagamentos. O suporte pediu novamente as mesmas informações. Recebi erro enquanto tentava fazer transferência. O atendimento resolveu rápido a solicitação. Tentei fazer transferência e onboarding travou duas vezes. As notificações chegaram atrasadas.",10,Suporte,"Consegui fazer transferência, mas depois apareceu erro em pagamentos. O suporte pediu novamente as mesmas informações. Recebi erro enquanto tentava fazer transferência. O atendimento resolveu rápido a solicitação. Tentei fazer transferência e onboarding travou duas vezes. As notificações chegaram atrasadas.",False,"Consegui fazer transferência, mas depois apareceu erro em pagamentos. O suporte pediu novamente as mesmas informações. Recebi erro enquanto tentava fazer transferência. O atendimento resolveu rápido a solicitação. Tentei fazer transferência e onboarding travou duas vezes. As notificações chegaram atrasadas."
O carregamento dos relatórios demorou. O suporte pediu novamente as mesmas informações.,9,Serviços,O carregamento dos relatórios demorou. O suporte pediu novamente as mesmas informações.,False,O carregamento dos relatórios demorou. O suporte pediu novamente as mesmas informações.
Precisei repetir algumas etapas para concluir. O suporte pediu novamente as mesmas informações. API demorou para responder.,7,Pós-venda,Precisei repetir algumas etapas para concluir. O suporte pediu novamente as mesmas informações. API demorou para responder.,False,Precisei repetir algumas etapas para concluir. O suporte pediu novamente as mesmas informações. API demorou para responder.
"login demorou para responder. O carregamento dos relatórios demorou. Precisei repetir algumas etapas para concluir. Consegui acompanhar pagamento, mas depois apareceu erro em cadastro. Recebi erro enquanto tentava acompanhar pagamento. O atendimento resolveu rápido a solicitação.",6,Produto,"login demorou para responder. O carregamento dos relatórios demorou. Precisei repetir algumas etapas para concluir. Consegui acompanhar pagamento, mas depois apareceu erro em cadastro. Recebi erro enquanto tentava acompanhar pagamento. O atendimento resolveu rápido a solicitação.",False,"login demorou para responder. O carregamento dos relatórios demorou. Precisei repetir algumas etapas para concluir. Consegui acompanhar pagamento, mas depois apareceu erro em cadastro. Recebi erro enquanto tentava acompanhar pagamento. O atendimento resolveu rápido a solicitação."
"Depois da atualização limite ficou mais simples. Consegui consultar saldo, mas depois apareceu erro em extrato. Recebi erro enquanto tentava consultar saldo. qdo",2,Produto,"Depois da atualização limite ficou mais simples. Consegui consultar saldo, mas depois apareceu erro em extrato. Recebi erro enquanto tentava consultar saldo. qdo",False,"Depois da atualização limite ficou mais simples. Consegui consultar saldo, mas depois apareceu erro em extrato. Recebi erro enquanto tentava consultar saldo. qdo"
Tentei baixar relatório e extrato travou duas vezes. Precisei repetir algumas etapas para concluir. O atendimento resolveu rápido a solicitação. O carregamento dos relatórios demorou. Depois da atualização extrato ficou mais simples.,8,Serviços,Tentei baixar relatório e extrato travou duas vezes. Precisei repetir algumas etapas para concluir. O atendimento resolveu rápido a solicitação. O carregamento dos relatórios demorou. Depois da atualização extrato ficou mais simples.,False,Tentei baixar relatório e extrato travou duas vezes. Precisei repetir algumas etapas para concluir. O atendimento resolveu rápido a solicitação. O carregamento dos relatórios demorou. Depois da atualização extrato ficou mais simples.
As notificações chegaram atrasadas. O atendimento resolveu rápido a solicitação. Recebi erro enquanto tentava fazer transferência. O suporte pediu novamente as mesmas informações. pagamentos demorou para responder. naum,4,Serviços,As notificações chegaram atrasadas. O atendimento resolveu rápido a solicitação. Recebi erro enquanto tentava fazer transferência. O suporte pediu novamente as mesmas informações. pagamentos demorou para responder. naum,False,As notificações chegaram atrasadas. O atendimento resolveu rápido a solicitação. Recebi erro enquanto tentava fazer transferência. O suporte pediu novamente as mesmas informações. pagamentos demorou para responder. naum
limite demorou para responder. Depois da atualização limite ficou mais simples. Precisei repetir algumas etapas para concluir. Recebi erro enquanto tentava consultar saldo. Tentei consultar saldo e limite travou duas vezes. O suporte pediu novamente as mesmas informações.,5,Produto,limite demorou para responder. Depois da atualização limite ficou mais simples. Precisei repetir algumas etapas para concluir. Recebi erro enquanto tentava consultar saldo. Tentei consultar saldo e limite travou duas vezes. O suporte pediu novamente as mesmas informações.,False,limite demorou para responder. Depois da atualização limite ficou mais simples. Precisei repetir algumas etapas para concluir. Recebi erro enquanto tentava consultar saldo. Tentei consultar saldo e limite travou duas vezes. O suporte pediu novamente as mesmas informações.
As notificações chegaram atrasadas. O atendimento resolveu rápido a solicitação. Recebi erro enquanto tentava emitir boleto.,2,Suporte,As notificações chegaram atrasadas. O atendimento resolveu rápido a solicitação. Recebi erro enquanto tentava emitir boleto.,False,As notificações chegaram atrasadas. O atendimento resolveu rápido a solicitação. Recebi erro enquanto tentava emitir boleto.
"Consegui consultar limite, mas depois apareceu erro em onboarding. Tentei consultar limite e cadastro travou duas vezes. msg bugou naum",3,Produto,"Consegui consultar limite, mas depois apareceu erro em onboarding. Tentei consultar limite e cadastro travou duas vezes. msg bugou naum",False,"Consegui consultar limite, mas depois apareceu erro em onboarding. Tentei consultar limite e cadastro travou duas vezes. msg bugou naum"
"As notificações chegaram atrasadas. Tentei fazer transferência e API travou duas vezes. O suporte pediu novamente as mesmas informações. O carregamento dos relatórios demorou. Recebi erro enquanto tentava fazer transferência. Consegui fazer transferência, mas depois apareceu erro em pagamentos.",9,Suporte,"As notificações chegaram atrasadas. Tentei fazer transferência e API travou duas vezes. O suporte pediu novamente as mesmas informações. O carregamento dos relatórios demorou. Recebi erro enquanto tentava fazer transferência. Consegui fazer transferência, mas depois apareceu erro em pagamentos.",False,"As notificações chegaram atrasadas. Tentei fazer transferência e API travou duas vezes. O suporte pediu novamente as mesmas informações. O carregamento dos relatórios demorou. Recebi erro enquanto tentava fazer transferência. Consegui fazer transferência, mas depois apareceu erro em pagamentos."
onboarding demorou para responder. O carregamento dos relatórios demorou. O suporte pediu novamente as mesmas informações. Recebi erro enquanto tentava fazer transferência. O atendimento resolveu rápido a solicitação. Precisei repetir algumas etapas para concluir.,7,Produto,onboarding demorou para responder. O carregamento dos relatórios demorou. O suporte pediu novamente as mesmas informações. Recebi erro enquanto tentava fazer transferência. O atendimento resolveu rápido a solicitação. Precisei repetir algumas etapas para concluir.,False,onboarding demorou para responder. O carregamento dos relatórios demorou. O suporte pediu novamente as mesmas informações. Recebi erro enquanto tentava fazer transferência. O atendimento resolveu rápido a solicitação. Precisei repetir algumas etapas para concluir.
"Consegui emitir boleto, mas depois apareceu erro em API. O carregamento dos relatórios demorou.",1,Serviços,"Consegui emitir boleto, mas depois apareceu erro em API. O carregamento dos relatórios demorou.",False,"Consegui emitir boleto, mas depois apareceu erro em API. O carregamento dos relatórios demorou."
"Precisei repetir algumas etapas para concluir. Tentei fazer transferência e chat travou duas vezes. Recebi erro enquanto tentava fazer transferência. O carregamento dos relatórios demorou. Consegui fazer transferência, mas depois apareceu erro em dashboard.",6,Produto,"Precisei repetir algumas etapas para concluir. Tentei fazer transferência e chat travou duas vezes. Recebi erro enquanto tentava fazer transferência. O carregamento dos relatórios demorou. Consegui fazer transferência, mas depois apareceu erro em dashboard.",False,"Precisei repetir algumas etapas para concluir. Tentei fazer transferência e chat travou duas vezes. Recebi erro enquanto tentava fazer transferência. O carregamento dos relatórios demorou. Consegui fazer transferência, mas depois apareceu erro em dashboard."
"As notificações chegaram atrasadas. O atendimento resolveu rápido a solicitação. Tentei consultar limite e usabilidade travou duas vezes. O carregamento dos relatórios demorou. O suporte pediu novamente as mesmas informações. Consegui consultar limite, mas depois apareceu erro em integração. sitema atendimnto",8,Geral,"As notificações chegaram atrasadas. O atendimento resolveu rápido a solicitação. Tentei consultar limite e usabilidade travou duas vezes. O carregamento dos relatórios demorou. O suporte pediu novamente as mesmas informações. Consegui consultar limite, mas depois apareceu erro em integração. sitema atendimnto",False,"As notificações chegaram atrasadas. O atendimento resolveu rápido a solicitação. Tentei consultar limite e usabilidade travou duas vezes. O carregamento dos relatórios demorou. O suporte pediu novamente as mesmas informações. Consegui consultar limite, mas depois apareceu erro em integração. sitema atendimnto"
Sem comentários.,9,Serviços,Sem comentários.,True,
"Consegui consultar limite, mas depois apareceu erro em pagamentos. Tentei consultar limite e dashboard travou duas vezes. O carregamento dos relatórios demorou. O suporte pediu novamente as mesmas informações.",3,Suporte,"Consegui consultar limite, mas depois apareceu erro em pagamentos. Tentei consultar limite e dashboard travou duas vezes. O carregamento dos relatórios demorou. O suporte pediu novamente as mesmas informações.",False,"Consegui consultar limite, mas depois apareceu erro em pagamentos. Tentei consultar limite e dashboard travou duas vezes. O carregamento dos relatórios demorou. O suporte pediu novamente as mesmas informações."
"O atendimento resolveu rápido a solicitação. Recebi erro enquanto tentava integrar sistema. performance demorou para responder. Consegui integrar sistema, mas depois apareceu erro em integração. Precisei repetir algumas etapas para concluir.",6,Produto,"O atendimento resolveu rápido a solicitação. Recebi erro enquanto tentava integrar sistema. performance demorou para responder. Consegui integrar sistema, mas depois apareceu erro em integração. Precisei repetir algumas etapas para concluir.",False,"O atendimento resolveu rápido a solicitação. Recebi erro enquanto tentava integrar sistema. performance demorou para responder. Consegui integrar sistema, mas depois apareceu erro em integração. Precisei repetir algumas etapas para concluir."
"Consegui atualizar cadastro, mas depois apareceu erro em chat. As notificações chegaram atrasadas. Depois da atualização extrato ficou mais simples. Recebi erro enquanto tentava atualizar cadastro. extrato demorou para responder.",8,Suporte,"Consegui atualizar cadastro, mas depois apareceu erro em chat. As notificações chegaram atrasadas. Depois da atualização extrato ficou mais simples. Recebi erro enquanto tentava atualizar cadastro. extrato demorou para responder.",False,"Consegui atualizar cadastro, mas depois apareceu erro em chat. As notificações chegaram atrasadas. Depois da atualização extrato ficou mais simples. Recebi erro enquanto tentava atualizar cadastro. extrato demorou para responder."
"Recebi erro enquanto tentava consultar limite. Consegui consultar limite, mas depois apareceu erro em performance. Depois da atualização integração ficou mais simples.",4,Produto,"Recebi erro enquanto tentava consultar limite. Consegui consultar limite, mas depois apareceu erro em performance. Depois da atualização integração ficou mais simples.",False,"Recebi erro enquanto tentava consultar limite. Consegui consultar limite, mas depois apareceu erro em performance. Depois da atualização integração ficou mais simples."
"Precisei repetir algumas etapas para concluir. Tentei integrar sistema e cartão virtual travou duas vezes. cartão virtual demorou para responder. Consegui integrar sistema, mas depois apareceu erro em integração. O atendimento resolveu rápido a solicitação. O carregamento dos relatórios demorou.",1,Pós-venda,"Precisei repetir algumas etapas para concluir. Tentei integrar sistema e cartão virtual travou duas vezes. cartão virtual demorou para responder. Consegui integrar sistema, mas depois apareceu erro em integração. O atendimento resolveu rápido a solicitação. O carregamento dos relatórios demorou.",False,"Precisei repetir algumas etapas para concluir. Tentei integrar sistema e cartão virtual travou duas vezes. cartão virtual demorou para responder. Consegui integrar sistema, mas depois apareceu erro em integração. O atendimento resolveu rápido a solicitação. O carregamento dos relatórios demorou."
"Consegui emitir boleto, mas depois apareceu erro em dashboard. O atendimento resolveu rápido a solicitação. Recebi erro enquanto tentava emitir boleto. O suporte pediu novamente as mesmas informações. sitema demoro",7,Geral,"Consegui emitir boleto, mas depois apareceu erro em dashboard. O atendimento resolveu rápido a solicitação. Recebi erro enquanto tentava emitir boleto. O suporte pediu novamente as mesmas informações. sitema demoro",False,"Consegui emitir boleto, mas depois apareceu erro em dashboard. O atendimento resolveu rápido a solicitação. Recebi erro enquanto tentava emitir boleto. O suporte pediu novamente as mesmas informações. sitema demoro"
"Depois da atualização chat ficou mais simples. Tentei fazer transferência e chat travou duas vezes. Consegui fazer transferência, mas depois apareceu erro em login. As notificações chegaram atrasadas. O atendimento resolveu rápido a solicitação.",4,Serviços,"Depois da atualização chat ficou mais simples. Tentei fazer transferência e chat travou duas vezes. Consegui fazer transferência, mas depois apareceu erro em login. As notificações chegaram atrasadas. O atendimento resolveu rápido a solicitação.",False,"Depois da atualização chat ficou mais simples. Tentei fazer transferência e chat travou duas vezes. Consegui fazer transferência, mas depois apareceu erro em login. As notificações chegaram atrasadas. O atendimento resolveu rápido a solicitação."
Mais ou menos.,3,Produto,Mais ou menos.,True,
