comentario,nota,responsavel,comentario_stem_porter
Depois da atualização integração ficou mais simples. integração demorou para responder. O atendimento resolveu rápido a solicitação. Recebi erro enquanto tentava baixar relatório. As notificações chegaram atrasadas.,10,Produto,depoi da atualizacao integracao ficou mai simpl integracao demor para respond o atendimento resolveu rapido a solicitacao recebi erro enquanto tentava baixar relatorio as notificaco chegaram atrasada
Tentei consultar saldo e login travou duas vezes. Precisei repetir algumas etapas para concluir.,8,Produto,tentei consultar saldo e login travou dua veze precisei repetir alguma etapa para concluir
Sem comentários.,3,Geral,sem comentario
Tentei baixar relatório e login travou duas vezes. Precisei repetir algumas etapas para concluir. As notificações chegaram atrasadas. O carregamento dos relatórios demorou. Depois da atualização login ficou mais simples.,8,Suporte,tentei baixar relatorio e login travou dua veze precisei repetir alguma etapa para concluir as notificaco chegaram atrasada o carregamento do relatorio demor depoi da atualizacao login ficou mai simpl
Tudo certo.,4,Suporte,tudo certo
"Consegui fazer transferência, mas depois apareceu erro em relatórios. O carregamento dos relatórios demorou. O suporte pediu novamente as mesmas informações.",2,Geral,consegui fazer transferencia ma depoi apareceu erro em relatorio o carregamento do relatorio demor o suport pediu novament as mesma informaco
Tudo certo.,6,Suporte,tudo certo
Recebi erro enquanto tentava emitir boleto. As notificações chegaram atrasadas. platafroma qdo travano,3,Produto,recebi erro enquanto tentava emitir boleto as notificaco chegaram atrasada platafroma qdo travano
Recebi erro enquanto tentava integrar sistema. O carregamento dos relatórios demorou. Tentei integrar sistema e cartão virtual travou duas vezes. Precisei repetir algumas etapas para concluir. As notificações chegaram atrasadas. O suporte pediu novamente as mesmas informações.,1,Serviços,recebi erro enquanto tentava integrar sistema o carregamento do relatorio demor tentei integrar sistema e cartao virtual travou dua veze precisei repetir alguma etapa para concluir as notificaco chegaram atrasada o suport pediu novament as mesma informaco
"O atendimento resolveu rápido a solicitação. Tentei consultar saldo e pagamentos travou duas vezes. Consegui consultar saldo, mas depois apareceu erro em relatórios.",1,Suporte,o atendimento resolveu rapido a solicitacao tentei consultar saldo e pagamento travou dua veze consegui consultar saldo ma depoi apareceu erro em relatorio
"As notificações chegaram atrasadas. O carregamento dos relatórios demorou. O atendimento resolveu rápido a solicitação. Consegui acompanhar pagamento, mas depois apareceu erro em API. Depois da atualização pagamentos ficou mais simples. Recebi erro enquanto tentava acompanhar pagamento.",6,Serviços,as notificaco chegaram atrasada o carregamento do relatorio demor o atendimento resolveu rapido a solicitacao consegui acompanhar pagamento ma depoi apareceu erro em api depoi da atualizacao pagamento ficou mai simpl recebi erro enquanto tentava acompanhar pagamento
"Consegui emitir boleto, mas depois apareceu erro em login. Recebi erro enquanto tentava emitir boleto. O atendimento resolveu rápido a solicitação. O suporte pediu novamente as mesmas informações. As notificações chegaram atrasadas.",1,Serviços,consegui emitir boleto ma depoi apareceu erro em login recebi erro enquanto tentava emitir boleto o atendimento resolveu rapido a solicitacao o suport pediu novament as mesma informaco as notificaco chegaram atrasada
Regular.,5,Produto,regular
extrato demorou para responder. As notificações chegaram atrasadas. Recebi erro enquanto tentava consultar limite. O carregamento dos relatórios demorou. O suporte pediu novamente as mesmas informações. bugou,7,Geral,extrato demor para respond as notificaco chegaram atrasada recebi erro enquanto tentava consultar limit o carregamento do relatorio demor o suport pediu novament as mesma informaco bugou
O atendimento resolveu rápido a solicitação. Precisei repetir algumas etapas para concluir. Recebi erro enquanto tentava fazer transferência. Tentei fazer transferência e performance travou duas vezes. As notificações chegaram atrasadas.,4,Suporte,o atendimento resolveu rapido a solicitacao precisei repetir alguma etapa para concluir recebi erro enquanto tentava fazer transferencia tentei fazer transferencia e perform travou dua veze as notificaco chegaram atrasada
O carregamento dos relatórios demorou. Precisei repetir algumas etapas para concluir. As notificações chegaram atrasadas. Tentei consultar limite e dashboard travou duas vezes. Depois da atualização dashboard ficou mais simples. vcs demoro travano,4,Produto,o carregamento do relatorio demor precisei repetir alguma etapa para concluir as notificaco chegaram atrasada tentei consultar limit e dashboard travou dua veze depoi da atualizacao dashboard ficou mai simpl vc demoro travano
Tudo certo.,6,Geral,tudo certo
relatórios demorou para responder. Precisei repetir algumas etapas para concluir. O suporte pediu novamente as mesmas informações. O carregamento dos relatórios demorou. As notificações chegaram atrasadas.,1,Produto,relatorio demor para respond precisei repetir alguma etapa para concluir o suport pediu novament as mesma informaco o carregamento do relatorio demor as notificaco chegaram atrasada
"O suporte pediu novamente as mesmas informações. Consegui emitir boleto, mas depois apareceu erro em limite. Depois da atualização pagamentos ficou mais simples. Precisei repetir algumas etapas para concluir.",6,Suporte,o suport pediu novament as mesma informaco consegui emitir boleto ma depoi apareceu erro em limit depoi da atualizacao pagamento ficou mai simpl precisei repetir alguma etapa para concluir
Depois da atualização cartão virtual ficou mais simples. O atendimento resolveu rápido a solicitação. As notificações chegaram atrasadas. Precisei repetir algumas etapas para concluir.,2,Produto,depoi da atualizacao cartao virtual ficou mai simpl o atendimento resolveu rapido a solicitacao as notificaco chegaram atrasada precisei repetir alguma etapa para concluir
O atendimento resolveu rápido a solicitação. extrato demorou para responder. As notificações chegaram atrasadas. O carregamento dos relatórios demorou. Depois da atualização extrato ficou mais simples.,9,Serviços,o atendimento resolveu rapido a solicitacao extrato demor para respond as notificaco chegaram atrasada o carregamento do relatorio demor depoi da atualizacao extrato ficou mai simpl
"O atendimento resolveu rápido a solicitação. Recebi erro enquanto tentava atualizar cadastro. Consegui atualizar cadastro, mas depois apareceu erro em cartão virtual. O suporte pediu novamente as mesmas informações. As notificações chegaram atrasadas. qdo platafroma probelma",9,Serviços,o atendimento resolveu rapido a solicitacao recebi erro enquanto tentava atualizar cadastro consegui atualizar cadastro ma depoi apareceu erro em cartao virtual o suport pediu novament as mesma informaco as notificaco chegaram atrasada qdo platafroma probelma
"dashboard demorou para responder. O suporte pediu novamente as mesmas informações. Consegui consultar limite, mas depois apareceu erro em onboarding. Precisei repetir algumas etapas para concluir. O atendimento resolveu rápido a solicitação. sitema vcs",4,Produto,dashboard demor para respond o suport pediu novament as mesma informaco consegui consultar limit ma depoi apareceu erro em onboard precisei repetir alguma etapa para concluir o atendimento resolveu rapido a solicitacao sitema vc
Tentei consultar limite e cartão virtual travou duas vezes. O atendimento resolveu rápido a solicitação. Recebi erro enquanto tentava consultar limite. Precisei repetir algumas etapas para concluir. Depois da atualização cartão virtual ficou mais simples. cartão virtual demorou para responder. qdo demoro sitema,9,Produto,tentei consultar limit e cartao virtual travou dua veze o atendimento resolveu rapido a solicitacao recebi erro enquanto tentava consultar limit precisei repetir alguma etapa para concluir depoi da atualizacao cartao virtual ficou mai simpl cartao virtual demor para respond qdo demoro sitema
"O suporte pediu novamente as mesmas informações. Consegui consultar saldo, mas depois apareceu erro em dashboard.",5,Pós-venda,o suport pediu novament as mesma informaco consegui consultar saldo ma depoi apareceu erro em dashboard
Depois da atualização notificações ficou mais simples. O carregamento dos relatórios demorou. notificações demorou para responder. Precisei repetir algumas etapas para concluir. Tentei integrar sistema e notificações travou duas vezes.,9,Produto,depoi da atualizacao notificaco ficou mai simpl o carregamento do relatorio demor notificaco demor para respond precisei repetir alguma etapa para concluir tentei integrar sistema e notificaco travou dua veze
"O atendimento resolveu rápido a solicitação. Depois da atualização performance ficou mais simples. Consegui integrar sistema, mas depois apareceu erro em API. O suporte pediu novamente as mesmas informações.",1,Suporte,o atendimento resolveu rapido a solicitacao depoi da atualizacao perform ficou mai simpl consegui integrar sistema ma depoi apareceu erro em api o suport pediu novament as mesma informaco
Tentei emitir boleto e limite travou duas vezes. Recebi erro enquanto tentava emitir boleto. Precisei repetir algumas etapas para concluir. As notificações chegaram atrasadas. travano,7,Produto,tentei emitir boleto e limit travou dua veze recebi erro enquanto tentava emitir boleto precisei repetir alguma etapa para concluir as notificaco chegaram atrasada travano
"As notificações chegaram atrasadas. Depois da atualização relatórios ficou mais simples. Consegui integrar sistema, mas depois apareceu erro em API. Precisei repetir algumas etapas para concluir. O carregamento dos relatórios demorou. Recebi erro enquanto tentava integrar sistema. sitema bugou qdo",3,Geral,as notificaco chegaram atrasada depoi da atualizacao relatorio ficou mai simpl consegui integrar sistema ma depoi apareceu erro em api precisei repetir alguma etapa para concluir o carregamento do relatorio demor recebi erro enquanto tentava integrar sistema sitema bugou qdo
"Consegui consultar saldo, mas depois apareceu erro em usabilidade. O suporte pediu novamente as mesmas informações. Recebi erro enquanto tentava consultar saldo.",3,Serviços,consegui consultar saldo ma depoi apareceu erro em usabilidad o suport pediu novament as mesma informaco recebi erro enquanto tentava consultar saldo
O suporte pediu novamente as mesmas informações. Depois da atualização extrato ficou mais simples.,8,Geral,o suport pediu novament as mesma informaco depoi da atualizacao extrato ficou mai simpl
O atendimento resolveu rápido a solicitação. Depois da atualização cartão virtual ficou mais simples. cartão virtual demorou para responder. As notificações chegaram atrasadas.,9,Serviços,o atendimento resolveu rapido a solicitacao depoi da atualizacao cartao virtual ficou mai simpl cartao virtual demor para respond as notificaco chegaram atrasada
"Consegui integrar sistema, mas depois apareceu erro em API. O suporte pediu novamente as mesmas informações. bugou msg",9,Geral,consegui integrar sistema ma depoi apareceu erro em api o suport pediu novament as mesma informaco bugou msg
Depois da atualização chat ficou mais simples. O carregamento dos relatórios demorou. chat demorou para responder.,6,Produto,depoi da atualizacao chat ficou mai simpl o carregamento do relatorio demor chat demor para respond
Tentei consultar saldo e onboarding travou duas vezes. Depois da atualização onboarding ficou mais simples. onboarding demorou para responder. Recebi erro enquanto tentava consultar saldo.,2,Produto,tentei consultar saldo e onboard travou dua veze depoi da atualizacao onboard ficou mai simpl onboard demor para respond recebi erro enquanto tentava consultar saldo
Depois da atualização cartão virtual ficou mais simples. Precisei repetir algumas etapas para concluir. cartão virtual demorou para responder. Tentei baixar relatório e cartão virtual travou duas vezes. O suporte pediu novamente as mesmas informações. ploblema,8,Pós-venda,depoi da atualizacao cartao virtual ficou mai simpl precisei repetir alguma etapa para concluir cartao virtual demor para respond tentei baixar relatorio e cartao virtual travou dua veze o suport pediu novament as mesma informaco ploblema
Depois da atualização API ficou mais simples. O carregamento dos relatórios demorou. Recebi erro enquanto tentava baixar relatório. O suporte pediu novamente as mesmas informações. Tentei baixar relatório e API travou duas vezes. API demorou para responder.,3,Suporte,depoi da atualizacao api ficou mai simpl o carregamento do relatorio demor recebi erro enquanto tentava baixar relatorio o suport pediu novament as mesma informaco tentei baixar relatorio e api travou dua veze api demor para respond
"Consegui baixar relatório, mas depois apareceu erro em login. As notificações chegaram atrasadas. Recebi erro enquanto tentava baixar relatório. O atendimento resolveu rápido a solicitação. O carregamento dos relatórios demorou. Depois da atualização integração ficou mais simples. platafroma",5,Geral,consegui baixar relatorio ma depoi apareceu erro em login as notificaco chegaram atrasada recebi erro enquanto tentava baixar relatorio o atendimento resolveu rapido a solicitacao o carregamento do relatorio demor depoi da atualizacao integracao ficou mai simpl platafroma
Precisei repetir algumas etapas para concluir. O atendimento resolveu rápido a solicitação. As notificações chegaram atrasadas. probelma,1,Suporte,precisei repetir alguma etapa para concluir o atendimento resolveu rapido a solicitacao as notificaco chegaram atrasada probelma
O suporte pediu novamente as mesmas informações. Precisei repetir algumas etapas para concluir. O carregamento dos relatórios demorou. As notificações chegaram atrasadas.,0,Geral,o suport pediu novament as mesma informaco precisei repetir alguma etapa para concluir o carregamento do relatorio demor as notificaco chegaram atrasada
O suporte pediu novamente as mesmas informações. integração demorou para responder.,1,Geral,o suport pediu novament as mesma informaco integracao demor para respond
"onboarding demorou para responder. O suporte pediu novamente as mesmas informações. As notificações chegaram atrasadas. Consegui consultar limite, mas depois apareceu erro em notificações. Depois da atualização onboarding ficou mais simples. sitema",2,Suporte,onboard demor para respond o suport pediu novament as mesma informaco as notificaco chegaram atrasada consegui consultar limit ma depoi apareceu erro em notificaco depoi da atualizacao onboard ficou mai simpl sitema
"O atendimento resolveu rápido a solicitação. Tentei baixar relatório e usabilidade travou duas vezes. Recebi erro enquanto tentava baixar relatório. Precisei repetir algumas etapas para concluir. Consegui baixar relatório, mas depois apareceu erro em extrato.",4,Produto,o atendimento resolveu rapido a solicitacao tentei baixar relatorio e usabilidad travou dua veze recebi erro enquanto tentava baixar relatorio precisei repetir alguma etapa para concluir consegui baixar relatorio ma depoi apareceu erro em extrato
Depois da atualização cartão virtual ficou mais simples. O suporte pediu novamente as mesmas informações. O atendimento resolveu rápido a solicitação.,1,Serviços,depoi da atualizacao cartao virtual ficou mai simpl o suport pediu novament as mesma informaco o atendimento resolveu rapido a solicitacao
Tentei integrar sistema e onboarding travou duas vezes. Recebi erro enquanto tentava integrar sistema.,9,Produto,tentei integrar sistema e onboard travou dua veze recebi erro enquanto tentava integrar sistema
"Tentei baixar relatório e onboarding travou duas vezes. As notificações chegaram atrasadas. Consegui baixar relatório, mas depois apareceu erro em API. O atendimento resolveu rápido a solicitação. Recebi erro enquanto tentava baixar relatório.",0,Geral,tentei baixar relatorio e onboard travou dua veze as notificaco chegaram atrasada consegui baixar relatorio ma depoi apareceu erro em api o atendimento resolveu rapido a solicitacao recebi erro enquanto tentava baixar relatorio
Achei estranho.,4,Suporte,achei estranho
"O suporte pediu novamente as mesmas informações. Consegui consultar saldo, mas depois apareceu erro em API. As notificações chegaram atrasadas. O atendimento resolveu rápido a solicitação. Tentei consultar saldo e cadastro travou duas vezes.",5,Suporte,o suport pediu novament as mesma informaco consegui consultar saldo ma depoi apareceu erro em api as notificaco chegaram atrasada o atendimento resolveu rapido a solicitacao tentei consultar saldo e cadastro travou dua veze
Nada a declarar.,7,Suporte,nada a declarar
Achei estranho.,7,Produto,achei estranho
Recebi erro enquanto tentava acompanhar pagamento. Precisei repetir algumas etapas para concluir. O carregamento dos relatórios demorou. limite demorou para responder. As notificações chegaram atrasadas.,6,Geral,recebi erro enquanto tentava acompanhar pagamento precisei repetir alguma etapa para concluir o carregamento do relatorio demor limit demor para respond as notificaco chegaram atrasada
"Precisei repetir algumas etapas para concluir. Tentei emitir boleto e cadastro travou duas vezes. cadastro demorou para responder. Consegui emitir boleto, mas depois apareceu erro em API. Depois da atualização cadastro ficou mais simples. Recebi erro enquanto tentava emitir boleto.",2,Suporte,precisei repetir alguma etapa para concluir tentei emitir boleto e cadastro travou dua veze cadastro demor para respond consegui emitir boleto ma depoi apareceu erro em api depoi da atualizacao cadastro ficou mai simpl recebi erro enquanto tentava emitir boleto
Recebi erro enquanto tentava acompanhar pagamento. limite demorou para responder.,6,Suporte,recebi erro enquanto tentava acompanhar pagamento limit demor para respond
"O suporte pediu novamente as mesmas informações. Recebi erro enquanto tentava fazer transferência. Consegui fazer transferência, mas depois apareceu erro em extrato.",6,Serviços,o suport pediu novament as mesma informaco recebi erro enquanto tentava fazer transferencia consegui fazer transferencia ma depoi apareceu erro em extrato
"O carregamento dos relatórios demorou. Precisei repetir algumas etapas para concluir. Consegui atualizar cadastro, mas depois apareceu erro em login.",9,Serviços,o carregamento do relatorio demor precisei repetir alguma etapa para concluir consegui atualizar cadastro ma depoi apareceu erro em login
"Recebi erro enquanto tentava baixar relatório. Consegui baixar relatório, mas depois apareceu erro em notificações. Depois da atualização integração ficou mais simples. O atendimento resolveu rápido a solicitação. O suporte pediu novamente as mesmas informações. atendimnto",0,Suporte,recebi erro enquanto tentava baixar relatorio consegui baixar relatorio ma depoi apareceu erro em notificaco depoi da atualizacao integracao ficou mai simpl o atendimento resolveu rapido a solicitacao o suport pediu novament as mesma informaco atendimnto
O carregamento dos relatórios demorou. onboarding demorou para responder. Depois da atualização onboarding ficou mais simples. As notificações chegaram atrasadas. vcs qdo ploblema,2,Pós-venda,o carregamento do relatorio demor onboard demor para respond depoi da atualizacao onboard ficou mai simpl as notificaco chegaram atrasada vc qdo ploblema
As notificações chegaram atrasadas. Precisei repetir algumas etapas para concluir. O carregamento dos relatórios demorou. Tentei atualizar cadastro e cartão virtual travou duas vezes. O atendimento resolveu rápido a solicitação. O suporte pediu novamente as mesmas informações.,0,Suporte,as notificaco chegaram atrasada precisei repetir alguma etapa para concluir o carregamento do relatorio demor tentei atualizar cadastro e cartao virtual travou dua veze o atendimento resolveu rapido a solicitacao o suport pediu novament as mesma informaco
"O atendimento resolveu rápido a solicitação. As notificações chegaram atrasadas. Recebi erro enquanto tentava fazer transferência. relatórios demorou para responder. Precisei repetir algumas etapas para concluir. Consegui fazer transferência, mas depois apareceu erro em notificações.",1,Suporte,o atendimento resolveu rapido a solicitacao as notificaco chegaram atrasada recebi erro enquanto tentava fazer transferencia relatorio demor para respond precisei repetir alguma etapa para concluir consegui fazer transferencia ma depoi apareceu erro em notificaco
Precisei repetir algumas etapas para concluir. Tentei emitir boleto e usabilidade travou duas vezes. O suporte pediu novamente as mesmas informações. O atendimento resolveu rápido a solicitação. As notificações chegaram atrasadas.,0,Geral,precisei repetir alguma etapa para concluir tentei emitir boleto e usabilidad travou dua veze o suport pediu novament as mesma informaco o atendimento resolveu rapido a solicitacao as notificaco chegaram atrasada
O atendimento resolveu rápido a solicitação. O carregamento dos relatórios demorou. O suporte pediu novamente as mesmas informações. Recebi erro enquanto tentava fazer transferência. performance demorou para responder. bugou vcs,0,Suporte,o atendimento resolveu rapido a solicitacao o carregamento do relatorio demor o suport pediu novament as mesma informaco recebi erro enquanto tentava fazer transferencia perform demor para respond bugou vc
"Precisei repetir algumas etapas para concluir. Recebi erro enquanto tentava emitir boleto. Depois da atualização cartão virtual ficou mais simples. Consegui emitir boleto, mas depois apareceu erro em pagamentos.",0,Serviços,precisei repetir alguma etapa para concluir recebi erro enquanto tentava emitir boleto depoi da atualizacao cartao virtual ficou mai simpl consegui emitir boleto ma depoi apareceu erro em pagamento
"Recebi erro enquanto tentava emitir boleto. Consegui emitir boleto, mas depois apareceu erro em pagamentos. Tentei emitir boleto e API travou duas vezes. Depois da atualização API ficou mais simples. As notificações chegaram atrasadas. Precisei repetir algumas etapas para concluir. sitema msg",9,Suporte,recebi erro enquanto tentava emitir boleto consegui emitir boleto ma depoi apareceu erro em pagamento tentei emitir boleto e api travou dua veze depoi da atualizacao api ficou mai simpl as notificaco chegaram atrasada precisei repetir alguma etapa para concluir sitema msg
"O atendimento resolveu rápido a solicitação. Consegui consultar limite, mas depois apareceu erro em performance. As notificações chegaram atrasadas.",0,Suporte,o atendimento resolveu rapido a solicitacao consegui consultar limit ma depoi apareceu erro em perform as notificaco chegaram atrasada
"Consegui consultar saldo, mas depois apareceu erro em relatórios. O carregamento dos relatórios demorou. Tentei consultar saldo e dashboard travou duas vezes.",1,Suporte,consegui consultar saldo ma depoi apareceu erro em relatorio o carregamento do relatorio demor tentei consultar saldo e dashboard travou dua veze
Recebi erro enquanto tentava atualizar cadastro. O carregamento dos relatórios demorou. Depois da atualização integração ficou mais simples. Tentei atualizar cadastro e integração travou duas vezes. demoro ploblema,7,Suporte,recebi erro enquanto tentava atualizar cadastro o carregamento do relatorio demor depoi da atualizacao integracao ficou mai simpl tentei atualizar cadastro e integracao travou dua veze demoro ploblema
"Consegui acompanhar pagamento, mas depois apareceu erro em limite. chat demorou para responder. Tentei acompanhar pagamento e chat travou duas vezes. Precisei repetir algumas etapas para concluir. Depois da atualização chat ficou mais simples. Recebi erro enquanto tentava acompanhar pagamento.",3,Serviços,consegui acompanhar pagamento ma depoi apareceu erro em limit chat demor para respond tentei acompanhar pagamento e chat travou dua veze precisei repetir alguma etapa para concluir depoi da atualizacao chat ficou mai simpl recebi erro enquanto tentava acompanhar pagamento
"Recebi erro enquanto tentava consultar limite. Consegui consultar limite, mas depois apareceu erro em integração. O carregamento dos relatórios demorou. Depois da atualização login ficou mais simples.",0,Serviços,recebi erro enquanto tentava consultar limit consegui consultar limit ma depoi apareceu erro em integracao o carregamento do relatorio demor depoi da atualizacao login ficou mai simpl
As notificações chegaram atrasadas. O atendimento resolveu rápido a solicitação. Depois da atualização dashboard ficou mais simples. O carregamento dos relatórios demorou. Tentei acompanhar pagamento e dashboard travou duas vezes. O suporte pediu novamente as mesmas informações. travano,2,Suporte,as notificaco chegaram atrasada o atendimento resolveu rapido a solicitacao depoi da atualizacao dashboard ficou mai simpl o carregamento do relatorio demor tentei acompanhar pagamento e dashboard travou dua veze o suport pediu novament as mesma informaco travano
O suporte pediu novamente as mesmas informações. Precisei repetir algumas etapas para concluir. O atendimento resolveu rápido a solicitação.,1,Geral,o suport pediu novament as mesma informaco precisei repetir alguma etapa para concluir o atendimento resolveu rapido a solicitacao
pagamentos demorou para responder. Recebi erro enquanto tentava emitir boleto. Precisei repetir algumas etapas para concluir. platafroma atendimnto,5,Produto,pagamento demor para respond recebi erro enquanto tentava emitir boleto precisei repetir alguma etapa para concluir platafroma atendimnto
Depois da atualização integração ficou mais simples. O suporte pediu novamente as mesmas informações. Recebi erro enquanto tentava baixar relatório. Tentei baixar relatório e integração travou duas vezes. ploblema demoro qdo,8,Produto,depoi da atualizacao integracao ficou mai simpl o suport pediu novament as mesma informaco recebi erro enquanto tentava baixar relatorio tentei baixar relatorio e integracao travou dua veze ploblema demoro qdo
O carregamento dos relatórios demorou. Tentei integrar sistema e performance travou duas vezes. O suporte pediu novamente as mesmas informações. performance demorou para responder. Recebi erro enquanto tentava integrar sistema. platafroma naum,5,Suporte,o carregamento do relatorio demor tentei integrar sistema e perform travou dua veze o suport pediu novament as mesma informaco perform demor para respond recebi erro enquanto tentava integrar sistema platafroma naum
Normal.,3,Serviços,normal
"Consegui acompanhar pagamento, mas depois apareceu erro em onboarding. As notificações chegaram atrasadas. O atendimento resolveu rápido a solicitação.",2,Geral,consegui acompanhar pagamento ma depoi apareceu erro em onboard as notificaco chegaram atrasada o atendimento resolveu rapido a solicitacao
"Recebi erro enquanto tentava emitir boleto. Consegui emitir boleto, mas depois apareceu erro em onboarding.",1,Pós-venda,recebi erro enquanto tentava emitir boleto consegui emitir boleto ma depoi apareceu erro em onboard
Achei estranho.,2,Produto,achei estranho
Tudo certo.,7,Suporte,tudo certo
"O atendimento resolveu rápido a solicitação. Consegui consultar limite, mas depois apareceu erro em cadastro. cartão virtual demorou para responder. msg qdo",6,Geral,o atendimento resolveu rapido a solicitacao consegui consultar limit ma depoi apareceu erro em cadastro cartao virtual demor para respond msg qdo
"Depois da atualização pagamentos ficou mais simples. Tentei consultar limite e pagamentos travou duas vezes. Recebi erro enquanto tentava consultar limite. pagamentos demorou para responder. Consegui consultar limite, mas depois apareceu erro em limite. Precisei repetir algumas etapas para concluir.",9,Serviços,depoi da atualizacao pagamento ficou mai simpl tentei consultar limit e pagamento travou dua veze recebi erro enquanto tentava consultar limit pagamento demor para respond consegui consultar limit ma depoi apareceu erro em limit precisei repetir alguma etapa para concluir
O atendimento resolveu rápido a solicitação. Depois da atualização integração ficou mais simples. O carregamento dos relatórios demorou. integração demorou para responder. O suporte pediu novamente as mesmas informações.,8,Serviços,o atendimento resolveu rapido a solicitacao depoi da atualizacao integracao ficou mai simpl o carregamento do relatorio demor integracao demor para respond o suport pediu novament as mesma informaco
Nada a declarar.,2,Produto,nada a declarar
Sem opinião.,4,Suporte,sem opiniao
O suporte pediu novamente as mesmas informações. O carregamento dos relatórios demorou. Tentei acompanhar pagamento e API travou duas vezes.,9,Produto,o suport pediu novament as mesma informaco o carregamento do relatorio demor tentei acompanhar pagamento e api travou dua veze
"integração demorou para responder. Consegui integrar sistema, mas depois apareceu erro em cartão virtual. O atendimento resolveu rápido a solicitação.",9,Pós-venda,integracao demor para respond consegui integrar sistema ma depoi apareceu erro em cartao virtual o atendimento resolveu rapido a solicitacao
Achei estranho.,9,Serviços,achei estranho
O suporte pediu novamente as mesmas informações. notificações demorou para responder. Depois da atualização notificações ficou mais simples. Tentei baixar relatório e notificações travou duas vezes. As notificações chegaram atrasadas. O atendimento resolveu rápido a solicitação. qdo,9,Pós-venda,o suport pediu novament as mesma informaco notificaco demor para respond depoi da atualizacao notificaco ficou mai simpl tentei baixar relatorio e notificaco travou dua veze as notificaco chegaram atrasada o atendimento resolveu rapido a solicitacao qdo
chat demorou para responder. O atendimento resolveu rápido a solicitação. Tentei fazer transferência e chat travou duas vezes. Depois da atualização chat ficou mais simples. msg vcs naum,0,Produto,chat demor para respond o atendimento resolveu rapido a solicitacao tentei fazer transferencia e chat travou dua veze depoi da atualizacao chat ficou mai simpl msg vc naum
O suporte pediu novamente as mesmas informações. O atendimento resolveu rápido a solicitação. cadastro demorou para responder. Recebi erro enquanto tentava emitir boleto.,1,Geral,o suport pediu novament as mesma informaco o atendimento resolveu rapido a solicitacao cadastro demor para respond recebi erro enquanto tentava emitir boleto
"Precisei repetir algumas etapas para concluir. O atendimento resolveu rápido a solicitação. Consegui fazer transferência, mas depois apareceu erro em extrato. O carregamento dos relatórios demorou. O suporte pediu novamente as mesmas informações. Recebi erro enquanto tentava fazer transferência. bugou ploblema msg",10,Produto,precisei repetir alguma etapa para concluir o atendimento resolveu rapido a solicitacao consegui fazer transferencia ma depoi apareceu erro em extrato o carregamento do relatorio demor o suport pediu novament as mesma informaco recebi erro enquanto tentava fazer transferencia bugou ploblema msg
"Precisei repetir algumas etapas para concluir. O atendimento resolveu rápido a solicitação. Consegui consultar saldo, mas depois apareceu erro em cartão virtual.",0,Suporte,precisei repetir alguma etapa para concluir o atendimento resolveu rapido a solicitacao consegui consultar saldo ma depoi apareceu erro em cartao virtual
O atendimento resolveu rápido a solicitação. performance demorou para responder. Recebi erro enquanto tentava acompanhar pagamento. As notificações chegaram atrasadas.,7,Suporte,o atendimento resolveu rapido a solicitacao perform demor para respond recebi erro enquanto tentava acompanhar pagamento as notificaco chegaram atrasada
O atendimento resolveu rápido a solicitação. O suporte pediu novamente as mesmas informações.,5,Serviços,o atendimento resolveu rapido a solicitacao o suport pediu novament as mesma informaco
"Depois da atualização performance ficou mais simples. As notificações chegaram atrasadas. O atendimento resolveu rápido a solicitação. O suporte pediu novamente as mesmas informações. Consegui fazer transferência, mas depois apareceu erro em cartão virtual. demoro travano",0,Serviços,depoi da atualizacao perform ficou mai simpl as notificaco chegaram atrasada o atendimento resolveu rapido a solicitacao o suport pediu novament as mesma informaco consegui fazer transferencia ma depoi apareceu erro em cartao virtual demoro travano
Tentei consultar saldo e dashboard travou duas vezes. O atendimento resolveu rápido a solicitação. O suporte pediu novamente as mesmas informações. Precisei repetir algumas etapas para concluir. sitema,3,Serviços,tentei consultar saldo e dashboard travou dua veze o atendimento resolveu rapido a solicitacao o suport pediu novament as mesma informaco precisei repetir alguma etapa para concluir sitema
"Precisei repetir algumas etapas para concluir. Depois da atualização usabilidade ficou mais simples. Tentei integrar sistema e usabilidade travou duas vezes. Consegui integrar sistema, mas depois apareceu erro em dashboard. O atendimento resolveu rápido a solicitação. Recebi erro enquanto tentava integrar sistema.",1,Suporte,precisei repetir alguma etapa para concluir depoi da atualizacao usabilidad ficou mai simpl tentei integrar sistema e usabilidad travou dua veze consegui integrar sistema ma depoi apareceu erro em dashboard o atendimento resolveu rapido a solicitacao recebi erro enquanto tentava integrar sistema
O carregamento dos relatórios demorou. O suporte pediu novamente as mesmas informações. Precisei repetir algumas etapas para concluir. notificações demorou para responder. Recebi erro enquanto tentava consultar limite. Tentei consultar limite e notificações travou duas vezes. naum platafroma msg,0,Produto,o carregamento do relatorio demor o suport pediu novament as mesma informaco precisei repetir alguma etapa para concluir notificaco demor para respond recebi erro enquanto tentava consultar limit tentei consultar limit e notificaco travou dua veze naum platafroma msg
"Recebi erro enquanto tentava baixar relatório. Tentei baixar relatório e pagamentos travou duas vezes. Consegui baixar relatório, mas depois apareceu erro em onboarding. vcs platafroma",0,Suporte,recebi erro enquanto tentava baixar relatorio tentei baixar relatorio e pagamento travou dua veze consegui baixar relatorio ma depoi apareceu erro em onboard vc platafroma
