comentario,nota,responsavel,comentario_stem_snowball
"Tentei fazer transferência e dashboard travou duas vezes. Precisei repetir algumas etapas para concluir. Consegui fazer transferência, mas depois apareceu erro em usabilidade. As notificações chegaram atrasadas. O carregamento dos relatórios demorou.",0,Produto,tent faz transferenc e dashboard trav duas vez precis repet algum etap par conclu consegu faz transferenc mas depo aparec erro em usabil as notificaco cheg atras o carreg dos relatori demor
chat demorou para responder. Depois da atualização chat ficou mais simples. Recebi erro enquanto tentava consultar saldo. Precisei repetir algumas etapas para concluir. O atendimento resolveu rápido a solicitação. probelma,6,Suporte,chat demor par respond depo da atualizaca chat fic mais simpl receb erro enquant tent consult sald precis repet algum etap par conclu o atend resolv rap a solicitaca probelm
"Precisei repetir algumas etapas para concluir. Recebi erro enquanto tentava fazer transferência. Depois da atualização onboarding ficou mais simples. O atendimento resolveu rápido a solicitação. Consegui fazer transferência, mas depois apareceu erro em cartão virtual.",5,Suporte,precis repet algum etap par conclu receb erro enquant tent faz transferenc depo da atualizaca onboarding fic mais simpl o atend resolv rap a solicitaca consegu faz transferenc mas depo aparec erro em carta virtual
"Tentei atualizar cadastro e relatórios travou duas vezes. Recebi erro enquanto tentava atualizar cadastro. Consegui atualizar cadastro, mas depois apareceu erro em onboarding. relatórios demorou para responder.",2,Produto,tent atualiz cadastr e relatori trav duas vez receb erro enquant tent atualiz cadastr consegu atualiz cadastr mas depo aparec erro em onboarding relatori demor par respond
"Consegui integrar sistema, mas depois apareceu erro em notificações. Depois da atualização integração ficou mais simples. integração demorou para responder. Precisei repetir algumas etapas para concluir. travano",8,Suporte,consegu integr sistem mas depo aparec erro em notificaco depo da atualizaca integraca fic mais simpl integraca demor par respond precis repet algum etap par conclu travan
Achei estranho.,1,Produto,ache estranh
Precisei repetir algumas etapas para concluir. Recebi erro enquanto tentava integrar sistema. O suporte pediu novamente as mesmas informações. login demorou para responder. Depois da atualização login ficou mais simples. O carregamento dos relatórios demorou.,0,Produto,precis repet algum etap par conclu receb erro enquant tent integr sistem o suport ped nov as mesm informaco login demor par respond depo da atualizaca login fic mais simpl o carreg dos relatori demor
Precisei repetir algumas etapas para concluir. As notificações chegaram atrasadas. O carregamento dos relatórios demorou. Depois da atualização chat ficou mais simples. O atendimento resolveu rápido a solicitação. travano demoro bugou,7,Serviços,precis repet algum etap par conclu as notificaco cheg atras o carreg dos relatori demor depo da atualizaca chat fic mais simpl o atend resolv rap a solicitaca travan demor bug
"O suporte pediu novamente as mesmas informações. onboarding demorou para responder. O atendimento resolveu rápido a solicitação. Precisei repetir algumas etapas para concluir. Consegui emitir boleto, mas depois apareceu erro em limite. As notificações chegaram atrasadas. demoro vcs",10,Serviços,o suport ped nov as mesm informaco onboarding demor par respond o atend resolv rap a solicitaca precis repet algum etap par conclu consegu emit bolet mas depo aparec erro em limit as notificaco cheg atras demor vcs
"Consegui acompanhar pagamento, mas depois apareceu erro em usabilidade. Recebi erro enquanto tentava acompanhar pagamento. chat demorou para responder.",8,Suporte,consegu acompanh pagament mas depo aparec erro em usabil receb erro enquant tent acompanh pagament chat demor par respond
"Precisei repetir algumas etapas para concluir. O carregamento dos relatórios demorou. Tentei consultar limite e API travou duas vezes. Consegui consultar limite, mas depois apareceu erro em integração. O suporte pediu novamente as mesmas informações.",3,Geral,precis repet algum etap par conclu o carreg dos relatori demor tent consult limit e api trav duas vez consegu consult limit mas depo aparec erro em integraca o suport ped nov as mesm informaco
Tentei baixar relatório e cadastro travou duas vezes. Depois da atualização cadastro ficou mais simples. cadastro demorou para responder. O atendimento resolveu rápido a solicitação. Recebi erro enquanto tentava baixar relatório. probelma naum demoro,7,Pós-venda,tent baix relatori e cadastr trav duas vez depo da atualizaca cadastr fic mais simpl cadastr demor par respond o atend resolv rap a solicitaca receb erro enquant tent baix relatori probelm naum demor
usabilidade demorou para responder. O carregamento dos relatórios demorou. Tentei acompanhar pagamento e usabilidade travou duas vezes. As notificações chegaram atrasadas. Precisei repetir algumas etapas para concluir. Depois da atualização usabilidade ficou mais simples.,10,Suporte,usabil demor par respond o carreg dos relatori demor tent acompanh pagament e usabil trav duas vez as notificaco cheg atras precis repet algum etap par conclu depo da atualizaca usabil fic mais simpl
"Tentei consultar limite e API travou duas vezes. O carregamento dos relatórios demorou. API demorou para responder. Consegui consultar limite, mas depois apareceu erro em performance.",10,Pós-venda,tent consult limit e api trav duas vez o carreg dos relatori demor api demor par respond consegu consult limit mas depo aparec erro em performanc
"As notificações chegaram atrasadas. Precisei repetir algumas etapas para concluir. O atendimento resolveu rápido a solicitação. Consegui emitir boleto, mas depois apareceu erro em pagamentos. Depois da atualização cadastro ficou mais simples. Tentei emitir boleto e cadastro travou duas vezes.",10,Produto,as notificaco cheg atras precis repet algum etap par conclu o atend resolv rap a solicitaca consegu emit bolet mas depo aparec erro em pagament depo da atualizaca cadastr fic mais simpl tent emit bolet e cadastr trav duas vez
O carregamento dos relatórios demorou. O atendimento resolveu rápido a solicitação. Precisei repetir algumas etapas para concluir.,8,Suporte,o carreg dos relatori demor o atend resolv rap a solicitaca precis repet algum etap par conclu
"integração demorou para responder. Consegui consultar limite, mas depois apareceu erro em pagamentos. O suporte pediu novamente as mesmas informações. As notificações chegaram atrasadas. Depois da atualização integração ficou mais simples. Precisei repetir algumas etapas para concluir.",4,Serviços,integraca demor par respond consegu consult limit mas depo aparec erro em pagament o suport ped nov as mesm informaco as notificaco cheg atras depo da atualizaca integraca fic mais simpl precis repet algum etap par conclu
Tentei acompanhar pagamento e API travou duas vezes. O carregamento dos relatórios demorou.,0,Suporte,tent acompanh pagament e api trav duas vez o carreg dos relatori demor
Ok.,6,Produto,ok
"O atendimento resolveu rápido a solicitação. Tentei acompanhar pagamento e dashboard travou duas vezes. O carregamento dos relatórios demorou. Depois da atualização dashboard ficou mais simples. Consegui acompanhar pagamento, mas depois apareceu erro em usabilidade. O suporte pediu novamente as mesmas informações. ploblema vcs bugou",6,Suporte,o atend resolv rap a solicitaca tent acompanh pagament e dashboard trav duas vez o carreg dos relatori demor depo da atualizaca dashboard fic mais simpl consegu acompanh pagament mas depo aparec erro em usabil o suport ped nov as mesm informaco ploblem vcs bug
"extrato demorou para responder. O carregamento dos relatórios demorou. Consegui baixar relatório, mas depois apareceu erro em login. As notificações chegaram atrasadas. O suporte pediu novamente as mesmas informações.",1,Serviços,extrat demor par respond o carreg dos relatori demor consegu baix relatori mas depo aparec erro em login as notificaco cheg atras o suport ped nov as mesm informaco
"O suporte pediu novamente as mesmas informações. Tentei acompanhar pagamento e performance travou duas vezes. Depois da atualização performance ficou mais simples. Consegui acompanhar pagamento, mas depois apareceu erro em extrato.",10,Serviços,o suport ped nov as mesm informaco tent acompanh pagament e performanc trav duas vez depo da atualizaca performanc fic mais simpl consegu acompanh pagament mas depo aparec erro em extrat
Sem opinião.,2,Suporte,sem opinia
"cartão virtual demorou para responder. O atendimento resolveu rápido a solicitação. Tentei fazer transferência e cartão virtual travou duas vezes. O suporte pediu novamente as mesmas informações. Depois da atualização cartão virtual ficou mais simples. Consegui fazer transferência, mas depois apareceu erro em cadastro.",6,Geral,carta virtual demor par respond o atend resolv rap a solicitaca tent faz transferenc e carta virtual trav duas vez o suport ped nov as mesm informaco depo da atualizaca carta virtual fic mais simpl consegu faz transferenc mas depo aparec erro em cadastr
Tentei emitir boleto e API travou duas vezes. As notificações chegaram atrasadas. O suporte pediu novamente as mesmas informações. Precisei repetir algumas etapas para concluir.,6,Geral,tent emit bolet e api trav duas vez as notificaco cheg atras o suport ped nov as mesm informaco precis repet algum etap par conclu
"usabilidade demorou para responder. Consegui integrar sistema, mas depois apareceu erro em API. O atendimento resolveu rápido a solicitação. O carregamento dos relatórios demorou. vcs platafroma qdo",7,Suporte,usabil demor par respond consegu integr sistem mas depo aparec erro em api o atend resolv rap a solicitaca o carreg dos relatori demor vcs platafrom qdo
As notificações chegaram atrasadas. Recebi erro enquanto tentava fazer transferência. probelma naum,2,Suporte,as notificaco cheg atras receb erro enquant tent faz transferenc probelm naum
"Recebi erro enquanto tentava integrar sistema. Consegui integrar sistema, mas depois apareceu erro em relatórios. O carregamento dos relatórios demorou. Depois da atualização limite ficou mais simples. Tentei integrar sistema e limite travou duas vezes.",5,Pós-venda,receb erro enquant tent integr sistem consegu integr sistem mas depo aparec erro em relatori o carreg dos relatori demor depo da atualizaca limit fic mais simpl tent integr sistem e limit trav duas vez
"O atendimento resolveu rápido a solicitação. Tentei fazer transferência e login travou duas vezes. login demorou para responder. As notificações chegaram atrasadas. Consegui fazer transferência, mas depois apareceu erro em performance. Depois da atualização login ficou mais simples.",4,Produto,o atend resolv rap a solicitaca tent faz transferenc e login trav duas vez login demor par respond as notificaco cheg atras consegu faz transferenc mas depo aparec erro em performanc depo da atualizaca login fic mais simpl
"Consegui acompanhar pagamento, mas depois apareceu erro em login. O suporte pediu novamente as mesmas informações. Recebi erro enquanto tentava acompanhar pagamento. Precisei repetir algumas etapas para concluir. As notificações chegaram atrasadas.",1,Pós-venda,consegu acompanh pagament mas depo aparec erro em login o suport ped nov as mesm informaco receb erro enquant tent acompanh pagament precis repet algum etap par conclu as notificaco cheg atras
Recebi erro enquanto tentava fazer transferência. Tentei fazer transferência e limite travou duas vezes. limite demorou para responder.,7,Pós-venda,receb erro enquant tent faz transferenc tent faz transferenc e limit trav duas vez limit demor par respond
O carregamento dos relatórios demorou. As notificações chegaram atrasadas. API demorou para responder. O suporte pediu novamente as mesmas informações.,9,Geral,o carreg dos relatori demor as notificaco cheg atras api demor par respond o suport ped nov as mesm informaco
"As notificações chegaram atrasadas. Consegui baixar relatório, mas depois apareceu erro em chat. O carregamento dos relatórios demorou.",7,Serviços,as notificaco cheg atras consegu baix relatori mas depo aparec erro em chat o carreg dos relatori demor
"Consegui consultar saldo, mas depois apareceu erro em cartão virtual. Depois da atualização extrato ficou mais simples. Tentei consultar saldo e extrato travou duas vezes. Precisei repetir algumas etapas para concluir.",2,Geral,consegu consult sald mas depo aparec erro em carta virtual depo da atualizaca extrat fic mais simpl tent consult sald e extrat trav duas vez precis repet algum etap par conclu
"Tentei baixar relatório e cadastro travou duas vezes. As notificações chegaram atrasadas. Depois da atualização cadastro ficou mais simples. Recebi erro enquanto tentava baixar relatório. Consegui baixar relatório, mas depois apareceu erro em dashboard.",10,Serviços,tent baix relatori e cadastr trav duas vez as notificaco cheg atras depo da atualizaca cadastr fic mais simpl receb erro enquant tent baix relatori consegu baix relatori mas depo aparec erro em dashboard
login demorou para responder. Precisei repetir algumas etapas para concluir. atendimnto travano,0,Geral,login demor par respond precis repet algum etap par conclu atendimnt travan
O carregamento dos relatórios demorou. Depois da atualização cadastro ficou mais simples. Recebi erro enquanto tentava consultar saldo. O atendimento resolveu rápido a solicitação. msg vcs naum,6,Suporte,o carreg dos relatori demor depo da atualizaca cadastr fic mais simpl receb erro enquant tent consult sald o atend resolv rap a solicitaca msg vcs naum
Sem comentários.,2,Serviços,sem comentari
"Precisei repetir algumas etapas para concluir. O carregamento dos relatórios demorou. O suporte pediu novamente as mesmas informações. Recebi erro enquanto tentava consultar saldo. Consegui consultar saldo, mas depois apareceu erro em chat. Depois da atualização integração ficou mais simples.",6,Produto,precis repet algum etap par conclu o carreg dos relatori demor o suport ped nov as mesm informaco receb erro enquant tent consult sald consegu consult sald mas depo aparec erro em chat depo da atualizaca integraca fic mais simpl
"Tentei consultar saldo e API travou duas vezes. Consegui consultar saldo, mas depois apareceu erro em usabilidade. As notificações chegaram atrasadas. O atendimento resolveu rápido a solicitação.",8,Suporte,tent consult sald e api trav duas vez consegu consult sald mas depo aparec erro em usabil as notificaco cheg atras o atend resolv rap a solicitaca
O atendimento resolveu rápido a solicitação. O carregamento dos relatórios demorou. Recebi erro enquanto tentava atualizar cadastro. Precisei repetir algumas etapas para concluir. Tentei atualizar cadastro e cadastro travou duas vezes. cadastro demorou para responder. naum bugou platafroma,8,Serviços,o atend resolv rap a solicitaca o carreg dos relatori demor receb erro enquant tent atualiz cadastr precis repet algum etap par conclu tent atualiz cadastr e cadastr trav duas vez cadastr demor par respond naum bug platafrom
"Consegui integrar sistema, mas depois apareceu erro em dashboard. O carregamento dos relatórios demorou. As notificações chegaram atrasadas.",0,Pós-venda,consegu integr sistem mas depo aparec erro em dashboard o carreg dos relatori demor as notificaco cheg atras
Depois da atualização cadastro ficou mais simples. O suporte pediu novamente as mesmas informações. As notificações chegaram atrasadas. Precisei repetir algumas etapas para concluir. Tentei consultar saldo e cadastro travou duas vezes. O carregamento dos relatórios demorou. travano platafroma bugou,8,Produto,depo da atualizaca cadastr fic mais simpl o suport ped nov as mesm informaco as notificaco cheg atras precis repet algum etap par conclu tent consult sald e cadastr trav duas vez o carreg dos relatori demor travan platafrom bug
Depois da atualização API ficou mais simples. API demorou para responder. O carregamento dos relatórios demorou. Precisei repetir algumas etapas para concluir. O suporte pediu novamente as mesmas informações. O atendimento resolveu rápido a solicitação. qdo travano naum,7,Serviços,depo da atualizaca api fic mais simpl api demor par respond o carreg dos relatori demor precis repet algum etap par conclu o suport ped nov as mesm informaco o atend resolv rap a solicitaca qdo travan naum
Sem comentários.,8,Suporte,sem comentari
As notificações chegaram atrasadas. Precisei repetir algumas etapas para concluir. O atendimento resolveu rápido a solicitação. Depois da atualização performance ficou mais simples.,3,Serviços,as notificaco cheg atras precis repet algum etap par conclu o atend resolv rap a solicitaca depo da atualizaca performanc fic mais simpl
O atendimento resolveu rápido a solicitação. O suporte pediu novamente as mesmas informações. O carregamento dos relatórios demorou. Recebi erro enquanto tentava fazer transferência.,10,Suporte,o atend resolv rap a solicitaca o suport ped nov as mesm informaco o carreg dos relatori demor receb erro enquant tent faz transferenc
"Consegui atualizar cadastro, mas depois apareceu erro em extrato. API demorou para responder. O suporte pediu novamente as mesmas informações.",9,Produto,consegu atualiz cadastr mas depo aparec erro em extrat api demor par respond o suport ped nov as mesm informaco
As notificações chegaram atrasadas. notificações demorou para responder. O suporte pediu novamente as mesmas informações. Tentei emitir boleto e notificações travou duas vezes.,3,Geral,as notificaco cheg atras notificaco demor par respond o suport ped nov as mesm informaco tent emit bolet e notificaco trav duas vez
O atendimento resolveu rápido a solicitação. As notificações chegaram atrasadas. extrato demorou para responder.,2,Geral,o atend resolv rap a solicitaca as notificaco cheg atras extrat demor par respond
Precisei repetir algumas etapas para concluir. O atendimento resolveu rápido a solicitação. Recebi erro enquanto tentava integrar sistema. Depois da atualização performance ficou mais simples. O suporte pediu novamente as mesmas informações. Tentei integrar sistema e performance travou duas vezes.,9,Suporte,precis repet algum etap par conclu o atend resolv rap a solicitaca receb erro enquant tent integr sistem depo da atualizaca performanc fic mais simpl o suport ped nov as mesm informaco tent integr sistem e performanc trav duas vez
Sem opinião.,5,Produto,sem opinia
O atendimento resolveu rápido a solicitação. Depois da atualização relatórios ficou mais simples. O suporte pediu novamente as mesmas informações. As notificações chegaram atrasadas. relatórios demorou para responder. Recebi erro enquanto tentava consultar saldo. travano demoro,6,Produto,o atend resolv rap a solicitaca depo da atualizaca relatori fic mais simpl o suport ped nov as mesm informaco as notificaco cheg atras relatori demor par respond receb erro enquant tent consult sald travan demor
Depois da atualização onboarding ficou mais simples. Precisei repetir algumas etapas para concluir. naum,10,Suporte,depo da atualizaca onboarding fic mais simpl precis repet algum etap par conclu naum
"O atendimento resolveu rápido a solicitação. Consegui consultar saldo, mas depois apareceu erro em integração. atendimnto",5,Geral,o atend resolv rap a solicitaca consegu consult sald mas depo aparec erro em integraca atendimnt
"extrato demorou para responder. O atendimento resolveu rápido a solicitação. Consegui emitir boleto, mas depois apareceu erro em notificações.",1,Suporte,extrat demor par respond o atend resolv rap a solicitaca consegu emit bolet mas depo aparec erro em notificaco
Tudo certo.,8,Produto,tud cert
Regular.,5,Produto,regul
Recebi erro enquanto tentava emitir boleto. Tentei emitir boleto e cadastro travou duas vezes. O atendimento resolveu rápido a solicitação. Precisei repetir algumas etapas para concluir.,2,Pós-venda,receb erro enquant tent emit bolet tent emit bolet e cadastr trav duas vez o atend resolv rap a solicitaca precis repet algum etap par conclu
relatórios demorou para responder. Depois da atualização relatórios ficou mais simples. Tentei consultar saldo e relatórios travou duas vezes. Precisei repetir algumas etapas para concluir. As notificações chegaram atrasadas. Recebi erro enquanto tentava consultar saldo. naum bugou atendimnto,1,Serviços,relatori demor par respond depo da atualizaca relatori fic mais simpl tent consult sald e relatori trav duas vez precis repet algum etap par conclu as notificaco cheg atras receb erro enquant tent consult sald naum bug atendimnt
"Tentei consultar limite e relatórios travou duas vezes. O atendimento resolveu rápido a solicitação. As notificações chegaram atrasadas. Depois da atualização relatórios ficou mais simples. Consegui consultar limite, mas depois apareceu erro em integração.",2,Produto,tent consult limit e relatori trav duas vez o atend resolv rap a solicitaca as notificaco cheg atras depo da atualizaca relatori fic mais simpl consegu consult limit mas depo aparec erro em integraca
O carregamento dos relatórios demorou. O atendimento resolveu rápido a solicitação. As notificações chegaram atrasadas. performance demorou para responder.,2,Suporte,o carreg dos relatori demor o atend resolv rap a solicitaca as notificaco cheg atras performanc demor par respond
Recebi erro enquanto tentava atualizar cadastro. Precisei repetir algumas etapas para concluir. As notificações chegaram atrasadas. relatórios demorou para responder. Tentei atualizar cadastro e relatórios travou duas vezes. O carregamento dos relatórios demorou.,9,Suporte,receb erro enquant tent atualiz cadastr precis repet algum etap par conclu as notificaco cheg atras relatori demor par respond tent atualiz cadastr e relatori trav duas vez o carreg dos relatori demor
Regular.,0,Suporte,regul
usabilidade demorou para responder. Recebi erro enquanto tentava emitir boleto. O atendimento resolveu rápido a solicitação.,3,Produto,usabil demor par respond receb erro enquant tent emit bolet o atend resolv rap a solicitaca
O carregamento dos relatórios demorou. limite demorou para responder. Recebi erro enquanto tentava acompanhar pagamento. Precisei repetir algumas etapas para concluir. As notificações chegaram atrasadas. naum demoro sitema,0,Suporte,o carreg dos relatori demor limit demor par respond receb erro enquant tent acompanh pagament precis repet algum etap par conclu as notificaco cheg atras naum demor sitem
As notificações chegaram atrasadas. Depois da atualização limite ficou mais simples. O carregamento dos relatórios demorou.,9,Produto,as notificaco cheg atras depo da atualizaca limit fic mais simpl o carreg dos relatori demor
login demorou para responder. O atendimento resolveu rápido a solicitação. O suporte pediu novamente as mesmas informações. Recebi erro enquanto tentava integrar sistema. Tentei integrar sistema e login travou duas vezes. Depois da atualização login ficou mais simples. bugou,6,Suporte,login demor par respond o atend resolv rap a solicitaca o suport ped nov as mesm informaco receb erro enquant tent integr sistem tent integr sistem e login trav duas vez depo da atualizaca login fic mais simpl bug
"Consegui emitir boleto, mas depois apareceu erro em onboarding. notificações demorou para responder. Tentei emitir boleto e notificações travou duas vezes.",1,Produto,consegu emit bolet mas depo aparec erro em onboarding notificaco demor par respond tent emit bolet e notificaco trav duas vez
O suporte pediu novamente as mesmas informações. Depois da atualização login ficou mais simples. login demorou para responder. Recebi erro enquanto tentava acompanhar pagamento. O atendimento resolveu rápido a solicitação.,0,Serviços,o suport ped nov as mesm informaco depo da atualizaca login fic mais simpl login demor par respond receb erro enquant tent acompanh pagament o atend resolv rap a solicitaca
"limite demorou para responder. Precisei repetir algumas etapas para concluir. O atendimento resolveu rápido a solicitação. Consegui emitir boleto, mas depois apareceu erro em cartão virtual. As notificações chegaram atrasadas. atendimnto naum ploblema",8,Produto,limit demor par respond precis repet algum etap par conclu o atend resolv rap a solicitaca consegu emit bolet mas depo aparec erro em carta virtual as notificaco cheg atras atendimnt naum ploblem
Precisei repetir algumas etapas para concluir. Recebi erro enquanto tentava integrar sistema. Depois da atualização chat ficou mais simples. naum probelma vcs,6,Produto,precis repet algum etap par conclu receb erro enquant tent integr sistem depo da atualizaca chat fic mais simpl naum probelm vcs
performance demorou para responder. Recebi erro enquanto tentava emitir boleto. Depois da atualização performance ficou mais simples. O atendimento resolveu rápido a solicitação. O carregamento dos relatórios demorou. bugou probelma demoro,8,Produto,performanc demor par respond receb erro enquant tent emit bolet depo da atualizaca performanc fic mais simpl o atend resolv rap a solicitaca o carreg dos relatori demor bug probelm demor
"usabilidade demorou para responder. Precisei repetir algumas etapas para concluir. Consegui integrar sistema, mas depois apareceu erro em login.",2,Serviços,usabil demor par respond precis repet algum etap par conclu consegu integr sistem mas depo aparec erro em login
"Consegui emitir boleto, mas depois apareceu erro em extrato. O carregamento dos relatórios demorou. integração demorou para responder. Recebi erro enquanto tentava emitir boleto.",1,Geral,consegu emit bolet mas depo aparec erro em extrat o carreg dos relatori demor integraca demor par respond receb erro enquant tent emit bolet
"O carregamento dos relatórios demorou. O suporte pediu novamente as mesmas informações. Precisei repetir algumas etapas para concluir. Consegui acompanhar pagamento, mas depois apareceu erro em integração. travano platafroma bugou",5,Produto,o carreg dos relatori demor o suport ped nov as mesm informaco precis repet algum etap par conclu consegu acompanh pagament mas depo aparec erro em integraca travan platafrom bug
O suporte pediu novamente as mesmas informações. Depois da atualização login ficou mais simples. Recebi erro enquanto tentava integrar sistema. O carregamento dos relatórios demorou.,6,Suporte,o suport ped nov as mesm informaco depo da atualizaca login fic mais simpl receb erro enquant tent integr sistem o carreg dos relatori demor
Recebi erro enquanto tentava fazer transferência. API demorou para responder. Tentei fazer transferência e API travou duas vezes. O carregamento dos relatórios demorou. Precisei repetir algumas etapas para concluir.,9,Serviços,receb erro enquant tent faz transferenc api demor par respond tent faz transferenc e api trav duas vez o carreg dos relatori demor precis repet algum etap par conclu
"O atendimento resolveu rápido a solicitação. performance demorou para responder. Consegui acompanhar pagamento, mas depois apareceu erro em dashboard. Recebi erro enquanto tentava acompanhar pagamento. As notificações chegaram atrasadas. vcs msg atendimnto",8,Serviços,o atend resolv rap a solicitaca performanc demor par respond consegu acompanh pagament mas depo aparec erro em dashboard receb erro enquant tent acompanh pagament as notificaco cheg atras vcs msg atendimnt
O carregamento dos relatórios demorou. Depois da atualização API ficou mais simples. Precisei repetir algumas etapas para concluir. O suporte pediu novamente as mesmas informações.,0,Produto,o carreg dos relatori demor depo da atualizaca api fic mais simpl precis repet algum etap par conclu o suport ped nov as mesm informaco
"O atendimento resolveu rápido a solicitação. notificações demorou para responder. Consegui integrar sistema, mas depois apareceu erro em performance. Precisei repetir algumas etapas para concluir. O suporte pediu novamente as mesmas informações. Depois da atualização notificações ficou mais simples.",7,Geral,o atend resolv rap a solicitaca notificaco demor par respond consegu integr sistem mas depo aparec erro em performanc precis repet algum etap par conclu o suport ped nov as mesm informaco depo da atualizaca notificaco fic mais simpl
"Recebi erro enquanto tentava acompanhar pagamento. O atendimento resolveu rápido a solicitação. Precisei repetir algumas etapas para concluir. Consegui acompanhar pagamento, mas depois apareceu erro em usabilidade. Tentei acompanhar pagamento e pagamentos travou duas vezes. probelma",0,Geral,receb erro enquant tent acompanh pagament o atend resolv rap a solicitaca precis repet algum etap par conclu consegu acompanh pagament mas depo aparec erro em usabil tent acompanh pagament e pagament trav duas vez probelm
Precisei repetir algumas etapas para concluir. onboarding demorou para responder. O atendimento resolveu rápido a solicitação.,9,Geral,precis repet algum etap par conclu onboarding demor par respond o atend resolv rap a solicitaca
"Precisei repetir algumas etapas para concluir. Consegui acompanhar pagamento, mas depois apareceu erro em onboarding.",3,Suporte,precis repet algum etap par conclu consegu acompanh pagament mas depo aparec erro em onboarding
Sem opinião.,7,Produto,sem opinia
"Recebi erro enquanto tentava fazer transferência. Consegui fazer transferência, mas depois apareceu erro em cadastro. login demorou para responder. bugou platafroma sitema",1,Suporte,receb erro enquant tent faz transferenc consegu faz transferenc mas depo aparec erro em cadastr login demor par respond bug platafrom sitem
Recebi erro enquanto tentava emitir boleto. As notificações chegaram atrasadas.,10,Produto,receb erro enquant tent emit bolet as notificaco cheg atras
Ok.,2,Suporte,ok
"Consegui baixar relatório, mas depois apareceu erro em relatórios. Precisei repetir algumas etapas para concluir. Tentei baixar relatório e usabilidade travou duas vezes. sitema",5,Produto,consegu baix relatori mas depo aparec erro em relatori precis repet algum etap par conclu tent baix relatori e usabil trav duas vez sitem
O carregamento dos relatórios demorou. Recebi erro enquanto tentava baixar relatório. cadastro demorou para responder. As notificações chegaram atrasadas.,3,Produto,o carreg dos relatori demor receb erro enquant tent baix relatori cadastr demor par respond as notificaco cheg atras
integração demorou para responder. O atendimento resolveu rápido a solicitação. Tentei consultar limite e integração travou duas vezes. O suporte pediu novamente as mesmas informações. O carregamento dos relatórios demorou. Precisei repetir algumas etapas para concluir.,1,Suporte,integraca demor par respond o atend resolv rap a solicitaca tent consult limit e integraca trav duas vez o suport ped nov as mesm informaco o carreg dos relatori demor precis repet algum etap par conclu
O atendimento resolveu rápido a solicitação. As notificações chegaram atrasadas. Recebi erro enquanto tentava acompanhar pagamento. O carregamento dos relatórios demorou.,4,Suporte,o atend resolv rap a solicitaca as notificaco cheg atras receb erro enquant tent acompanh pagament o carreg dos relatori demor
Precisei repetir algumas etapas para concluir. Depois da atualização chat ficou mais simples. Tentei integrar sistema e chat travou duas vezes.,3,Serviços,precis repet algum etap par conclu depo da atualizaca chat fic mais simpl tent integr sistem e chat trav duas vez
"O carregamento dos relatórios demorou. O atendimento resolveu rápido a solicitação. Precisei repetir algumas etapas para concluir. Consegui consultar limite, mas depois apareceu erro em notificações. probelma",7,Suporte,o carreg dos relatori demor o atend resolv rap a solicitaca precis repet algum etap par conclu consegu consult limit mas depo aparec erro em notificaco probelm
usabilidade demorou para responder. Depois da atualização usabilidade ficou mais simples.,4,Geral,usabil demor par respond depo da atualizaca usabil fic mais simpl
"Tentei baixar relatório e limite travou duas vezes. limite demorou para responder. Precisei repetir algumas etapas para concluir. Consegui baixar relatório, mas depois apareceu erro em notificações.",5,Produto,tent baix relatori e limit trav duas vez limit demor par respond precis repet algum etap par conclu consegu baix relatori mas depo aparec erro em notificaco
chat demorou para responder. Precisei repetir algumas etapas para concluir. O suporte pediu novamente as mesmas informações.,6,Pós-venda,chat demor par respond precis repet algum etap par conclu o suport ped nov as mesm informaco
"Consegui fazer transferência, mas depois apareceu erro em onboarding. O suporte pediu novamente as mesmas informações. vcs",1,Pós-venda,consegu faz transferenc mas depo aparec erro em onboarding o suport ped nov as mesm informaco vcs
As notificações chegaram atrasadas. O suporte pediu novamente as mesmas informações. Recebi erro enquanto tentava baixar relatório. cartão virtual demorou para responder.,5,Suporte,as notificaco cheg atras o suport ped nov as mesm informaco receb erro enquant tent baix relatori carta virtual demor par respond
O suporte pediu novamente as mesmas informações. Depois da atualização cartão virtual ficou mais simples. Recebi erro enquanto tentava fazer transferência. platafroma sitema,5,Serviços,o suport ped nov as mesm informaco depo da atualizaca carta virtual fic mais simpl receb erro enquant tent faz transferenc platafrom sitem
"Consegui emitir boleto, mas depois apareceu erro em dashboard. Tentei emitir boleto e integração travou duas vezes.",0,Suporte,consegu emit bolet mas depo aparec erro em dashboard tent emit bolet e integraca trav duas vez
"Recebi erro enquanto tentava consultar limite. Depois da atualização dashboard ficou mais simples. dashboard demorou para responder. Consegui consultar limite, mas depois apareceu erro em limite.",6,Serviços,receb erro enquant tent consult limit depo da atualizaca dashboard fic mais simpl dashboard demor par respond consegu consult limit mas depo aparec erro em limit
Achei estranho.,8,Produto,ache estranh
Tentei emitir boleto e onboarding travou duas vezes. Depois da atualização onboarding ficou mais simples. Recebi erro enquanto tentava emitir boleto. O carregamento dos relatórios demorou.,2,Produto,tent emit bolet e onboarding trav duas vez depo da atualizaca onboarding fic mais simpl receb erro enquant tent emit bolet o carreg dos relatori demor
Recebi erro enquanto tentava acompanhar pagamento. Tentei acompanhar pagamento e limite travou duas vezes. O suporte pediu novamente as mesmas informações. limite demorou para responder.,1,Produto,receb erro enquant tent acompanh pagament tent acompanh pagament e limit trav duas vez o suport ped nov as mesm informaco limit demor par respond
