comentario,nota,responsavel,comentario_lemma
O carregamento dos relatórios demorou. Tentei integrar sistema e limite travou duas vezes. Recebi erro enquanto tentava integrar sistema. limite demorou para responder.,1,Suporte,o carregamento de o relatório demorar . Tentei integrar sistema e limite travar dois vez . Recebi erro enquanto tentar integrar sistema . limite demorar para responder .
O carregamento dos relatórios demorou. As notificações chegaram atrasadas. O suporte pediu novamente as mesmas informações.,7,Produto,o carregamento de o relatório demorar . o notificação chegar atrasado . o suporte pedir novamente o mesmo informação .
Tentei integrar sistema e integração travou duas vezes. Depois da atualização integração ficou mais simples. Recebi erro enquanto tentava integrar sistema. travano bugou vcs,1,Produto,Tentei integrar sistema e integração travar dois vez . depois de o atualização integração ficar mais simples . Recebi erro enquanto tentar integrar sistema . travano bugar vcs
"O atendimento resolveu rápido a solicitação. Consegui fazer transferência, mas depois apareceu erro em dashboard. sitema vcs probelma",6,Suporte,"o atendimento resolver rápido o solicitação . Consegui fazer transferência , mas depois aparecer erro em dashboard . sitema vcs probelmo"
"O atendimento resolveu rápido a solicitação. Depois da atualização performance ficou mais simples. As notificações chegaram atrasadas. Consegui atualizar cadastro, mas depois apareceu erro em integração. O suporte pediu novamente as mesmas informações. vcs bugou",7,Geral,"o atendimento resolver rápido o solicitação . depois de o atualização performance ficar mais simples . o notificação chegar atrasado . Consegui atualizar cadastro , mas depois aparecer erro em integração . o suporte pedir novamente o mesmo informação . vcs bugar"
Recebi erro enquanto tentava emitir boleto. Depois da atualização API ficou mais simples.,7,Suporte,Recebi erro enquanto tentar emitir boleto . depois de o atualização API ficar mais simples .
"Precisei repetir algumas etapas para concluir. Recebi erro enquanto tentava atualizar cadastro. O carregamento dos relatórios demorou. O atendimento resolveu rápido a solicitação. O suporte pediu novamente as mesmas informações. Consegui atualizar cadastro, mas depois apareceu erro em API.",6,Pós-venda,"precisei repetir algum etapa para concluir . Recebi erro enquanto tentar atualizar cadastro . o carregamento de o relatório demorar . o atendimento resolver rápido o solicitação . o suporte pedir novamente o mesmo informação . Consegui atualizar cadastro , mas depois aparecer erro em API ."
"O carregamento dos relatórios demorou. Tentei integrar sistema e relatórios travou duas vezes. Precisei repetir algumas etapas para concluir. Consegui integrar sistema, mas depois apareceu erro em pagamentos. Depois da atualização relatórios ficou mais simples. As notificações chegaram atrasadas.",10,Suporte,"o carregamento de o relatório demorar . Tentei integrar sistema e relatório travar dois vez . Precisei repetir algum etapa para concluir . Consegui integrar sistema , mas depois aparecer erro em pagamento . depois de o atualização relatório ficar mais simples . o notificação chegar atrasado ."
Depois da atualização login ficou mais simples. As notificações chegaram atrasadas. login demorou para responder. platafroma vcs,7,Geral,depois de o atualização login ficar mais simples . o notificação chegar atrasado . login demorar para responder . platafroma vcs
"O carregamento dos relatórios demorou. cadastro demorou para responder. Tentei baixar relatório e cadastro travou duas vezes. Consegui baixar relatório, mas depois apareceu erro em relatórios. Precisei repetir algumas etapas para concluir.",7,Produto,"o carregamento de o relatório demorar . cadastro demorar para responder . Tentei baixar relatório e cadastro travar dois vez . Consegui baixar relatório , mas depois aparecer erro em relatório . Precisei repetir algum etapa para concluir ."
Tentei integrar sistema e integração travou duas vezes. Precisei repetir algumas etapas para concluir. atendimnto demoro,9,Pós-venda,Tentei integrar sistema e integração travar dois vez . Precisei repetir algum etapa para concluir . atendimnto demoro
As notificações chegaram atrasadas. O atendimento resolveu rápido a solicitação. Tentei integrar sistema e dashboard travou duas vezes. O carregamento dos relatórios demorou. travano,10,Suporte,o notificação chegar atrasado . o atendimento resolver rápido o solicitação . Tentei integrar sistema e dashboard travar dois vez . o carregamento de o relatório demorar . travano
O atendimento resolveu rápido a solicitação. dashboard demorou para responder. qdo platafroma,1,Suporte,o atendimento resolver rápido o solicitação . dashboard demorar para responder . qdo platafroma
Depois da atualização usabilidade ficou mais simples. Tentei atualizar cadastro e usabilidade travou duas vezes.,6,Serviços,depois de o atualização usabilidade ficar mais simples . Tentei atualizar cadastro e usabilidade travar dois vez .
"Consegui baixar relatório, mas depois apareceu erro em integração. O atendimento resolveu rápido a solicitação.",6,Produto,"Consegui baixar relatório , mas depois aparecer erro em integração . o atendimento resolver rápido o solicitação ."
"Consegui integrar sistema, mas depois apareceu erro em pagamentos. Depois da atualização chat ficou mais simples. Recebi erro enquanto tentava integrar sistema. As notificações chegaram atrasadas. O suporte pediu novamente as mesmas informações. qdo ploblema",10,Geral,"Consegui integrar sistema , mas depois aparecer erro em pagamento . depois de o atualização chat ficar mais simples . Recebi erro enquanto tentar integrar sistema . o notificação chegar atrasado . o suporte pedir novamente o mesmo informação . qdo ploblema"
Recebi erro enquanto tentava emitir boleto. O atendimento resolveu rápido a solicitação. O suporte pediu novamente as mesmas informações. Tentei emitir boleto e chat travou duas vezes. Depois da atualização chat ficou mais simples. O carregamento dos relatórios demorou.,6,Pós-venda,Recebi erro enquanto tentar emitir boleto . o atendimento resolver rápido o solicitação . o suporte pedir novamente o mesmo informação . Tentei emitir boleto e chat travar dois vez . depois de o atualização chat ficar mais simples . o carregamento de o relatório demorar .
"O carregamento dos relatórios demorou. O atendimento resolveu rápido a solicitação. Consegui atualizar cadastro, mas depois apareceu erro em relatórios. Depois da atualização pagamentos ficou mais simples. As notificações chegaram atrasadas. platafroma travano naum",1,Suporte,"o carregamento de o relatório demorar . o atendimento resolver rápido o solicitação . Consegui atualizar cadastro , mas depois aparecer erro em relatório . depois de o atualização pagamento ficar mais simples . o notificação chegar atrasado . platafroma travano naum"
"Depois da atualização relatórios ficou mais simples. Consegui fazer transferência, mas depois apareceu erro em onboarding. Precisei repetir algumas etapas para concluir. relatórios demorou para responder. O atendimento resolveu rápido a solicitação. O suporte pediu novamente as mesmas informações.",0,Suporte,"depois de o atualização relatório ficar mais simples . Consegui fazer transferência , mas depois aparecer erro em onboarding . Precisei repetir algum etapa para concluir . relatórios demorar para responder . o atendimento resolver rápido o solicitação . o suporte pedir novamente o mesmo informação ."
"Consegui consultar saldo, mas depois apareceu erro em cadastro. O atendimento resolveu rápido a solicitação. Depois da atualização performance ficou mais simples. Recebi erro enquanto tentava consultar saldo. As notificações chegaram atrasadas. O carregamento dos relatórios demorou.",6,Geral,"Consegui consultar saldo , mas depois aparecer erro em cadastro . o atendimento resolver rápido o solicitação . depois de o atualização performance ficar mais simples . Recebi erro enquanto tentar consultar saldo . o notificação chegar atrasado . o carregamento de o relatório demorar ."
As notificações chegaram atrasadas. O suporte pediu novamente as mesmas informações. O carregamento dos relatórios demorou.,6,Serviços,o notificação chegar atrasado . o suporte pedir novamente o mesmo informação . o carregamento de o relatório demorar .
"Tentei fazer transferência e notificações travou duas vezes. Consegui fazer transferência, mas depois apareceu erro em dashboard. O suporte pediu novamente as mesmas informações.",9,Suporte,"Tentei fazer transferência e notificação travar dois vez . Consegui fazer transferência , mas depois aparecer erro em dashboard . o suporte pedir novamente o mesmo informação ."
O suporte pediu novamente as mesmas informações. usabilidade demorou para responder. Tentei acompanhar pagamento e usabilidade travou duas vezes. travano naum,6,Produto,o suporte pedir novamente o mesmo informação . usabilidade demorar para responder . Tentei acompanhar pagamento e usabilidade travar dois vez . travano naum
Recebi erro enquanto tentava consultar saldo. O atendimento resolveu rápido a solicitação.,0,Suporte,Recebi erro enquanto tentar consultar saldo . o atendimento resolver rápido o solicitação .
"cadastro demorou para responder. Consegui emitir boleto, mas depois apareceu erro em usabilidade. Recebi erro enquanto tentava emitir boleto. O suporte pediu novamente as mesmas informações. O atendimento resolveu rápido a solicitação.",6,Geral,"cadastro demorar para responder . Consegui emitir boleto , mas depois aparecer erro em usabilidade . Recebi erro enquanto tentar emitir boleto . o suporte pedir novamente o mesmo informação . o atendimento resolver rápido o solicitação ."
"Recebi erro enquanto tentava atualizar cadastro. Consegui atualizar cadastro, mas depois apareceu erro em relatórios. Precisei repetir algumas etapas para concluir. As notificações chegaram atrasadas. integração demorou para responder. bugou sitema probelma",10,Suporte,"Recebi erro enquanto tentar atualizar cadastro . Consegui atualizar cadastro , mas depois aparecer erro em relatório . Precisei repetir algum etapa para concluir . o notificação chegar atrasado . integração demorar para responder . bugar sitema probelma"
"As notificações chegaram atrasadas. O suporte pediu novamente as mesmas informações. Tentei atualizar cadastro e API travou duas vezes. Consegui atualizar cadastro, mas depois apareceu erro em notificações. O carregamento dos relatórios demorou. atendimnto",3,Pós-venda,"o notificação chegar atrasado . o suporte pedir novamente o mesmo informação . Tentei atualizar cadastro e API travar dois vez . Consegui atualizar cadastro , mas depois aparecer erro em notificação . o carregamento de o relatório demorar . atendimnto"
Depois da atualização pagamentos ficou mais simples. O atendimento resolveu rápido a solicitação. O suporte pediu novamente as mesmas informações. Tentei fazer transferência e pagamentos travou duas vezes.,7,Produto,depois de o atualização pagamento ficar mais simples . o atendimento resolver rápido o solicitação . o suporte pedir novamente o mesmo informação . Tentei fazer transferência e pagamento travar dois vez .
O suporte pediu novamente as mesmas informações. O carregamento dos relatórios demorou. As notificações chegaram atrasadas. atendimnto travano vcs,0,Geral,o suporte pedir novamente o mesmo informação . o carregamento de o relatório demorar . o notificação chegar atrasado . atendimnto travano vcs
"O suporte pediu novamente as mesmas informações. Recebi erro enquanto tentava consultar limite. Consegui consultar limite, mas depois apareceu erro em login. cartão virtual demorou para responder. platafroma",3,Produto,"o suporte pedir novamente o mesmo informação . Recebi erro enquanto tentar consultar limite . Consegui consultar limite , mas depois aparecer erro em login . cartão virtual demorar para responder . platafroma"
"Depois da atualização login ficou mais simples. As notificações chegaram atrasadas. O atendimento resolveu rápido a solicitação. Precisei repetir algumas etapas para concluir. Consegui emitir boleto, mas depois apareceu erro em pagamentos.",10,Serviços,"depois de o atualização login ficar mais simples . o notificação chegar atrasado . o atendimento resolver rápido o solicitação . precisei repetir algum etapa para concluir . Consegui emitir boleto , mas depois aparecer erro em pagamento ."
"Precisei repetir algumas etapas para concluir. O carregamento dos relatórios demorou. O atendimento resolveu rápido a solicitação. Consegui integrar sistema, mas depois apareceu erro em dashboard. Depois da atualização relatórios ficou mais simples. travano",2,Geral,"precisei repetir algum etapa para concluir . o carregamento de o relatório demorar . o atendimento resolver rápido o solicitação . conseguir integrar sistema , mas depois aparecer erro em dashboard . depois de o atualização relatório ficar mais simples . travano"
"Consegui consultar saldo, mas depois apareceu erro em API. O suporte pediu novamente as mesmas informações. O atendimento resolveu rápido a solicitação. O carregamento dos relatórios demorou. Tentei consultar saldo e cadastro travou duas vezes. naum",10,Serviços,"Consegui consultar saldo , mas depois aparecer erro em API . o suporte pedir novamente o mesmo informação . o atendimento resolver rápido o solicitação . o carregamento de o relatório demorar . Tentei consultar saldo e cadastro travar dois vez . naum"
Depois da atualização onboarding ficou mais simples. Precisei repetir algumas etapas para concluir. onboarding demorou para responder. O carregamento dos relatórios demorou. atendimnto ploblema probelma,10,Serviços,depois de o atualização onboarding ficar mais simples . Precisei repetir algum etapa para concluir . onboarding demorar para responder . o carregamento de o relatório demorar . atendimnto ploblema probelma
Tentei acompanhar pagamento e usabilidade travou duas vezes. O carregamento dos relatórios demorou.,5,Suporte,Tentei acompanhar pagamento e usabilidade travar dois vez . o carregamento de o relatório demorar .
As notificações chegaram atrasadas. Precisei repetir algumas etapas para concluir.,1,Serviços,o notificação chegar atrasado . precisei repetir algum etapa para concluir .
As notificações chegaram atrasadas. Depois da atualização chat ficou mais simples. O carregamento dos relatórios demorou. Tentei consultar saldo e chat travou duas vezes. Recebi erro enquanto tentava consultar saldo. O atendimento resolveu rápido a solicitação. ploblema platafroma,5,Suporte,o notificação chegar atrasado . depois de o atualização chat ficar mais simples . o carregamento de o relatório demorar . Tentei consultar saldo e chat travar dois vez . Recebi erro enquanto tentar consultar saldo . o atendimento resolver rápido o solicitação . ploblema platafroma
As notificações chegaram atrasadas. chat demorou para responder. Precisei repetir algumas etapas para concluir.,6,Produto,o notificação chegar atrasado . chat demorar para responder . precisei repetir algum etapa para concluir .
"Depois da atualização limite ficou mais simples. Recebi erro enquanto tentava integrar sistema. Tentei integrar sistema e limite travou duas vezes. Consegui integrar sistema, mas depois apareceu erro em notificações. O carregamento dos relatórios demorou. limite demorou para responder.",4,Suporte,"depois de o atualização limite ficar mais simples . Recebi erro enquanto tentar integrar sistema . Tentei integrar sistema e limite travar dois vez . Consegui integrar sistema , mas depois aparecer erro em notificação . o carregamento de o relatório demorar . limite demorar para responder ."
Recebi erro enquanto tentava atualizar cadastro. O carregamento dos relatórios demorou. probelma platafroma,3,Produto,Recebi erro enquanto tentar atualizar cadastro . o carregamento de o relatório demorar . probelma platafroma
O suporte pediu novamente as mesmas informações. O carregamento dos relatórios demorou.,9,Geral,o suporte pedir novamente o mesmo informação . o carregamento de o relatório demorar .
"API demorou para responder. O suporte pediu novamente as mesmas informações. Precisei repetir algumas etapas para concluir. O carregamento dos relatórios demorou. Consegui consultar saldo, mas depois apareceu erro em relatórios. Depois da atualização API ficou mais simples.",6,Suporte,"API demorar para responder . o suporte pedir novamente o mesmo informação . precisei repetir algum etapa para concluir . o carregamento de o relatório demorar . Consegui consultar saldo , mas depois aparecer erro em relatório . depois de o atualização API ficar mais simples ."
O atendimento resolveu rápido a solicitação. Tentei atualizar cadastro e cartão virtual travou duas vezes.,5,Suporte,o atendimento resolver rápido o solicitação . Tentei atualizar cadastro e cartão virtual travar dois vez .
"Precisei repetir algumas etapas para concluir. O suporte pediu novamente as mesmas informações. O atendimento resolveu rápido a solicitação. Consegui atualizar cadastro, mas depois apareceu erro em cartão virtual.",4,Produto,"precisei repetir algum etapa para concluir . o suporte pedir novamente o mesmo informação . o atendimento resolver rápido o solicitação . Consegui atualizar cadastro , mas depois aparecer erro em cartão virtual ."
"Consegui baixar relatório, mas depois apareceu erro em relatórios. API demorou para responder. qdo",7,Suporte,"Consegui baixar relatório , mas depois aparecer erro em relatório . API demorar para responder . qdo"
Depois da atualização cartão virtual ficou mais simples. O atendimento resolveu rápido a solicitação.,2,Produto,depois de o atualização cartão virtual ficar mais simples . o atendimento resolver rápido o solicitação .
O atendimento resolveu rápido a solicitação. Recebi erro enquanto tentava fazer transferência. msg bugou,7,Produto,o atendimento resolver rápido o solicitação . Recebi erro enquanto tentar fazer transferência . msg bugar
"Tentei acompanhar pagamento e cadastro travou duas vezes. O carregamento dos relatórios demorou. cadastro demorou para responder. Consegui acompanhar pagamento, mas depois apareceu erro em chat. Precisei repetir algumas etapas para concluir. Recebi erro enquanto tentava acompanhar pagamento.",4,Serviços,"Tentei acompanhar pagamento e cadastro travar dois vez . o carregamento de o relatório demorar . cadastro demorar para responder . Consegui acompanhar pagamento , mas depois aparecer erro em chat . precisei repetir algum etapa para concluir . Recebi erro enquanto tentar acompanhar pagamento ."
Normal.,5,Serviços,normal .
Tentei integrar sistema e dashboard travou duas vezes. Recebi erro enquanto tentava integrar sistema. Depois da atualização dashboard ficou mais simples.,9,Produto,Tentei integrar sistema e dashboard travar dois vez . Recebi erro enquanto tentar integrar sistema . depois de o atualização dashboard ficar mais simples .
Tentei consultar saldo e pagamentos travou duas vezes. Depois da atualização pagamentos ficou mais simples. O atendimento resolveu rápido a solicitação. O carregamento dos relatórios demorou.,7,Serviços,Tentei consultar saldo e pagamento travar dois vez . depois de o atualização pagamento ficar mais simples . o atendimento resolver rápido o solicitação . o carregamento de o relatório demorar .
Tentei atualizar cadastro e onboarding travou duas vezes. Recebi erro enquanto tentava atualizar cadastro. As notificações chegaram atrasadas. Precisei repetir algumas etapas para concluir. probelma,9,Geral,Tentei atualizar cadastro e onboarding travar dois vez . Recebi erro enquanto tentar atualizar cadastro . o notificação chegar atrasado . precisei repetir algum etapa para concluir . probelma
Nada a declarar.,6,Pós-venda,nada a declarar .
O suporte pediu novamente as mesmas informações. Depois da atualização integração ficou mais simples.,6,Suporte,o suporte pedir novamente o mesmo informação . depois de o atualização integração ficar mais simples .
O atendimento resolveu rápido a solicitação. O carregamento dos relatórios demorou. sitema platafroma,4,Serviços,o atendimento resolver rápido o solicitação . o carregamento de o relatório demorar . sitema platafroma
integração demorou para responder. As notificações chegaram atrasadas. O carregamento dos relatórios demorou. Tentei integrar sistema e integração travou duas vezes. Depois da atualização integração ficou mais simples. O suporte pediu novamente as mesmas informações. travano probelma,9,Suporte,integração demorar para responder . o notificação chegar atrasado . o carregamento de o relatório demorar . Tentei integrar sistema e integração travar dois vez . depois de o atualização integração ficar mais simples . o suporte pedir novamente o mesmo informação . travano probelma
Depois da atualização relatórios ficou mais simples. As notificações chegaram atrasadas. Recebi erro enquanto tentava emitir boleto. O carregamento dos relatórios demorou.,2,Serviços,depois de o atualização relatório ficar mais simples . o notificação chegar atrasado . Recebi erro enquanto tentar emitir boleto . o carregamento de o relatório demorar .
As notificações chegaram atrasadas. O suporte pediu novamente as mesmas informações. Tentei acompanhar pagamento e pagamentos travou duas vezes. O carregamento dos relatórios demorou. Depois da atualização pagamentos ficou mais simples. O atendimento resolveu rápido a solicitação.,2,Suporte,o notificação chegar atrasado . o suporte pedir novamente o mesmo informação . Tentei acompanhar pagamento e pagamento travar dois vez . o carregamento de o relatório demorar . depois de o atualização pagamento ficar mais simples . o atendimento resolver rápido o solicitação .
Regular.,6,Produto,Regular .
Mais ou menos.,9,Produto,mais ou menos .
Recebi erro enquanto tentava consultar limite. As notificações chegaram atrasadas.,10,Suporte,Recebi erro enquanto tentar consultar limite . o notificação chegar atrasado .
O suporte pediu novamente as mesmas informações. O atendimento resolveu rápido a solicitação. integração demorou para responder. Recebi erro enquanto tentava baixar relatório. As notificações chegaram atrasadas. Tentei baixar relatório e integração travou duas vezes.,9,Suporte,o suporte pedir novamente o mesmo informação . o atendimento resolver rápido o solicitação . integração demorar para responder . Recebi erro enquanto tentar baixar relatório . o notificação chegar atrasado . Tentei baixar relatório e integração travar dois vez .
"Recebi erro enquanto tentava consultar saldo. Tentei consultar saldo e relatórios travou duas vezes. relatórios demorou para responder. O atendimento resolveu rápido a solicitação. Consegui consultar saldo, mas depois apareceu erro em login.",10,Serviços,"Recebi erro enquanto tentar consultar saldo . Tentei consultar saldo e relatório travar dois vez . relatórios demorar para responder . o atendimento resolver rápido o solicitação . Consegui consultar saldo , mas depois aparecer erro em login ."
Precisei repetir algumas etapas para concluir. O atendimento resolveu rápido a solicitação. As notificações chegaram atrasadas. Depois da atualização chat ficou mais simples. msg,10,Produto,precisei repetir algum etapa para concluir . o atendimento resolver rápido o solicitação . o notificação chegar atrasado . depois de o atualização chat ficar mais simples . msg
"Depois da atualização performance ficou mais simples. performance demorou para responder. Consegui consultar saldo, mas depois apareceu erro em notificações.",1,Suporte,"depois de o atualização performance ficar mais simples . performance demorar para responder . Consegui consultar saldo , mas depois aparecer erro em notificação ."
Depois da atualização pagamentos ficou mais simples. As notificações chegaram atrasadas. Tentei baixar relatório e pagamentos travou duas vezes. bugou,8,Serviços,depois de o atualização pagamento ficar mais simples . o notificação chegar atrasado . Tentei baixar relatório e pagamento travar dois vez . bugar
O suporte pediu novamente as mesmas informações. As notificações chegaram atrasadas. Tentei acompanhar pagamento e onboarding travou duas vezes. travano,7,Serviços,o suporte pedir novamente o mesmo informação . o notificação chegar atrasado . Tentei acompanhar pagamento e onboarding travar dois vez . travano
Depois da atualização onboarding ficou mais simples. As notificações chegaram atrasadas.,6,Geral,depois de o atualização onboarding ficar mais simples . o notificação chegar atrasado .
Tentei baixar relatório e usabilidade travou duas vezes. O carregamento dos relatórios demorou. Precisei repetir algumas etapas para concluir.,9,Serviços,Tentei baixar relatório e usabilidade travar dois vez . o carregamento de o relatório demorar . Precisei repetir algum etapa para concluir .
Depois da atualização cadastro ficou mais simples. O atendimento resolveu rápido a solicitação.,1,Suporte,depois de o atualização cadastro ficar mais simples . o atendimento resolver rápido o solicitação .
"Consegui integrar sistema, mas depois apareceu erro em limite. O carregamento dos relatórios demorou. Precisei repetir algumas etapas para concluir. O suporte pediu novamente as mesmas informações. O atendimento resolveu rápido a solicitação. bugou travano platafroma",2,Produto,"Consegui integrar sistema , mas depois aparecer erro em limite . o carregamento de o relatório demorar . Precisei repetir algum etapa para concluir . o suporte pedir novamente o mesmo informação . o atendimento resolver rápido o solicitação . bugar travano platafroma"
"cartão virtual demorou para responder. Consegui integrar sistema, mas depois apareceu erro em usabilidade. O suporte pediu novamente as mesmas informações. O atendimento resolveu rápido a solicitação. As notificações chegaram atrasadas. msg bugou",4,Suporte,"cartão virtual demorar para responder . Consegui integrar sistema , mas depois aparecer erro em usabilidade . o suporte pedir novamente o mesmo informação . o atendimento resolver rápido o solicitação . o notificação chegar atrasado . msg bugar"
"Consegui baixar relatório, mas depois apareceu erro em cartão virtual. Precisei repetir algumas etapas para concluir. Tentei baixar relatório e integração travou duas vezes. Depois da atualização integração ficou mais simples. atendimnto travano",9,Suporte,"Consegui baixar relatório , mas depois aparecer erro em cartão virtual . Precisei repetir algum etapa para concluir . Tentei baixar relatório e integração travar dois vez . depois de o atualização integração ficar mais simples . atendimnto travano"
Normal.,8,Suporte,normal .
O suporte pediu novamente as mesmas informações. O atendimento resolveu rápido a solicitação. O carregamento dos relatórios demorou. As notificações chegaram atrasadas. Tentei acompanhar pagamento e dashboard travou duas vezes.,1,Produto,o suporte pedir novamente o mesmo informação . o atendimento resolver rápido o solicitação . o carregamento de o relatório demorar . o notificação chegar atrasado . Tentei acompanhar pagamento e dashboard travar dois vez .
Depois da atualização onboarding ficou mais simples. Precisei repetir algumas etapas para concluir.,2,Produto,depois de o atualização onboarding ficar mais simples . Precisei repetir algum etapa para concluir .
Tentei emitir boleto e chat travou duas vezes. O carregamento dos relatórios demorou. Recebi erro enquanto tentava emitir boleto. Depois da atualização chat ficou mais simples. O atendimento resolveu rápido a solicitação. Precisei repetir algumas etapas para concluir.,1,Serviços,Tentei emitir boleto e chat travar dois vez . o carregamento de o relatório demorar . Recebi erro enquanto tentar emitir boleto . depois de o atualização chat ficar mais simples . o atendimento resolver rápido o solicitação . precisei repetir algum etapa para concluir .
performance demorou para responder. O atendimento resolveu rápido a solicitação. vcs,2,Geral,performance demorar para responder . o atendimento resolver rápido o solicitação . vcs
Depois da atualização integração ficou mais simples. O atendimento resolveu rápido a solicitação. O suporte pediu novamente as mesmas informações.,7,Geral,depois de o atualização integração ficar mais simples . o atendimento resolver rápido o solicitação . o suporte pedir novamente o mesmo informação .
"O carregamento dos relatórios demorou. As notificações chegaram atrasadas. Consegui acompanhar pagamento, mas depois apareceu erro em extrato. sitema bugou",5,Suporte,"o carregamento de o relatório demorar . o notificação chegar atrasado . Consegui acompanhar pagamento , mas depois aparecer erro em extrato . sitema bugar"
Tentei baixar relatório e extrato travou duas vezes. O carregamento dos relatórios demorou. Recebi erro enquanto tentava baixar relatório. sitema msg,8,Geral,Tentei baixar relatório e extrato travar dois vez . o carregamento de o relatório demorar . Recebi erro enquanto tentar baixar relatório . sitema msg
"Tentei fazer transferência e cadastro travou duas vezes. O carregamento dos relatórios demorou. O suporte pediu novamente as mesmas informações. Consegui fazer transferência, mas depois apareceu erro em usabilidade. As notificações chegaram atrasadas. Depois da atualização cadastro ficou mais simples.",6,Produto,"Tentei fazer transferência e cadastro travar dois vez . o carregamento de o relatório demorar . o suporte pedir novamente o mesmo informação . Consegui fazer transferência , mas depois aparecer erro em usabilidade . o notificação chegar atrasado . depois de o atualização cadastro ficar mais simples ."
"Precisei repetir algumas etapas para concluir. login demorou para responder. As notificações chegaram atrasadas. Consegui atualizar cadastro, mas depois apareceu erro em onboarding. O atendimento resolveu rápido a solicitação. Recebi erro enquanto tentava atualizar cadastro.",5,Serviços,"precisei repetir algum etapa para concluir . login demorar para responder . o notificação chegar atrasado . Consegui atualizar cadastro , mas depois aparecer erro em onboarding . o atendimento resolver rápido o solicitação . Recebi erro enquanto tentar atualizar cadastro ."
O suporte pediu novamente as mesmas informações. Recebi erro enquanto tentava consultar limite. Tentei consultar limite e performance travou duas vezes.,9,Serviços,o suporte pedir novamente o mesmo informação . Recebi erro enquanto tentar consultar limite . Tentei consultar limite e performance travar dois vez .
O carregamento dos relatórios demorou. Precisei repetir algumas etapas para concluir. travano msg,2,Produto,o carregamento de o relatório demorar . Precisei repetir algum etapa para concluir . travano msg
O carregamento dos relatórios demorou. Recebi erro enquanto tentava atualizar cadastro. Tentei atualizar cadastro e notificações travou duas vezes. As notificações chegaram atrasadas. notificações demorou para responder. atendimnto vcs qdo,8,Suporte,o carregamento de o relatório demorar . Recebi erro enquanto tentar atualizar cadastro . Tentei atualizar cadastro e notificação travar dois vez . o notificação chegar atrasado . notificação demorar para responder . atendimnto vcs qdo
"O atendimento resolveu rápido a solicitação. Consegui consultar saldo, mas depois apareceu erro em performance. O carregamento dos relatórios demorou. chat demorou para responder. As notificações chegaram atrasadas. demoro travano msg",1,Serviços,"o atendimento resolver rápido o solicitação . Consegui consultar saldo , mas depois aparecer erro em performance . o carregamento de o relatório demorar . chat demorar para responder . o notificação chegar atrasar . demoro travano msg"
Depois da atualização dashboard ficou mais simples. Recebi erro enquanto tentava acompanhar pagamento. dashboard demorou para responder. O atendimento resolveu rápido a solicitação.,8,Serviços,depois de o atualização dashboard ficar mais simples . Recebi erro enquanto tentar acompanhar pagamento . dashboard demorar para responder . o atendimento resolver rápido o solicitação .
Sem comentários.,1,Produto,sem comentário .
Mais ou menos.,7,Produto,mais ou menos .
"Depois da atualização cartão virtual ficou mais simples. As notificações chegaram atrasadas. Precisei repetir algumas etapas para concluir. O atendimento resolveu rápido a solicitação. Consegui atualizar cadastro, mas depois apareceu erro em onboarding. O carregamento dos relatórios demorou.",8,Produto,"depois de o atualização cartão virtual ficar mais simples . o notificação chegar atrasado . precisei repetir algum etapa para concluir . o atendimento resolver rápido o solicitação . Consegui atualizar cadastro , mas depois aparecer erro em onboarding . o carregamento de o relatório demorar ."
Depois da atualização limite ficou mais simples. Precisei repetir algumas etapas para concluir. Tentei emitir boleto e limite travou duas vezes.,2,Suporte,depois de o atualização limite ficar mais simples . Precisei repetir algum etapa para concluir . Tentei emitir boleto e limite travar dois vez .
Recebi erro enquanto tentava consultar limite. O atendimento resolveu rápido a solicitação.,5,Pós-venda,Recebi erro enquanto tentar consultar limite . o atendimento resolver rápido o solicitação .
Depois da atualização pagamentos ficou mais simples. Tentei atualizar cadastro e pagamentos travou duas vezes. pagamentos demorou para responder. Recebi erro enquanto tentava atualizar cadastro.,2,Suporte,depois de o atualização pagamento ficar mais simples . Tentei atualizar cadastro e pagamento travar dois vez . pagamento demorar para responder . Recebi erro enquanto tentar atualizar cadastro .
Recebi erro enquanto tentava baixar relatório. O carregamento dos relatórios demorou. sitema,4,Produto,Recebi erro enquanto tentar baixar relatório . o carregamento de o relatório demorar . sitema
Precisei repetir algumas etapas para concluir. usabilidade demorou para responder. O carregamento dos relatórios demorou. O suporte pediu novamente as mesmas informações. O atendimento resolveu rápido a solicitação.,4,Produto,precisei repetir algum etapa para concluir . usabilidade demorar para responder . o carregamento de o relatório demorar . o suporte pedir novamente o mesmo informação . o atendimento resolver rápido o solicitação .
"Precisei repetir algumas etapas para concluir. As notificações chegaram atrasadas. O carregamento dos relatórios demorou. Recebi erro enquanto tentava emitir boleto. Consegui emitir boleto, mas depois apareceu erro em extrato. performance demorou para responder.",7,Produto,"precisei repetir algum etapa para concluir . o notificação chegar atrasado . o carregamento de o relatório demorar . Recebi erro enquanto tentar emitir boleto . Consegui emitir boleto , mas depois aparecer erro em extrato . performance demorar para responder ."
Precisei repetir algumas etapas para concluir. O suporte pediu novamente as mesmas informações.,7,Pós-venda,precisei repetir algum etapa para concluir . o suporte pedir novamente o mesmo informação .
Mais ou menos.,8,Suporte,mais ou menos .
