comentario,nota,responsavel
Tentei acompanhar pagamento e chat travou duas vezes. O suporte pediu novamente as mesmas informações. Precisei repetir algumas etapas para concluir. O atendimento resolveu rápido a solicitação. O carregamento dos relatórios demorou. Depois da atualização chat ficou mais simples.,2,Suporte
Mais ou menos.,6,Suporte
As notificações chegaram atrasadas. O suporte pediu novamente as mesmas informações. sitema vcs,0,Geral
Depois da atualização login ficou mais simples. Recebi erro enquanto tentava atualizar cadastro. O atendimento resolveu rápido a solicitação. O suporte pediu novamente as mesmas informações. Tentei atualizar cadastro e login travou duas vezes. qdo,5,Produto
"Recebi erro enquanto tentava acompanhar pagamento. Consegui acompanhar pagamento, mas depois apareceu erro em cartão virtual. O atendimento resolveu rápido a solicitação.",5,Suporte
Recebi erro enquanto tentava atualizar cadastro. Tentei atualizar cadastro e onboarding travou duas vezes.,0,Produto
integração demorou para responder. Precisei repetir algumas etapas para concluir. Depois da atualização integração ficou mais simples. Tentei consultar limite e integração travou duas vezes. demoro,5,Suporte
"Depois da atualização cadastro ficou mais simples. Precisei repetir algumas etapas para concluir. O suporte pediu novamente as mesmas informações. cadastro demorou para responder. O atendimento resolveu rápido a solicitação. Consegui acompanhar pagamento, mas depois apareceu erro em dashboard. ploblema vcs",6,Geral
Recebi erro enquanto tentava acompanhar pagamento. Depois da atualização performance ficou mais simples. travano,3,Produto
"O carregamento dos relatórios demorou. Precisei repetir algumas etapas para concluir. O atendimento resolveu rápido a solicitação. As notificações chegaram atrasadas. dashboard demorou para responder. Consegui acompanhar pagamento, mas depois apareceu erro em extrato.",6,Suporte
"Precisei repetir algumas etapas para concluir. O carregamento dos relatórios demorou. Consegui consultar limite, mas depois apareceu erro em extrato. As notificações chegaram atrasadas. Depois da atualização notificações ficou mais simples. sitema msg",1,Geral
"Consegui emitir boleto, mas depois apareceu erro em limite. Tentei emitir boleto e API travou duas vezes.",9,Serviços
Recebi erro enquanto tentava integrar sistema. O carregamento dos relatórios demorou. Precisei repetir algumas etapas para concluir. relatórios demorou para responder.,0,Suporte
O atendimento resolveu rápido a solicitação. Recebi erro enquanto tentava baixar relatório. Tentei baixar relatório e extrato travou duas vezes. Precisei repetir algumas etapas para concluir. probelma ploblema,8,Suporte
As notificações chegaram atrasadas. Recebi erro enquanto tentava baixar relatório. Tentei baixar relatório e relatórios travou duas vezes. O atendimento resolveu rápido a solicitação. O carregamento dos relatórios demorou. Depois da atualização relatórios ficou mais simples. qdo,2,Suporte
Normal.,3,Produto
"Consegui consultar limite, mas depois apareceu erro em usabilidade. O suporte pediu novamente as mesmas informações.",9,Suporte
Recebi erro enquanto tentava atualizar cadastro. pagamentos demorou para responder.,3,Suporte
O atendimento resolveu rápido a solicitação. Recebi erro enquanto tentava acompanhar pagamento. onboarding demorou para responder. msg qdo,7,Serviços
Tentei emitir boleto e API travou duas vezes. O atendimento resolveu rápido a solicitação. Depois da atualização API ficou mais simples.,6,Serviços
"O suporte pediu novamente as mesmas informações. Consegui consultar saldo, mas depois apareceu erro em onboarding. login demorou para responder. As notificações chegaram atrasadas. Recebi erro enquanto tentava consultar saldo. Tentei consultar saldo e login travou duas vezes. atendimnto platafroma travano",3,Produto
Tentei integrar sistema e limite travou duas vezes. O atendimento resolveu rápido a solicitação. O suporte pediu novamente as mesmas informações. O carregamento dos relatórios demorou. limite demorou para responder.,8,Serviços
"As notificações chegaram atrasadas. Consegui consultar saldo, mas depois apareceu erro em cadastro. pagamentos demorou para responder. probelma",9,Serviços
Recebi erro enquanto tentava acompanhar pagamento. O suporte pediu novamente as mesmas informações. Depois da atualização performance ficou mais simples. O carregamento dos relatórios demorou. Precisei repetir algumas etapas para concluir. atendimnto bugou sitema,6,Produto
Recebi erro enquanto tentava integrar sistema. As notificações chegaram atrasadas. Depois da atualização login ficou mais simples. O suporte pediu novamente as mesmas informações. login demorou para responder. O atendimento resolveu rápido a solicitação. platafroma,4,Serviços
"O carregamento dos relatórios demorou. API demorou para responder. O suporte pediu novamente as mesmas informações. Consegui atualizar cadastro, mas depois apareceu erro em relatórios. Precisei repetir algumas etapas para concluir. Tentei atualizar cadastro e API travou duas vezes.",2,Pós-venda
Depois da atualização onboarding ficou mais simples. O suporte pediu novamente as mesmas informações. travano qdo,0,Suporte
O suporte pediu novamente as mesmas informações. pagamentos demorou para responder.,2,Suporte
"O atendimento resolveu rápido a solicitação. Consegui consultar saldo, mas depois apareceu erro em notificações. As notificações chegaram atrasadas. O carregamento dos relatórios demorou. Depois da atualização pagamentos ficou mais simples.",9,Suporte
As notificações chegaram atrasadas. O atendimento resolveu rápido a solicitação. chat demorou para responder. O carregamento dos relatórios demorou. Recebi erro enquanto tentava fazer transferência. Depois da atualização chat ficou mais simples. probelma ploblema travano,4,Suporte
"As notificações chegaram atrasadas. Recebi erro enquanto tentava fazer transferência. limite demorou para responder. O suporte pediu novamente as mesmas informações. Consegui fazer transferência, mas depois apareceu erro em relatórios.",9,Suporte
As notificações chegaram atrasadas. Precisei repetir algumas etapas para concluir. Depois da atualização limite ficou mais simples. Tentei consultar limite e limite travou duas vezes. O suporte pediu novamente as mesmas informações. vcs msg,10,Produto
Precisei repetir algumas etapas para concluir. O carregamento dos relatórios demorou. O suporte pediu novamente as mesmas informações. msg sitema,4,Serviços
Recebi erro enquanto tentava baixar relatório. Tentei baixar relatório e onboarding travou duas vezes. vcs atendimnto demoro,7,Serviços
Precisei repetir algumas etapas para concluir. O carregamento dos relatórios demorou.,4,Suporte
"Consegui baixar relatório, mas depois apareceu erro em performance. relatórios demorou para responder. O suporte pediu novamente as mesmas informações.",3,Suporte
Recebi erro enquanto tentava acompanhar pagamento. Tentei acompanhar pagamento e chat travou duas vezes. naum,0,Serviços
"Tentei baixar relatório e login travou duas vezes. Recebi erro enquanto tentava baixar relatório. O suporte pediu novamente as mesmas informações. Consegui baixar relatório, mas depois apareceu erro em onboarding. As notificações chegaram atrasadas.",3,Suporte
Recebi erro enquanto tentava baixar relatório. As notificações chegaram atrasadas. chat demorou para responder. O atendimento resolveu rápido a solicitação. Tentei baixar relatório e chat travou duas vezes. Precisei repetir algumas etapas para concluir. travano probelma msg,8,Geral
Precisei repetir algumas etapas para concluir. Depois da atualização limite ficou mais simples. sitema bugou,8,Produto
O suporte pediu novamente as mesmas informações. Depois da atualização onboarding ficou mais simples. qdo demoro,1,Serviços
O atendimento resolveu rápido a solicitação. cadastro demorou para responder.,10,Suporte
Sem comentários.,4,Serviços
Recebi erro enquanto tentava consultar limite. usabilidade demorou para responder. O carregamento dos relatórios demorou. Depois da atualização usabilidade ficou mais simples. O atendimento resolveu rápido a solicitação. O suporte pediu novamente as mesmas informações. msg ploblema travano,8,Produto
Precisei repetir algumas etapas para concluir. cadastro demorou para responder. O suporte pediu novamente as mesmas informações. Recebi erro enquanto tentava consultar limite. O atendimento resolveu rápido a solicitação. atendimnto demoro travano,1,Pós-venda
Sem comentários.,1,Geral
"Consegui baixar relatório, mas depois apareceu erro em cadastro. Precisei repetir algumas etapas para concluir. Recebi erro enquanto tentava baixar relatório. Depois da atualização usabilidade ficou mais simples.",10,Suporte
Tentei atualizar cadastro e login travou duas vezes. Recebi erro enquanto tentava atualizar cadastro.,6,Produto
Depois da atualização usabilidade ficou mais simples. As notificações chegaram atrasadas. demoro naum probelma,10,Produto
"As notificações chegaram atrasadas. O carregamento dos relatórios demorou. Consegui acompanhar pagamento, mas depois apareceu erro em notificações. travano",7,Suporte
As notificações chegaram atrasadas. O carregamento dos relatórios demorou. Recebi erro enquanto tentava consultar saldo. integração demorou para responder. bugou travano naum,1,Pós-venda
Precisei repetir algumas etapas para concluir. O carregamento dos relatórios demorou. limite demorou para responder. As notificações chegaram atrasadas. travano sitema,3,Produto
Mais ou menos.,9,Geral
"Consegui integrar sistema, mas depois apareceu erro em chat. O suporte pediu novamente as mesmas informações.",1,Suporte
Sem comentários.,5,Suporte
"Precisei repetir algumas etapas para concluir. Tentei atualizar cadastro e notificações travou duas vezes. Recebi erro enquanto tentava atualizar cadastro. O suporte pediu novamente as mesmas informações. Consegui atualizar cadastro, mas depois apareceu erro em onboarding.",1,Pós-venda
Achei estranho.,10,Pós-venda
O carregamento dos relatórios demorou. O atendimento resolveu rápido a solicitação. Tentei fazer transferência e integração travou duas vezes. demoro,3,Produto
Depois da atualização dashboard ficou mais simples. dashboard demorou para responder. O suporte pediu novamente as mesmas informações. O atendimento resolveu rápido a solicitação. Tentei emitir boleto e dashboard travou duas vezes. As notificações chegaram atrasadas. probelma travano atendimnto,0,Geral
"Tentei consultar saldo e usabilidade travou duas vezes. Consegui consultar saldo, mas depois apareceu erro em notificações.",4,Produto
As notificações chegaram atrasadas. Precisei repetir algumas etapas para concluir.,10,Geral
"O atendimento resolveu rápido a solicitação. Precisei repetir algumas etapas para concluir. Consegui emitir boleto, mas depois apareceu erro em limite. dashboard demorou para responder. Depois da atualização dashboard ficou mais simples. Tentei emitir boleto e dashboard travou duas vezes. demoro",6,Produto
"Consegui consultar saldo, mas depois apareceu erro em integração. Tentei consultar saldo e usabilidade travou duas vezes. platafroma",6,Suporte
chat demorou para responder. As notificações chegaram atrasadas. Depois da atualização chat ficou mais simples. O atendimento resolveu rápido a solicitação. vcs,0,Suporte
Depois da atualização performance ficou mais simples. O suporte pediu novamente as mesmas informações. O atendimento resolveu rápido a solicitação.,8,Suporte
"O carregamento dos relatórios demorou. Recebi erro enquanto tentava integrar sistema. Tentei integrar sistema e usabilidade travou duas vezes. usabilidade demorou para responder. Consegui integrar sistema, mas depois apareceu erro em pagamentos. O suporte pediu novamente as mesmas informações.",10,Suporte
"Consegui atualizar cadastro, mas depois apareceu erro em notificações. Recebi erro enquanto tentava atualizar cadastro. O atendimento resolveu rápido a solicitação. Depois da atualização relatórios ficou mais simples. O carregamento dos relatórios demorou. Tentei atualizar cadastro e relatórios travou duas vezes.",2,Suporte
O suporte pediu novamente as mesmas informações. Precisei repetir algumas etapas para concluir.,10,Serviços
Tudo certo.,1,Suporte
login demorou para responder. As notificações chegaram atrasadas. Tentei acompanhar pagamento e login travou duas vezes. O atendimento resolveu rápido a solicitação. Precisei repetir algumas etapas para concluir. qdo demoro,6,Produto
O atendimento resolveu rápido a solicitação. As notificações chegaram atrasadas.,5,Serviços
"Depois da atualização relatórios ficou mais simples. As notificações chegaram atrasadas. O suporte pediu novamente as mesmas informações. Recebi erro enquanto tentava atualizar cadastro. Consegui atualizar cadastro, mas depois apareceu erro em cartão virtual. O atendimento resolveu rápido a solicitação.",0,Geral
"Consegui atualizar cadastro, mas depois apareceu erro em integração. O carregamento dos relatórios demorou. sitema qdo demoro",2,Pós-venda
O suporte pediu novamente as mesmas informações. O atendimento resolveu rápido a solicitação.,4,Suporte
O atendimento resolveu rápido a solicitação. Depois da atualização limite ficou mais simples.,7,Geral
Normal.,6,Produto
O suporte pediu novamente as mesmas informações. Precisei repetir algumas etapas para concluir. Depois da atualização dashboard ficou mais simples. Recebi erro enquanto tentava fazer transferência. msg,9,Suporte
Normal.,10,Geral
"O carregamento dos relatórios demorou. Consegui integrar sistema, mas depois apareceu erro em limite. ploblema bugou qdo",2,Serviços
Recebi erro enquanto tentava acompanhar pagamento. Precisei repetir algumas etapas para concluir. Depois da atualização login ficou mais simples. Tentei acompanhar pagamento e login travou duas vezes.,5,Serviços
As notificações chegaram atrasadas. O suporte pediu novamente as mesmas informações. demoro atendimnto,5,Suporte
Tentei atualizar cadastro e extrato travou duas vezes. extrato demorou para responder. O atendimento resolveu rápido a solicitação. Precisei repetir algumas etapas para concluir. O carregamento dos relatórios demorou. Recebi erro enquanto tentava atualizar cadastro.,6,Produto
As notificações chegaram atrasadas. Tentei integrar sistema e extrato travou duas vezes. extrato demorou para responder. vcs bugou probelma,9,Suporte
Tentei emitir boleto e performance travou duas vezes. Depois da atualização performance ficou mais simples. O carregamento dos relatórios demorou. performance demorou para responder. As notificações chegaram atrasadas. Recebi erro enquanto tentava emitir boleto.,9,Produto
Depois da atualização integração ficou mais simples. O atendimento resolveu rápido a solicitação. Recebi erro enquanto tentava integrar sistema.,3,Suporte
"Depois da atualização extrato ficou mais simples. Consegui emitir boleto, mas depois apareceu erro em relatórios. Precisei repetir algumas etapas para concluir. As notificações chegaram atrasadas.",6,Produto
notificações demorou para responder. O suporte pediu novamente as mesmas informações. O carregamento dos relatórios demorou. Precisei repetir algumas etapas para concluir. As notificações chegaram atrasadas. Tentei consultar limite e notificações travou duas vezes. naum msg,2,Produto
notificações demorou para responder. Recebi erro enquanto tentava baixar relatório.,10,Produto
Tentei consultar saldo e API travou duas vezes. API demorou para responder. Recebi erro enquanto tentava consultar saldo. Depois da atualização API ficou mais simples. O suporte pediu novamente as mesmas informações.,7,Serviços
Recebi erro enquanto tentava acompanhar pagamento. O atendimento resolveu rápido a solicitação. O carregamento dos relatórios demorou. O suporte pediu novamente as mesmas informações.,6,Geral
Achei estranho.,0,Suporte
Depois da atualização performance ficou mais simples. performance demorou para responder. O carregamento dos relatórios demorou. O atendimento resolveu rápido a solicitação.,6,Pós-venda
Ok.,8,Geral
limite demorou para responder. O carregamento dos relatórios demorou. O suporte pediu novamente as mesmas informações. As notificações chegaram atrasadas. Tentei integrar sistema e limite travou duas vezes. atendimnto qdo,5,Serviços
As notificações chegaram atrasadas. O atendimento resolveu rápido a solicitação. onboarding demorou para responder. Recebi erro enquanto tentava atualizar cadastro. bugou probelma sitema,8,Produto
extrato demorou para responder. Recebi erro enquanto tentava integrar sistema. O suporte pediu novamente as mesmas informações. Precisei repetir algumas etapas para concluir.,9,Produto
O suporte pediu novamente as mesmas informações. usabilidade demorou para responder. Recebi erro enquanto tentava emitir boleto. msg qdo demoro,2,Suporte
"O atendimento resolveu rápido a solicitação. Consegui baixar relatório, mas depois apareceu erro em login. sitema platafroma naum",8,Geral
As notificações chegaram atrasadas. Depois da atualização dashboard ficou mais simples. O suporte pediu novamente as mesmas informações. Tentei emitir boleto e dashboard travou duas vezes. Recebi erro enquanto tentava emitir boleto.,7,Suporte
O atendimento resolveu rápido a solicitação. integração demorou para responder.,1,Serviços
Tentei emitir boleto e cadastro travou duas vezes. As notificações chegaram atrasadas. Recebi erro enquanto tentava emitir boleto. O atendimento resolveu rápido a solicitação.,10,Suporte
"Consegui consultar saldo, mas depois apareceu erro em cadastro. usabilidade demorou para responder.",8,Suporte
pagamentos demorou para responder. Depois da atualização pagamentos ficou mais simples. O suporte pediu novamente as mesmas informações. Recebi erro enquanto tentava fazer transferência. As notificações chegaram atrasadas.,3,Geral
"Recebi erro enquanto tentava consultar saldo. Depois da atualização performance ficou mais simples. Consegui consultar saldo, mas depois apareceu erro em notificações. O atendimento resolveu rápido a solicitação. Precisei repetir algumas etapas para concluir. ploblema demoro sitema",8,Suporte
"Consegui fazer transferência, mas depois apareceu erro em relatórios. O suporte pediu novamente as mesmas informações. Depois da atualização limite ficou mais simples. Precisei repetir algumas etapas para concluir.",3,Serviços
O suporte pediu novamente as mesmas informações. As notificações chegaram atrasadas.,5,Produto
O atendimento resolveu rápido a solicitação. As notificações chegaram atrasadas.,10,Produto
Tentei consultar limite e onboarding travou duas vezes. O suporte pediu novamente as mesmas informações. O carregamento dos relatórios demorou.,7,Serviços
Achei estranho.,6,Geral
"O suporte pediu novamente as mesmas informações. Tentei consultar limite e integração travou duas vezes. Precisei repetir algumas etapas para concluir. Consegui consultar limite, mas depois apareceu erro em limite. O atendimento resolveu rápido a solicitação. qdo ploblema platafroma",5,Suporte
Precisei repetir algumas etapas para concluir. O atendimento resolveu rápido a solicitação. relatórios demorou para responder. O suporte pediu novamente as mesmas informações. As notificações chegaram atrasadas. Tentei emitir boleto e relatórios travou duas vezes.,9,Produto
Achei estranho.,6,Suporte
Ok.,8,Geral
O suporte pediu novamente as mesmas informações. API demorou para responder. O atendimento resolveu rápido a solicitação. naum,5,Produto
Ok.,0,Serviços
cartão virtual demorou para responder. O suporte pediu novamente as mesmas informações. travano,8,Serviços
Normal.,3,Serviços
Recebi erro enquanto tentava atualizar cadastro. Precisei repetir algumas etapas para concluir.,6,Geral
Mais ou menos.,6,Serviços
Tudo certo.,2,Serviços
"Tentei consultar limite e integração travou duas vezes. O suporte pediu novamente as mesmas informações. O carregamento dos relatórios demorou. Consegui consultar limite, mas depois apareceu erro em extrato. Recebi erro enquanto tentava consultar limite. Precisei repetir algumas etapas para concluir. demoro platafroma sitema",9,Suporte
"O suporte pediu novamente as mesmas informações. O carregamento dos relatórios demorou. Consegui atualizar cadastro, mas depois apareceu erro em relatórios. Depois da atualização cartão virtual ficou mais simples. Tentei atualizar cadastro e cartão virtual travou duas vezes.",1,Suporte
Precisei repetir algumas etapas para concluir. Tentei baixar relatório e performance travou duas vezes. As notificações chegaram atrasadas.,5,Serviços
Recebi erro enquanto tentava integrar sistema. Precisei repetir algumas etapas para concluir. cadastro demorou para responder. demoro probelma,7,Produto
Depois da atualização limite ficou mais simples. O suporte pediu novamente as mesmas informações.,6,Suporte
Tudo certo.,2,Serviços
"Depois da atualização integração ficou mais simples. O atendimento resolveu rápido a solicitação. Consegui baixar relatório, mas depois apareceu erro em relatórios. integração demorou para responder. Precisei repetir algumas etapas para concluir. O carregamento dos relatórios demorou.",4,Geral
cartão virtual demorou para responder. Tentei emitir boleto e cartão virtual travou duas vezes. Precisei repetir algumas etapas para concluir. O suporte pediu novamente as mesmas informações. O atendimento resolveu rápido a solicitação. platafroma,1,Geral
Tudo certo.,1,Geral
"Tentei consultar limite e limite travou duas vezes. O suporte pediu novamente as mesmas informações. Recebi erro enquanto tentava consultar limite. Consegui consultar limite, mas depois apareceu erro em API. limite demorou para responder.",10,Produto
"O suporte pediu novamente as mesmas informações. O carregamento dos relatórios demorou. Consegui fazer transferência, mas depois apareceu erro em extrato.",4,Geral
O atendimento resolveu rápido a solicitação. pagamentos demorou para responder. O carregamento dos relatórios demorou.,5,Pós-venda
Tentei baixar relatório e API travou duas vezes. O suporte pediu novamente as mesmas informações.,0,Geral
Depois da atualização extrato ficou mais simples. extrato demorou para responder. Recebi erro enquanto tentava consultar saldo. O carregamento dos relatórios demorou. O atendimento resolveu rápido a solicitação. O suporte pediu novamente as mesmas informações.,1,Suporte
O suporte pediu novamente as mesmas informações. O atendimento resolveu rápido a solicitação. As notificações chegaram atrasadas. pagamentos demorou para responder. Precisei repetir algumas etapas para concluir. O carregamento dos relatórios demorou.,0,Produto
O suporte pediu novamente as mesmas informações. Recebi erro enquanto tentava atualizar cadastro. performance demorou para responder.,9,Suporte
"Depois da atualização integração ficou mais simples. Consegui atualizar cadastro, mas depois apareceu erro em onboarding. integração demorou para responder. Tentei atualizar cadastro e integração travou duas vezes. Recebi erro enquanto tentava atualizar cadastro. O atendimento resolveu rápido a solicitação. msg bugou travano",6,Serviços
Depois da atualização usabilidade ficou mais simples. As notificações chegaram atrasadas. Precisei repetir algumas etapas para concluir. usabilidade demorou para responder. O carregamento dos relatórios demorou. O suporte pediu novamente as mesmas informações.,0,Produto
O suporte pediu novamente as mesmas informações. O carregamento dos relatórios demorou. O atendimento resolveu rápido a solicitação. Precisei repetir algumas etapas para concluir. probelma msg ploblema,6,Suporte
O carregamento dos relatórios demorou. As notificações chegaram atrasadas.,6,Serviços
"Consegui integrar sistema, mas depois apareceu erro em cadastro. O carregamento dos relatórios demorou. Precisei repetir algumas etapas para concluir. Depois da atualização integração ficou mais simples. integração demorou para responder. qdo probelma platafroma",5,Suporte
Regular.,3,Produto
O suporte pediu novamente as mesmas informações. Depois da atualização relatórios ficou mais simples. bugou ploblema travano,5,Produto
"Depois da atualização onboarding ficou mais simples. Precisei repetir algumas etapas para concluir. onboarding demorou para responder. Consegui baixar relatório, mas depois apareceu erro em performance. O atendimento resolveu rápido a solicitação. O suporte pediu novamente as mesmas informações.",9,Serviços
Recebi erro enquanto tentava fazer transferência. As notificações chegaram atrasadas. Precisei repetir algumas etapas para concluir. bugou qdo atendimnto,0,Suporte
O atendimento resolveu rápido a solicitação. onboarding demorou para responder. Precisei repetir algumas etapas para concluir. O suporte pediu novamente as mesmas informações. sitema bugou qdo,8,Suporte
"Tentei fazer transferência e pagamentos travou duas vezes. O suporte pediu novamente as mesmas informações. Consegui fazer transferência, mas depois apareceu erro em dashboard. O atendimento resolveu rápido a solicitação. O carregamento dos relatórios demorou.",8,Suporte
Depois da atualização relatórios ficou mais simples. Recebi erro enquanto tentava emitir boleto. Precisei repetir algumas etapas para concluir. Tentei emitir boleto e relatórios travou duas vezes. msg,0,Serviços
"Consegui fazer transferência, mas depois apareceu erro em login. O atendimento resolveu rápido a solicitação.",2,Serviços
O suporte pediu novamente as mesmas informações. Tentei acompanhar pagamento e cadastro travou duas vezes. As notificações chegaram atrasadas.,3,Geral
"Consegui acompanhar pagamento, mas depois apareceu erro em notificações. cartão virtual demorou para responder. O suporte pediu novamente as mesmas informações. O carregamento dos relatórios demorou.",2,Suporte
Tentei baixar relatório e extrato travou duas vezes. As notificações chegaram atrasadas. extrato demorou para responder.,7,Suporte
O atendimento resolveu rápido a solicitação. O carregamento dos relatórios demorou. O suporte pediu novamente as mesmas informações. ploblema,6,Suporte
Normal.,4,Suporte
Precisei repetir algumas etapas para concluir. As notificações chegaram atrasadas. Tentei integrar sistema e API travou duas vezes. API demorou para responder.,10,Produto
limite demorou para responder. O atendimento resolveu rápido a solicitação. naum msg,0,Serviços
"Depois da atualização limite ficou mais simples. Consegui consultar limite, mas depois apareceu erro em chat. O suporte pediu novamente as mesmas informações. O atendimento resolveu rápido a solicitação. limite demorou para responder.",7,Serviços
As notificações chegaram atrasadas. O suporte pediu novamente as mesmas informações. Precisei repetir algumas etapas para concluir. O carregamento dos relatórios demorou. Tentei emitir boleto e usabilidade travou duas vezes. ploblema,6,Produto
O atendimento resolveu rápido a solicitação. Tentei fazer transferência e chat travou duas vezes. Recebi erro enquanto tentava fazer transferência. atendimnto,8,Geral
O suporte pediu novamente as mesmas informações. Precisei repetir algumas etapas para concluir. Recebi erro enquanto tentava acompanhar pagamento. sitema,2,Produto
Depois da atualização relatórios ficou mais simples. relatórios demorou para responder. naum travano,3,Suporte
Recebi erro enquanto tentava baixar relatório. As notificações chegaram atrasadas. cadastro demorou para responder. sitema,3,Produto
"As notificações chegaram atrasadas. O carregamento dos relatórios demorou. Recebi erro enquanto tentava consultar limite. performance demorou para responder. Consegui consultar limite, mas depois apareceu erro em onboarding. O suporte pediu novamente as mesmas informações. msg probelma atendimnto",4,Serviços
"Consegui consultar limite, mas depois apareceu erro em usabilidade. chat demorou para responder.",8,Produto
"extrato demorou para responder. O suporte pediu novamente as mesmas informações. O carregamento dos relatórios demorou. Consegui fazer transferência, mas depois apareceu erro em cartão virtual. O atendimento resolveu rápido a solicitação.",4,Suporte
"Recebi erro enquanto tentava emitir boleto. O atendimento resolveu rápido a solicitação. Precisei repetir algumas etapas para concluir. O carregamento dos relatórios demorou. Consegui emitir boleto, mas depois apareceu erro em cadastro.",6,Suporte
Depois da atualização relatórios ficou mais simples. As notificações chegaram atrasadas.,5,Suporte
O atendimento resolveu rápido a solicitação. Depois da atualização cadastro ficou mais simples. Precisei repetir algumas etapas para concluir. As notificações chegaram atrasadas. O suporte pediu novamente as mesmas informações. cadastro demorou para responder. sitema,6,Suporte
"Precisei repetir algumas etapas para concluir. O suporte pediu novamente as mesmas informações. Consegui consultar saldo, mas depois apareceu erro em API. O carregamento dos relatórios demorou.",6,Produto
Depois da atualização limite ficou mais simples. Precisei repetir algumas etapas para concluir. travano atendimnto ploblema,7,Serviços
O suporte pediu novamente as mesmas informações. O atendimento resolveu rápido a solicitação. As notificações chegaram atrasadas. ploblema travano,10,Produto
login demorou para responder. Recebi erro enquanto tentava consultar limite. O carregamento dos relatórios demorou. travano,1,Suporte
Precisei repetir algumas etapas para concluir. Depois da atualização limite ficou mais simples. Tentei acompanhar pagamento e limite travou duas vezes. O carregamento dos relatórios demorou. limite demorou para responder. O atendimento resolveu rápido a solicitação. bugou travano vcs,4,Produto
As notificações chegaram atrasadas. Tentei atualizar cadastro e cadastro travou duas vezes. cadastro demorou para responder. O atendimento resolveu rápido a solicitação. Depois da atualização cadastro ficou mais simples.,1,Produto
"O suporte pediu novamente as mesmas informações. Precisei repetir algumas etapas para concluir. Consegui acompanhar pagamento, mas depois apareceu erro em dashboard. O atendimento resolveu rápido a solicitação. Tentei acompanhar pagamento e cartão virtual travou duas vezes. cartão virtual demorou para responder.",1,Serviços
O carregamento dos relatórios demorou. Tentei fazer transferência e performance travou duas vezes. As notificações chegaram atrasadas. Recebi erro enquanto tentava fazer transferência.,6,Suporte
O suporte pediu novamente as mesmas informações. Depois da atualização integração ficou mais simples. O atendimento resolveu rápido a solicitação. Tentei fazer transferência e integração travou duas vezes. bugou,6,Suporte
"As notificações chegaram atrasadas. O atendimento resolveu rápido a solicitação. Precisei repetir algumas etapas para concluir. Consegui baixar relatório, mas depois apareceu erro em usabilidade. O suporte pediu novamente as mesmas informações. Tentei baixar relatório e performance travou duas vezes. atendimnto platafroma",1,Produto
As notificações chegaram atrasadas. Tentei consultar limite e performance travou duas vezes. Recebi erro enquanto tentava consultar limite. O atendimento resolveu rápido a solicitação.,7,Suporte
O atendimento resolveu rápido a solicitação. Depois da atualização relatórios ficou mais simples. O carregamento dos relatórios demorou. Tentei atualizar cadastro e relatórios travou duas vezes. msg demoro atendimnto,1,Pós-venda
"Depois da atualização login ficou mais simples. Consegui atualizar cadastro, mas depois apareceu erro em integração. As notificações chegaram atrasadas. O suporte pediu novamente as mesmas informações. Recebi erro enquanto tentava atualizar cadastro. O carregamento dos relatórios demorou.",6,Produto
notificações demorou para responder. As notificações chegaram atrasadas. O carregamento dos relatórios demorou. sitema,1,Geral
O carregamento dos relatórios demorou. Precisei repetir algumas etapas para concluir. As notificações chegaram atrasadas. Recebi erro enquanto tentava emitir boleto.,4,Geral
As notificações chegaram atrasadas. O suporte pediu novamente as mesmas informações. Tentei fazer transferência e usabilidade travou duas vezes.,7,Produto
As notificações chegaram atrasadas. Precisei repetir algumas etapas para concluir. O carregamento dos relatórios demorou. Recebi erro enquanto tentava consultar limite. O atendimento resolveu rápido a solicitação. Tentei consultar limite e cadastro travou duas vezes.,7,Produto
"O atendimento resolveu rápido a solicitação. Consegui consultar limite, mas depois apareceu erro em chat. platafroma travano vcs",9,Suporte
"O carregamento dos relatórios demorou. Consegui consultar limite, mas depois apareceu erro em integração. usabilidade demorou para responder. Precisei repetir algumas etapas para concluir. Depois da atualização usabilidade ficou mais simples. Recebi erro enquanto tentava consultar limite. probelma atendimnto msg",0,Pós-venda
"Depois da atualização limite ficou mais simples. Consegui acompanhar pagamento, mas depois apareceu erro em usabilidade. limite demorou para responder. O carregamento dos relatórios demorou. O suporte pediu novamente as mesmas informações. Tentei acompanhar pagamento e limite travou duas vezes.",0,Suporte
As notificações chegaram atrasadas. O carregamento dos relatórios demorou.,2,Geral
"O carregamento dos relatórios demorou. Tentei emitir boleto e pagamentos travou duas vezes. Depois da atualização pagamentos ficou mais simples. Consegui emitir boleto, mas depois apareceu erro em performance. O atendimento resolveu rápido a solicitação. Precisei repetir algumas etapas para concluir. bugou qdo",1,Geral
limite demorou para responder. O suporte pediu novamente as mesmas informações.,8,Produto
"Consegui integrar sistema, mas depois apareceu erro em cartão virtual. Depois da atualização extrato ficou mais simples. Precisei repetir algumas etapas para concluir. travano vcs",1,Produto
Depois da atualização integração ficou mais simples. O atendimento resolveu rápido a solicitação. Precisei repetir algumas etapas para concluir. O carregamento dos relatórios demorou. demoro qdo,7,Produto
O atendimento resolveu rápido a solicitação. O suporte pediu novamente as mesmas informações. O carregamento dos relatórios demorou. Precisei repetir algumas etapas para concluir. Recebi erro enquanto tentava integrar sistema. Depois da atualização login ficou mais simples.,2,Serviços
