comentario,nota,responsavel
consegu emit bolet aparec erro integraca suport ped nov mesm informaco atualizaca cadastr fic simpl receb erro enquant tent emit bolet travan msg,10,Suporte
usabil demor respond precis repet algum etap conclu,9,Pós-venda
tent consult limit extrat trav duas vez consegu consult limit aparec erro chat suport ped nov mesm informaco,6,Suporte
precis repet algum etap conclu atualizaca pagament fic simpl consegu faz transferenc aparec erro onboarding atend resolv rap solicitaca tent faz transferenc pagament trav duas vez carreg relatori demor,0,Produto
carreg relatori demor atualizaca integraca fic simpl integraca demor respond precis repet algum etap conclu atend resolv rap solicitaca platafrom bug travan,2,Serviços
consegu consult sald aparec erro chat precis repet algum etap conclu atualizaca integraca fic simpl,6,Suporte
suport ped nov mesm informaco carreg relatori demor receb erro enquant tent faz transferenc atualizaca carta virtual fic simpl,4,Produto
precis repet algum etap conclu atend resolv rap solicitaca notificaco cheg atras consegu baix relatori aparec erro login atualizaca chat fic simpl carreg relatori demor,8,Suporte
suport ped nov mesm informaco receb erro enquant tent baix relatori atend resolv rap solicitaca,5,Geral
receb erro enquant tent atualiz cadastr precis repet algum etap conclu carreg relatori demor probelm atendimnt bug,8,Suporte
precis repet algum etap conclu onboarding demor respond suport ped nov mesm informaco ploblem atendimnt,4,Serviços
carreg relatori demor onboarding demor respond notificaco cheg atras receb erro enquant tent consult sald atualizaca onboarding fic simpl,6,Geral
atend resolv rap solicitaca receb erro enquant tent baix relatori precis repet algum etap conclu notificaco cheg atras carreg relatori demor,3,Suporte
limit demor respond precis repet algum etap conclu suport ped nov mesm informaco atend resolv rap solicitaca atendimnt bug probelm,6,Pós-venda
precis repet algum etap conclu tent atualiz cadastr integraca trav duas vez carreg relatori demor receb erro enquant tent atualiz cadastr demor travan,10,Produto
receb erro enquant tent acompanh pagament carreg relatori demor notificaco cheg atras precis repet algum etap conclu consegu acompanh pagament aparec erro usabil platafrom travan ploblem,9,Geral
api demor respond consegu baix relatori aparec erro login ploblem probelm,1,Suporte
tent integr limit trav duas vez limit demor respond atend resolv rap solicitaca notificaco cheg atras consegu integr aparec erro login atualizaca limit fic simpl msg,10,Suporte
consegu acompanh pagament aparec erro onboarding suport ped nov mesm informaco notificaco cheg atras,7,Produto
atualizaca pagament fic simpl suport ped nov mesm informaco consegu acompanh pagament aparec erro chat tent acompanh pagament pagament trav duas vez receb erro enquant tent acompanh pagament precis repet algum etap conclu demor probelm,2,Serviços
suport ped nov mesm informaco atualizaca limit fic simpl ploblem sitem demor,9,Produto
notificaco cheg atras api demor respond receb erro enquant tent consult limit consegu consult limit aparec erro chat atend resolv rap solicitaca,2,Geral
consegu atualiz cadastr aparec erro relatori atualizaca cadastr fic simpl,2,Suporte
atend resolv rap solicitaca notificaco cheg atras atualizaca dashboard fic simpl receb erro enquant tent emit bolet dashboard demor respond carreg relatori demor,1,Serviços
atend resolv rap solicitaca notificaco cheg atras consegu baix relatori aparec erro performanc atualizaca cadastr fic simpl tent baix relatori cadastr trav duas vez bug,1,Produto
receb erro enquant tent baix relatori carreg relatori demor,5,Geral
tent faz transferenc onboarding trav duas vez receb erro enquant tent faz transferenc onboarding demor respond bug sitem msg,7,Serviços
consegu integr aparec erro limit tent integr api trav duas vez precis repet algum etap conclu,0,Suporte
suport ped nov mesm informaco atualizaca cadastr fic simpl tent emit bolet cadastr trav duas vez precis repet algum etap conclu carreg relatori demor probelm bug,10,Suporte
atend resolv rap solicitaca consegu consult sald aparec erro carta virtual,3,Produto
tent faz transferenc onboarding trav duas vez notificaco cheg atras receb erro enquant tent faz transferenc,1,Suporte
receb erro enquant tent consult limit consegu consult limit aparec erro relatori carreg relatori demor tent consult limit notificaco trav duas vez notificaco demor respond sitem,10,Produto
precis repet algum etap conclu atend resolv rap solicitaca tent emit bolet limit trav duas vez atualizaca limit fic simpl,0,Serviços
receb erro enquant tent faz transferenc atend resolv rap solicitaca notificaco cheg atras carreg relatori demor,9,Produto
receb erro enquant tent integr atend resolv rap solicitaca tent integr cadastr trav duas vez suport ped nov mesm informaco notificaco cheg atras,2,Serviços
precis repet algum etap conclu receb erro enquant tent acompanh pagament sitem probelm demor,3,Produto
consegu faz transferenc aparec erro notificaco tent faz transferenc pagament trav duas vez precis repet algum etap conclu atend resolv rap solicitaca suport ped nov mesm informaco,2,Suporte
notificaco cheg atras suport ped nov mesm informaco tent consult sald extrat trav duas vez receb erro enquant tent consult sald atend resolv rap solicitaca extrat demor respond naum,5,Produto
notificaco cheg atras carreg relatori demor atend resolv rap solicitaca receb erro enquant tent acompanh pagament consegu acompanh pagament aparec erro cadastr tent acompanh pagament integraca trav duas vez vcs probelm,10,Suporte
carreg relatori demor consegu faz transferenc aparec erro dashboard precis repet algum etap conclu suport ped nov mesm informaco tent faz transferenc api trav duas vez atualizaca api fic simpl,2,Suporte
suport ped nov mesm informaco atualizaca api fic simpl consegu acompanh pagament aparec erro chat api demor respond,3,Suporte
carreg relatori demor notificaco cheg atras api demor respond precis repet algum etap conclu consegu baix relatori aparec erro limit sitem vcs,5,Produto
notificaco cheg atras atualizaca api fic simpl suport ped nov mesm informaco consegu faz transferenc aparec erro relatori demor platafrom vcs,4,Serviços
carreg relatori demor atend resolv rap solicitaca,7,Produto
precis repet algum etap conclu receb erro enquant tent baix relatori notificaco cheg atras tent baix relatori extrat trav duas vez,6,Pós-venda
carreg relatori demor atualizaca integraca fic simpl atend resolv rap solicitaca precis repet algum etap conclu sitem probelm,9,Suporte
suport ped nov mesm informaco atualizaca extrat fic simpl extrat demor respond demor travan msg,0,Suporte
receb erro enquant tent consult limit carreg relatori demor consegu consult limit aparec erro carta virtual atualizaca usabil fic simpl precis repet algum etap conclu notificaco cheg atras naum bug,1,Suporte
precis repet algum etap conclu atend resolv rap solicitaca,6,Serviços
carta virtual demor respond atualizaca carta virtual fic simpl bug,3,Suporte
atend resolv rap solicitaca performanc demor respond carreg relatori demor naum,6,Produto
notificaco demor respond consegu acompanh pagament aparec erro api platafrom travan,7,Pós-venda
notificaco cheg atras receb erro enquant tent atualiz cadastr qdo demor,1,Geral
tent consult sald dashboard trav duas vez precis repet algum etap conclu receb erro enquant tent consult sald atualizaca dashboard fic simpl,7,Suporte
atend resolv rap solicitaca notificaco cheg atras precis repet algum etap conclu integraca demor respond atualizaca integraca fic simpl,9,Suporte
tent consult limit cadastr trav duas vez atend resolv rap solicitaca carreg relatori demor notificaco cheg atras precis repet algum etap conclu atualizaca cadastr fic simpl,3,Pós-venda
atualizaca integraca fic simpl precis repet algum etap conclu notificaco cheg atras atend resolv rap solicitaca atendimnt qdo bug,4,Geral
precis repet algum etap conclu receb erro enquant tent baix relatori atend resolv rap solicitaca consegu baix relatori aparec erro chat notificaco cheg atras,5,Geral
carreg relatori demor precis repet algum etap conclu tent acompanh pagament pagament trav duas vez ploblem,1,Geral
atualizaca limit fic simpl carreg relatori demor msg,8,Geral
atend resolv rap solicitaca notificaco cheg atras suport ped nov mesm informaco travan platafrom,10,Serviços
atend resolv rap solicitaca consegu baix relatori aparec erro relatori,10,Pós-venda
consegu consult limit aparec erro relatori suport ped nov mesm informaco receb erro enquant tent consult limit vcs,6,Produto
atend resolv rap solicitaca notificaco cheg atras tent integr performanc trav duas vez naum probelm sitem,9,Produto
precis repet algum etap conclu consegu faz transferenc aparec erro cadastr receb erro enquant tent faz transferenc carreg relatori demor tent faz transferenc integraca trav duas vez suport ped nov mesm informaco,5,Pós-venda
precis repet algum etap conclu suport ped nov mesm informaco limit demor respond,4,Suporte
precis repet algum etap conclu atualizaca pagament fic simpl consegu emit bolet aparec erro relatori carreg relatori demor qdo atendimnt,0,Geral
usabil demor respond atualizaca usabil fic simpl,3,Suporte
notificaco cheg atras atualizaca api fic simpl atend resolv rap solicitaca precis repet algum etap conclu naum,10,Suporte
notificaco demor respond atend resolv rap solicitaca,4,Serviços
precis repet algum etap conclu performanc demor respond atualizaca performanc fic simpl,0,Serviços
atend resolv rap solicitaca receb erro enquant tent acompanh pagament,2,Suporte
receb erro enquant tent faz transferenc atend resolv rap solicitaca,2,Pós-venda
notificaco cheg atras relatori demor respond precis repet algum etap conclu receb erro enquant tent integr tent integr relatori trav duas vez atend resolv rap solicitaca ploblem demor,0,Suporte
notificaco cheg atras suport ped nov mesm informaco atualizaca integraca fic simpl integraca demor respond tent emit bolet integraca trav duas vez vcs,10,Pós-venda
receb erro enquant tent baix relatori notificaco demor respond notificaco cheg atras consegu baix relatori aparec erro login,10,Produto
dashboard demor respond notificaco cheg atras tent emit bolet dashboard trav duas vez consegu emit bolet aparec erro extrat suport ped nov mesm informaco atend resolv rap solicitaca,4,Serviços
receb erro enquant tent emit bolet chat demor respond carreg relatori demor atendimnt vcs,1,Produto
receb erro enquant tent atualiz cadastr precis repet algum etap conclu,9,Suporte
tent acompanh pagament cadastr trav duas vez carreg relatori demor suport ped nov mesm informaco atend resolv rap solicitaca,8,Produto
tent acompanh pagament relatori trav duas vez consegu acompanh pagament aparec erro extrat ploblem,7,Suporte
atend resolv rap solicitaca suport ped nov mesm informaco chat demor respond precis repet algum etap conclu carreg relatori demor consegu acompanh pagament aparec erro relatori ploblem sitem,3,Geral
carreg relatori demor consegu consult limit aparec erro pagament receb erro enquant tent consult limit,2,Serviços
carreg relatori demor notificaco demor respond notificaco cheg atras atualizaca notificaco fic simpl receb erro enquant tent integr precis repet algum etap conclu,10,Suporte
carreg relatori demor receb erro enquant tent atualiz cadastr,0,Produto
consegu atualiz cadastr aparec erro usabil suport ped nov mesm informaco tent atualiz cadastr extrat trav duas vez sitem,5,Produto
carreg relatori demor atend resolv rap solicitaca,1,Pós-venda
notificaco cheg atras dashboard demor respond atend resolv rap solicitaca precis repet algum etap conclu,8,Geral
precis repet algum etap conclu usabil demor respond suport ped nov mesm informaco tent consult limit usabil trav duas vez atend resolv rap solicitaca,8,Pós-venda
atend resolv rap solicitaca consegu atualiz cadastr aparec erro performanc,2,Suporte
suport ped nov mesm informaco precis repet algum etap conclu notificaco cheg atras carreg relatori demor atend resolv rap solicitaca receb erro enquant tent baix relatori ploblem,7,Produto
receb erro enquant tent emit bolet cadastr demor respond tent emit bolet cadastr trav duas vez naum platafrom,5,Produto
atualizaca carta virtual fic simpl carreg relatori demor receb erro enquant tent faz transferenc consegu faz transferenc aparec erro cadastr tent faz transferenc carta virtual trav duas vez,0,Geral
carreg relatori demor tent integr performanc trav duas vez atualizaca performanc fic simpl,0,Geral
carreg relatori demor atend resolv rap solicitaca tent integr api trav duas vez,8,Serviços
receb erro enquant tent acompanh pagament suport ped nov mesm informaco carreg relatori demor consegu acompanh pagament aparec erro cadastr extrat demor respond atend resolv rap solicitaca travan demor sitem,5,Produto
precis repet algum etap conclu atualizaca cadastr fic simpl tent consult sald cadastr trav duas vez cadastr demor respond carreg relatori demor,4,Suporte
atend resolv rap solicitaca tent faz transferenc extrat trav duas vez receb erro enquant tent faz transferenc consegu faz transferenc aparec erro performanc notificaco cheg atras naum msg sitem,5,Produto
suport ped nov mesm informaco receb erro enquant tent faz transferenc atualizaca extrat fic simpl atend resolv rap solicitaca consegu faz transferenc aparec erro carta virtual carreg relatori demor sitem qdo atendimnt,6,Suporte
notificaco cheg atras atend resolv rap solicitaca tent faz transferenc pagament trav duas vez receb erro enquant tent faz transferenc carreg relatori demor travan ploblem,3,Geral
notificaco cheg atras carreg relatori demor precis repet algum etap conclu receb erro enquant tent faz transferenc qdo,7,Suporte
atend resolv rap solicitaca notificaco cheg atras,5,Suporte
consegu emit bolet aparec erro limit pagament demor respond carreg relatori demor receb erro enquant tent emit bolet atualizaca pagament fic simpl,6,Serviços
carreg relatori demor carta virtual demor respond travan bug msg,3,Geral
tent faz transferenc pagament trav duas vez consegu faz transferenc aparec erro notificaco receb erro enquant tent faz transferenc notificaco cheg atras precis repet algum etap conclu ploblem travan probelm,2,Suporte
receb erro enquant tent consult sald suport ped nov mesm informaco atend resolv rap solicitaca relatori demor respond,6,Suporte
tent consult sald login trav duas vez atend resolv rap solicitaca ploblem demor,3,Serviços
receb erro enquant tent integr precis repet algum etap conclu tent integr limit trav duas vez atend resolv rap solicitaca,2,Suporte
suport ped nov mesm informaco consegu integr aparec erro extrat notificaco cheg atras msg,5,Geral
atualizaca chat fic simpl receb erro enquant tent acompanh pagament carreg relatori demor,9,Serviços
integraca demor respond consegu faz transferenc aparec erro notificaco,4,Serviços
notificaco cheg atras receb erro enquant tent baix relatori,8,Serviços
suport ped nov mesm informaco tent atualiz cadastr api trav duas vez carreg relatori demor,8,Produto
atualizaca relatori fic simpl carreg relatori demor notificaco cheg atras,6,Serviços
consegu faz transferenc aparec erro login tent faz transferenc api trav duas vez atualizaca api fic simpl suport ped nov mesm informaco atend resolv rap solicitaca notificaco cheg atras ploblem,9,Produto
tent acompanh pagament notificaco trav duas vez notificaco demor respond suport ped nov mesm informaco receb erro enquant tent acompanh pagament travan,8,Serviços
atend resolv rap solicitaca precis repet algum etap conclu receb erro enquant tent integr carreg relatori demor suport ped nov mesm informaco login demor respond,3,Pós-venda
consegu consult sald aparec erro cadastr suport ped nov mesm informaco login demor respond atualizaca login fic simpl,9,Produto
precis repet algum etap conclu carreg relatori demor consegu consult limit aparec erro usabil notificaco cheg atras,9,Produto
atualizaca integraca fic simpl consegu consult limit aparec erro onboarding notificaco cheg atras vcs platafrom,3,Produto
suport ped nov mesm informaco tent baix relatori api trav duas vez precis repet algum etap conclu sitem,2,Suporte
precis repet algum etap conclu receb erro enquant tent faz transferenc vcs,7,Produto
api demor respond tent emit bolet api trav duas vez carreg relatori demor notificaco cheg atras atendimnt vcs probelm,10,Geral
atualizaca onboarding fic simpl onboarding demor respond consegu atualiz cadastr aparec erro api tent atualiz cadastr onboarding trav duas vez,9,Suporte
suport ped nov mesm informaco receb erro enquant tent emit bolet notificaco cheg atras carreg relatori demor tent emit bolet onboarding trav duas vez atualizaca onboarding fic simpl sitem msg,8,Suporte
atualizaca usabil fic simpl usabil demor respond,4,Produto
receb erro enquant tent emit bolet tent emit bolet chat trav duas vez chat demor respond precis repet algum etap conclu,4,Suporte
suport ped nov mesm informaco atend resolv rap solicitaca receb erro enquant tent atualiz cadastr api demor respond consegu atualiz cadastr aparec erro cadastr notificaco cheg atras,2,Produto
onboarding demor respond notificaco cheg atras atualizaca onboarding fic simpl atend resolv rap solicitaca,1,Geral
receb erro enquant tent atualiz cadastr atend resolv rap solicitaca carta virtual demor respond atendimnt bug,1,Pós-venda
consegu integr aparec erro chat notificaco cheg atras carreg relatori demor,7,Produto
precis repet algum etap conclu notificaco cheg atras,7,Produto
tent consult sald notificaco trav duas vez atend resolv rap solicitaca atualizaca notificaco fic simpl,3,Serviços
atualizaca extrat fic simpl extrat demor respond notificaco cheg atras receb erro enquant tent faz transferenc qdo,0,Pós-venda
notificaco cheg atras atend resolv rap solicitaca travan,1,Serviços
atend resolv rap solicitaca onboarding demor respond receb erro enquant tent consult sald demor,7,Serviços
suport ped nov mesm informaco atualizaca api fic simpl notificaco cheg atras atend resolv rap solicitaca api demor respond consegu faz transferenc aparec erro limit,6,Geral
login demor respond carreg relatori demor precis repet algum etap conclu tent consult sald login trav duas vez consegu consult sald aparec erro cadastr atend resolv rap solicitaca,4,Serviços
notificaco cheg atras pagament demor respond suport ped nov mesm informaco,8,Geral
notificaco cheg atras carta virtual demor respond receb erro enquant tent consult sald,2,Produto
tent consult limit carta virtual trav duas vez atend resolv rap solicitaca notificaco cheg atras vcs,5,Produto
extrat demor respond carreg relatori demor receb erro enquant tent acompanh pagament tent acompanh pagament extrat trav duas vez ploblem,9,Suporte
precis repet algum etap conclu tent atualiz cadastr login trav duas vez,3,Suporte
consegu consult limit aparec erro pagament atend resolv rap solicitaca notificaco cheg atras carreg relatori demor integraca demor respond receb erro enquant tent consult limit,0,Pós-venda
precis repet algum etap conclu notificaco cheg atras,6,Suporte
receb erro enquant tent baix relatori consegu baix relatori aparec erro cadastr,0,Geral
performanc demor respond atend resolv rap solicitaca suport ped nov mesm informaco precis repet algum etap conclu atualizaca performanc fic simpl,10,Geral
precis repet algum etap conclu atualizaca notificaco fic simpl receb erro enquant tent emit bolet,10,Produto
receb erro enquant tent emit bolet atualizaca integraca fic simpl atend resolv rap solicitaca precis repet algum etap conclu integraca demor respond demor atendimnt,4,Suporte
suport ped nov mesm informaco atualizaca integraca fic simpl integraca demor respond tent atualiz cadastr integraca trav duas vez precis repet algum etap conclu,1,Produto
atend resolv rap solicitaca carreg relatori demor precis repet algum etap conclu onboarding demor respond tent faz transferenc onboarding trav duas vez,4,Produto
carreg relatori demor tent consult sald cadastr trav duas vez cadastr demor respond,4,Produto
atualizaca onboarding fic simpl receb erro enquant tent acompanh pagament atend resolv rap solicitaca consegu acompanh pagament aparec erro dashboard notificaco cheg atras,2,Suporte
notificaco cheg atras consegu emit bolet aparec erro performanc precis repet algum etap conclu api demor respond tent emit bolet api trav duas vez platafrom probelm bug,7,Geral
notificaco cheg atras tent consult sald extrat trav duas vez atend resolv rap solicitaca precis repet algum etap conclu consegu consult sald aparec erro chat atualizaca extrat fic simpl qdo,2,Pós-venda
pagament demor respond receb erro enquant tent faz transferenc ploblem,10,Pós-venda
tent atualiz cadastr relatori trav duas vez receb erro enquant tent atualiz cadastr notificaco cheg atras msg probelm,7,Geral
atend resolv rap solicitaca notificaco cheg atras tent faz transferenc relatori trav duas vez suport ped nov mesm informaco carreg relatori demor travan demor bug,6,Produto
performanc demor respond atualizaca performanc fic simpl,10,Suporte
tent atualiz cadastr cadastr trav duas vez atualizaca cadastr fic simpl cadastr demor respond atend resolv rap solicitaca consegu atualiz cadastr aparec erro carta virtual suport ped nov mesm informaco bug,5,Produto
atend resolv rap solicitaca consegu consult limit aparec erro api carreg relatori demor,6,Pós-venda
carreg relatori demor receb erro enquant tent atualiz cadastr atualizaca extrat fic simpl atend resolv rap solicitaca,0,Produto
relatori demor respond atualizaca relatori fic simpl,5,Produto
suport ped nov mesm informaco receb erro enquant tent atualiz cadastr carreg relatori demor notificaco cheg atras tent atualiz cadastr carta virtual trav duas vez demor,9,Suporte
carreg relatori demor tent emit bolet integraca trav duas vez suport ped nov mesm informaco notificaco cheg atras consegu emit bolet aparec erro chat naum sitem,1,Pós-venda
notificaco cheg atras tent baix relatori extrat trav duas vez atend resolv rap solicitaca precis repet algum etap conclu receb erro enquant tent baix relatori,7,Suporte
tent consult limit onboarding trav duas vez notificaco cheg atras precis repet algum etap conclu atendimnt,10,Suporte
precis repet algum etap conclu notificaco cheg atras consegu integr aparec erro extrat,8,Geral
notificaco cheg atras onboarding demor respond precis repet algum etap conclu,9,Produto
receb erro enquant tent faz transferenc notificaco cheg atras suport ped nov mesm informaco carreg relatori demor atualizaca performanc fic simpl precis repet algum etap conclu,6,Produto
notificaco cheg atras tent emit bolet chat trav duas vez chat demor respond consegu emit bolet aparec erro performanc atend resolv rap solicitaca atualizaca chat fic simpl probelm ploblem bug,9,Serviços
tent consult limit integraca trav duas vez suport ped nov mesm informaco receb erro enquant tent consult limit atualizaca integraca fic simpl,3,Produto
dashboard demor respond suport ped nov mesm informaco vcs,9,Serviços
tent emit bolet notificaco trav duas vez notificaco cheg atras receb erro enquant tent emit bolet consegu emit bolet aparec erro carta virtual atend resolv rap solicitaca sitem bug atendimnt,5,Suporte
precis repet algum etap conclu tent consult sald api trav duas vez receb erro enquant tent consult sald,7,Serviços
carreg relatori demor suport ped nov mesm informaco receb erro enquant tent consult sald naum,7,Pós-venda
consegu integr aparec erro onboarding tent integr notificaco trav duas vez vcs,8,Suporte
carreg relatori demor suport ped nov mesm informaco atualizaca limit fic simpl atend resolv rap solicitaca,2,Serviços
notificaco cheg atras receb erro enquant tent acompanh pagament suport ped nov mesm informaco carreg relatori demor,6,Produto
precis repet algum etap conclu receb erro enquant tent atualiz cadastr notificaco cheg atras consegu atualiz cadastr aparec erro carta virtual atendimnt travan,7,Pós-venda
notificaco cheg atras suport ped nov mesm informaco atend resolv rap solicitaca consegu atualiz cadastr aparec erro relatori tent atualiz cadastr login trav duas vez atualizaca login fic simpl sitem msg,7,Geral
receb erro enquant tent faz transferenc tent faz transferenc extrat trav duas vez atend resolv rap solicitaca atualizaca extrat fic simpl probelm platafrom,1,Produto
precis repet algum etap conclu consegu consult limit aparec erro dashboard carreg relatori demor tent consult limit relatori trav duas vez,5,Produto
atualizaca extrat fic simpl precis repet algum etap conclu sitem vcs,6,Serviços
tent acompanh pagament chat trav duas vez suport ped nov mesm informaco precis repet algum etap conclu atend resolv rap solicitaca carreg relatori demor atualizaca chat fic simpl,2,Suporte
notificaco cheg atras suport ped nov mesm informaco sitem vcs,0,Geral
atualizaca login fic simpl receb erro enquant tent atualiz cadastr atend resolv rap solicitaca suport ped nov mesm informaco tent atualiz cadastr login trav duas vez qdo,5,Produto
receb erro enquant tent acompanh pagament consegu acompanh pagament aparec erro carta virtual atend resolv rap solicitaca,5,Suporte
receb erro enquant tent atualiz cadastr tent atualiz cadastr onboarding trav duas vez,0,Produto
integraca demor respond precis repet algum etap conclu atualizaca integraca fic simpl tent consult limit integraca trav duas vez demor,5,Suporte
atualizaca cadastr fic simpl precis repet algum etap conclu suport ped nov mesm informaco cadastr demor respond atend resolv rap solicitaca consegu acompanh pagament aparec erro dashboard ploblem vcs,6,Geral
receb erro enquant tent acompanh pagament atualizaca performanc fic simpl travan,3,Produto
carreg relatori demor precis repet algum etap conclu atend resolv rap solicitaca notificaco cheg atras dashboard demor respond consegu acompanh pagament aparec erro extrat,6,Suporte
precis repet algum etap conclu carreg relatori demor consegu consult limit aparec erro extrat notificaco cheg atras atualizaca notificaco fic simpl sitem msg,1,Geral
consegu emit bolet aparec erro limit tent emit bolet api trav duas vez,9,Serviços
receb erro enquant tent integr carreg relatori demor precis repet algum etap conclu relatori demor respond,0,Suporte
atend resolv rap solicitaca receb erro enquant tent baix relatori tent baix relatori extrat trav duas vez precis repet algum etap conclu probelm ploblem,8,Suporte
notificaco cheg atras receb erro enquant tent baix relatori tent baix relatori relatori trav duas vez atend resolv rap solicitaca carreg relatori demor atualizaca relatori fic simpl qdo,2,Suporte
consegu consult limit aparec erro usabil suport ped nov mesm informaco,9,Suporte
receb erro enquant tent atualiz cadastr pagament demor respond,3,Suporte
atend resolv rap solicitaca receb erro enquant tent acompanh pagament onboarding demor respond msg qdo,7,Serviços
tent emit bolet api trav duas vez atend resolv rap solicitaca atualizaca api fic simpl,6,Serviços
suport ped nov mesm informaco consegu consult sald aparec erro onboarding login demor respond notificaco cheg atras receb erro enquant tent consult sald tent consult sald login trav duas vez atendimnt platafrom travan,3,Produto
tent integr limit trav duas vez atend resolv rap solicitaca suport ped nov mesm informaco carreg relatori demor limit demor respond,8,Serviços
notificaco cheg atras consegu consult sald aparec erro cadastr pagament demor respond probelm,9,Serviços
receb erro enquant tent acompanh pagament suport ped nov mesm informaco atualizaca performanc fic simpl carreg relatori demor precis repet algum etap conclu atendimnt bug sitem,6,Produto
receb erro enquant tent integr notificaco cheg atras atualizaca login fic simpl suport ped nov mesm informaco login demor respond atend resolv rap solicitaca platafrom,4,Serviços
carreg relatori demor api demor respond suport ped nov mesm informaco consegu atualiz cadastr aparec erro relatori precis repet algum etap conclu tent atualiz cadastr api trav duas vez,2,Pós-venda
atualizaca onboarding fic simpl suport ped nov mesm informaco travan qdo,0,Suporte
suport ped nov mesm informaco pagament demor respond,2,Suporte
atend resolv rap solicitaca consegu consult sald aparec erro notificaco notificaco cheg atras carreg relatori demor atualizaca pagament fic simpl,9,Suporte
notificaco cheg atras atend resolv rap solicitaca chat demor respond carreg relatori demor receb erro enquant tent faz transferenc atualizaca chat fic simpl probelm ploblem travan,4,Suporte
notificaco cheg atras receb erro enquant tent faz transferenc limit demor respond suport ped nov mesm informaco consegu faz transferenc aparec erro relatori,9,Suporte
notificaco cheg atras precis repet algum etap conclu atualizaca limit fic simpl tent consult limit limit trav duas vez suport ped nov mesm informaco vcs msg,10,Produto
precis repet algum etap conclu carreg relatori demor suport ped nov mesm informaco msg sitem,4,Serviços
receb erro enquant tent baix relatori tent baix relatori onboarding trav duas vez vcs atendimnt demor,7,Serviços
precis repet algum etap conclu carreg relatori demor,4,Suporte
consegu baix relatori aparec erro performanc relatori demor respond suport ped nov mesm informaco,3,Suporte
receb erro enquant tent acompanh pagament tent acompanh pagament chat trav duas vez naum,0,Serviços
tent baix relatori login trav duas vez receb erro enquant tent baix relatori suport ped nov mesm informaco consegu baix relatori aparec erro onboarding notificaco cheg atras,3,Suporte
receb erro enquant tent baix relatori notificaco cheg atras chat demor respond atend resolv rap solicitaca tent baix relatori chat trav duas vez precis repet algum etap conclu travan probelm msg,8,Geral
precis repet algum etap conclu atualizaca limit fic simpl sitem bug,8,Produto
suport ped nov mesm informaco atualizaca onboarding fic simpl qdo demor,1,Serviços
atend resolv rap solicitaca cadastr demor respond,10,Suporte
receb erro enquant tent consult limit usabil demor respond carreg relatori demor atualizaca usabil fic simpl atend resolv rap solicitaca suport ped nov mesm informaco msg ploblem travan,8,Produto
precis repet algum etap conclu cadastr demor respond suport ped nov mesm informaco receb erro enquant tent consult limit atend resolv rap solicitaca atendimnt demor travan,1,Pós-venda
consegu baix relatori aparec erro cadastr precis repet algum etap conclu receb erro enquant tent baix relatori atualizaca usabil fic simpl,10,Suporte
tent atualiz cadastr login trav duas vez receb erro enquant tent atualiz cadastr,6,Produto
atualizaca usabil fic simpl notificaco cheg atras demor naum probelm,10,Produto
notificaco cheg atras carreg relatori demor consegu acompanh pagament aparec erro notificaco travan,7,Suporte
notificaco cheg atras carreg relatori demor receb erro enquant tent consult sald integraca demor respond bug travan naum,1,Pós-venda
precis repet algum etap conclu carreg relatori demor limit demor respond notificaco cheg atras travan sitem,3,Produto
consegu integr aparec erro chat suport ped nov mesm informaco,1,Suporte
precis repet algum etap conclu tent atualiz cadastr notificaco trav duas vez receb erro enquant tent atualiz cadastr suport ped nov mesm informaco consegu atualiz cadastr aparec erro onboarding,1,Pós-venda
carreg relatori demor atend resolv rap solicitaca tent faz transferenc integraca trav duas vez demor,3,Produto
atualizaca dashboard fic simpl dashboard demor respond suport ped nov mesm informaco atend resolv rap solicitaca tent emit bolet dashboard trav duas vez notificaco cheg atras probelm travan atendimnt,0,Geral
tent consult sald usabil trav duas vez consegu consult sald aparec erro notificaco,4,Produto
notificaco cheg atras precis repet algum etap conclu,10,Geral
atend resolv rap solicitaca precis repet algum etap conclu consegu emit bolet aparec erro limit dashboard demor respond atualizaca dashboard fic simpl tent emit bolet dashboard trav duas vez demor,6,Produto
consegu consult sald aparec erro integraca tent consult sald usabil trav duas vez platafrom,6,Suporte
chat demor respond notificaco cheg atras atualizaca chat fic simpl atend resolv rap solicitaca vcs,0,Suporte
atualizaca performanc fic simpl suport ped nov mesm informaco atend resolv rap solicitaca,8,Suporte
carreg relatori demor receb erro enquant tent integr tent integr usabil trav duas vez usabil demor respond consegu integr aparec erro pagament suport ped nov mesm informaco,10,Suporte
consegu atualiz cadastr aparec erro notificaco receb erro enquant tent atualiz cadastr atend resolv rap solicitaca atualizaca relatori fic simpl carreg relatori demor tent atualiz cadastr relatori trav duas vez,2,Suporte
suport ped nov mesm informaco precis repet algum etap conclu,10,Serviços
login demor respond notificaco cheg atras tent acompanh pagament login trav duas vez atend resolv rap solicitaca precis repet algum etap conclu qdo demor,6,Produto
atend resolv rap solicitaca notificaco cheg atras,5,Serviços
atualizaca relatori fic simpl notificaco cheg atras suport ped nov mesm informaco receb erro enquant tent atualiz cadastr consegu atualiz cadastr aparec erro carta virtual atend resolv rap solicitaca,0,Geral
consegu atualiz cadastr aparec erro integraca carreg relatori demor sitem qdo demor,2,Pós-venda
suport ped nov mesm informaco atend resolv rap solicitaca,4,Suporte
atend resolv rap solicitaca atualizaca limit fic simpl,7,Geral
